country;variable;percentile;year;value;age;pop
QA;sptinc992j;p0p1;1980;0.0;992;j
QA;sptinc992j;p0p1;1981;0.0;992;j
QA;sptinc992j;p0p1;1982;0.0;992;j
QA;sptinc992j;p0p1;1983;0.0;992;j
QA;sptinc992j;p0p1;1984;0.0;992;j
QA;sptinc992j;p0p1;1985;0.0;992;j
QA;sptinc992j;p0p1;1986;0.0;992;j
QA;sptinc992j;p0p1;1987;0.0;992;j
QA;sptinc992j;p0p1;1988;0.0;992;j
QA;sptinc992j;p0p1;1989;0.0;992;j
QA;sptinc992j;p0p1;1990;0.0;992;j
QA;sptinc992j;p0p1;1991;0.0;992;j
QA;sptinc992j;p0p1;1992;0.0;992;j
QA;sptinc992j;p0p1;1993;0.0;992;j
QA;sptinc992j;p0p1;1994;0.0;992;j
QA;sptinc992j;p0p1;1995;0.0;992;j
QA;sptinc992j;p0p1;1996;0.0;992;j
QA;sptinc992j;p0p1;1997;0.0;992;j
QA;sptinc992j;p0p1;1998;0.0;992;j
QA;sptinc992j;p0p1;1999;0.0;992;j
QA;sptinc992j;p0p1;2000;0.0;992;j
QA;sptinc992j;p0p1;2001;0.0;992;j
QA;sptinc992j;p0p1;2002;0.0;992;j
QA;sptinc992j;p0p1;2003;0.0;992;j
QA;sptinc992j;p0p1;2004;0.0;992;j
QA;sptinc992j;p0p1;2005;0.0;992;j
QA;sptinc992j;p0p1;2006;0.0;992;j
QA;sptinc992j;p0p1;2007;0.0;992;j
QA;sptinc992j;p0p1;2008;0.0;992;j
QA;sptinc992j;p0p1;2009;0.0;992;j
QA;sptinc992j;p0p1;2010;0.0;992;j
QA;sptinc992j;p0p1;2011;0.0;992;j
QA;sptinc992j;p0p1;2012;0.0;992;j
QA;sptinc992j;p0p1;2013;0.0;992;j
QA;sptinc992j;p0p1;2014;0.0;992;j
QA;sptinc992j;p0p1;2015;0.0;992;j
QA;sptinc992j;p0p1;2016;0.0;992;j
QA;sptinc992j;p0p1;2017;0.0;992;j
QA;sptinc992j;p0p1;2018;0.0;992;j
QA;sptinc992j;p0p1;2019;0.0;992;j
QA;sptinc992j;p0p1;2020;0.0;992;j
QA;sptinc992j;p0p1;2021;0.0;992;j
QA;sptinc992j;p0p10;1980;0.0012;992;j
QA;sptinc992j;p0p10;1981;0.0012;992;j
QA;sptinc992j;p0p10;1982;0.0012;992;j
QA;sptinc992j;p0p10;1983;0.0012;992;j
QA;sptinc992j;p0p10;1984;0.0012;992;j
QA;sptinc992j;p0p10;1985;0.0012;992;j
QA;sptinc992j;p0p10;1986;0.0012;992;j
QA;sptinc992j;p0p10;1987;0.0012;992;j
QA;sptinc992j;p0p10;1988;0.0012;992;j
QA;sptinc992j;p0p10;1989;0.0012;992;j
QA;sptinc992j;p0p10;1990;0.0012;992;j
QA;sptinc992j;p0p10;1991;0.0012;992;j
QA;sptinc992j;p0p10;1992;0.0012;992;j
QA;sptinc992j;p0p10;1993;0.0012;992;j
QA;sptinc992j;p0p10;1994;0.0012;992;j
QA;sptinc992j;p0p10;1995;0.0012;992;j
QA;sptinc992j;p0p10;1996;0.0012;992;j
QA;sptinc992j;p0p10;1997;0.0012;992;j
QA;sptinc992j;p0p10;1998;0.0012;992;j
QA;sptinc992j;p0p10;1999;0.0012;992;j
QA;sptinc992j;p0p10;2000;0.0012;992;j
QA;sptinc992j;p0p10;2001;0.0012;992;j
QA;sptinc992j;p0p10;2002;0.0012;992;j
QA;sptinc992j;p0p10;2003;0.0012;992;j
QA;sptinc992j;p0p10;2004;0.0012;992;j
QA;sptinc992j;p0p10;2005;0.0012;992;j
QA;sptinc992j;p0p10;2006;0.0012;992;j
QA;sptinc992j;p0p10;2007;0.0012;992;j
QA;sptinc992j;p0p10;2008;0.0012;992;j
QA;sptinc992j;p0p10;2009;0.0013;992;j
QA;sptinc992j;p0p10;2010;0.0013;992;j
QA;sptinc992j;p0p10;2011;0.0013;992;j
QA;sptinc992j;p0p10;2012;0.0013;992;j
QA;sptinc992j;p0p10;2013;0.0013;992;j
QA;sptinc992j;p0p10;2014;0.0013;992;j
QA;sptinc992j;p0p10;2015;0.0013;992;j
QA;sptinc992j;p0p10;2016;0.0013;992;j
QA;sptinc992j;p0p10;2017;0.0013;992;j
QA;sptinc992j;p0p10;2018;0.0013;992;j
QA;sptinc992j;p0p10;2019;0.0013;992;j
QA;sptinc992j;p0p10;2020;0.0013;992;j
QA;sptinc992j;p0p10;2021;0.0013;992;j
QA;sptinc992j;p0p100;1980;1.0;992;j
QA;sptinc992j;p0p100;1981;1.0;992;j
QA;sptinc992j;p0p100;1982;1.0;992;j
QA;sptinc992j;p0p100;1983;1.0;992;j
QA;sptinc992j;p0p100;1984;1.0;992;j
QA;sptinc992j;p0p100;1985;1.0;992;j
QA;sptinc992j;p0p100;1986;1.0;992;j
QA;sptinc992j;p0p100;1987;1.0;992;j
QA;sptinc992j;p0p100;1988;1.0;992;j
QA;sptinc992j;p0p100;1989;1.0;992;j
QA;sptinc992j;p0p100;1990;1.0;992;j
QA;sptinc992j;p0p100;1991;1.0;992;j
QA;sptinc992j;p0p100;1992;1.0;992;j
QA;sptinc992j;p0p100;1993;1.0;992;j
QA;sptinc992j;p0p100;1994;1.0;992;j
QA;sptinc992j;p0p100;1995;1.0;992;j
QA;sptinc992j;p0p100;1996;1.0;992;j
QA;sptinc992j;p0p100;1997;1.0;992;j
QA;sptinc992j;p0p100;1998;1.0;992;j
QA;sptinc992j;p0p100;1999;1.0;992;j
QA;sptinc992j;p0p100;2000;1.0;992;j
QA;sptinc992j;p0p100;2001;1.0;992;j
QA;sptinc992j;p0p100;2002;1.0;992;j
QA;sptinc992j;p0p100;2003;1.0;992;j
QA;sptinc992j;p0p100;2004;1.0;992;j
QA;sptinc992j;p0p100;2005;1.0;992;j
QA;sptinc992j;p0p100;2006;1.0;992;j
QA;sptinc992j;p0p100;2007;1.0;992;j
QA;sptinc992j;p0p100;2008;1.0;992;j
