
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur ARTHAUD NATHALIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:27;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:17;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:44;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:23;00:00:00;
France2;Candidat;00:09:46;00:00:14;00:31:09;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:09:46;00:00:14;00:31:09;00:00:00;
France2;"Total temps d'antenne";00:09:46;00:00:21;00:33:26;00:00:00;
France3;Candidat;00:00:00;00:00:36;00:00:12;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:36;00:00:12;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:49;00:00:14;00:00:00;
France5;Candidat;00:00:00;00:01:15;00:02:14;00:01:01;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:01:15;00:02:14;00:01:01;
France5;"Total temps d'antenne";00:00:00;00:02:01;00:03:44;00:01:45;
M6;Candidat;00:00:00;00:00:26;00:00:36;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:26;00:00:36;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:44;00:01:14;00:00:00;
C8;Candidat;00:00:00;00:00:40;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:40;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:40;00:00:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:09:22;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:09:22;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:11:28;00:00:00;
BFMTV;Candidat;00:25:53;00:09:51;00:10:02;00:00:00;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:25:53;00:09:51;00:10:02;00:00:00;
BFMTV;"Total temps d'antenne";00:29:02;00:09:51;00:10:02;00:00:00;
Cnews;Candidat;00:02:04;00:26:23;00:01:37;00:07:00;
Cnews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:02:04;00:26:23;00:01:37;00:07:00;
Cnews;"Total temps d'antenne";00:11:47;00:39:10;00:03:01;00:19:12;
LCI;Candidat;00:23:44;00:26:11;00:00:10;00:00:00;
LCI;Soutiens;00:00:00;00:39:12;00:00:00;00:00:00;
LCI;"Total temps de parole";00:23:44;01:05:23;00:00:10;00:00:00;
LCI;"Total temps d'antenne";00:24:34;01:21:13;00:00:10;00:00:00;
FranceinfoTV;Candidat;00:20:45;00:51:26;00:01:17;00:00:51;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:11:19;00:00:00;
FranceinfoTV;"Total temps de parole";00:20:45;00:51:26;00:12:36;00:00:51;
FranceinfoTV;"Total temps d'antenne";00:22:03;00:56:56;00:14:09;00:01:19;
FranceInter;Candidat;00:19:11;00:01:00;00:01:55;00:00:00;
FranceInter;Soutiens;00:00:16;00:00:00;00:00:16;00:00:00;
FranceInter;"Total temps de parole";00:19:27;00:01:00;00:02:11;00:00:00;
FranceInter;"Total temps d'antenne";00:23:57;00:04:16;00:08:41;00:01:02;
FranceInfo;Candidat;00:18:50;00:17:55;00:04:13;00:03:31;
FranceInfo;Soutiens;00:01:02;00:00:31;00:01:02;00:00:00;
FranceInfo;"Total temps de parole";00:19:52;00:18:26;00:05:15;00:03:31;
FranceInfo;"Total temps d'antenne";00:25:36;00:23:24;00:13:05;00:08:23;
FranceCulture;Candidat;00:00:50;00:05:15;00:00:19;00:00:00;
FranceCulture;Soutiens;00:00:17;00:00:00;00:00:00;00:00:00;
