Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:30;00:09:22;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:17;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:30;00:09:39;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:59;00:10:46;00:00:00;
France2;Candidat;00:10:04;00:00:22;00:31:54;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:06;00:00:00;
France2;"Total temps de parole";00:10:04;00:00:22;00:32:00;00:00:00;
France2;"Total temps d'antenne";00:10:28;00:00:35;00:34:29;00:00:00;
France3;Candidat;00:00:00;00:00:45;00:00:32;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:21;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:26;00:01:15;00:00:00;
France5;Candidat;00:00:00;00:02:06;00:04:20;00:02:34;
France5;Soutiens;00:00:00;00:00:20;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:02:26;00:04:20;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:03:12;00:06:18;00:03:42;
M6;Candidat;00:00:00;00:00:46;00:00:57;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:46;00:00:57;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:03:11;00:03:37;00:00:00;
C8;Candidat;00:00:00;00:00:50;00:09:40;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:50;00:09:40;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:00;00:13:13;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:18:01;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:18:01;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:40:45;00:00:00;
BFMTV;Candidat;00:26:23;00:09:51;00:10:02;00:03:23;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:26:23;00:09:51;00:10:02;00:03:23;
BFMTV;"Total temps d'antenne";00:29:44;00:15:37;00:11:58;00:04:04;
Cnews;Candidat;00:17:13;00:26:43;00:07:52;00:07:00;
Cnews;Soutiens;00:00:26;00:07:50;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:17:39;00:34:33;00:07:52;00:07:00;
Cnews;"Total temps d'antenne";00:27:27;01:04:14;00:41:44;00:21:13;
LCI;Candidat;00:25:06;00:50:55;00:30:32;00:00:00;
LCI;Soutiens;00:00:00;00:39:12;00:00:00;00:00:00;
LCI;"Total temps de parole";00:25:06;01:30:07;00:30:32;00:00:00;
LCI;"Total temps d'antenne";00:35:17;02:08:31;01:17:44;00:00:00;
FranceinfoTV;Candidat;00:31:44;01:16:46;00:14:04;00:02:28;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:11:19;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:44;01:16:46;00:25:23;00:02:28;
FranceinfoTV;"Total temps d'antenne";00:36:55;01:56:59;00:36:31;00:10:17;
FranceInter;Candidat;00:20:52;00:03:47;00:02:55;00:00:00;
FranceInter;Soutiens;00:00:16;00:00:53;00:00:16;00:00:54;
FranceInter;"Total temps de parole";00:21:08;00:04:40;00:03:11;00:00:54;
FranceInter;"Total temps d'antenne";00:28:04;00:10:51;00:11:52;00:02:50;
FranceInfo;Candidat;00:19:52;00:25:39;00:19:01;00:09:27;
FranceInfo;Soutiens;00:01:02;00:00:31;00:01:02;00:00:00;
FranceInfo;"Total temps de parole";00:20:54;00:26:10;00:20:03;00:09:27;
FranceInfo;"Total temps d'antenne";00:31:12;00:44:32;00:42:31;00:30:13;
FranceCulture;Candidat;00:00:50;00:05:15;00:01:14;00:00:00;
FranceCulture;Soutiens;00:00:17;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:01:07;00:05:15;00:01:14;00:00:00;
FranceCulture;"Total temps d'antenne";00:05:10;00:05:21;00:03:04;00:00:00;
