seconde_periode_1_arthaud
Election présidentielle 2022
Période du 8 au 13 mars 2022
Temps de parole sur ARTHAUD NATHALIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
France2;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps d'antenne";00:00:00;00:00:04;00:00:00;00:00:00;
France3;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:00;00:00:05;00:00:00;
M6;Candidat;00:00:00;00:00:20;00:00:17;00:00:00;
M6;Soutiens;00:00:00;00:00:04;00:00:04;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:24;00:00:21;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:58;00:01:02;00:00:00;
Cnews;Candidat;00:00:00;00:03:00;00:00:16;00:00:00;
Cnews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:00:00;00:03:00;00:00:16;00:00:00;
Cnews;"Total temps d'antenne";00:00:00;00:03:00;00:00:31;00:00:00;
FranceinfoTV;Candidat;00:09:55;00:00:40;00:01:14;00:00:00;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceinfoTV;"Total temps de parole";00:09:55;00:00:40;00:01:14;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:10:20;00:00:47;00:01:29;00:00:00;
FranceInter;Candidat;00:00:00;00:00:16;00:00:00;00:00:00;
FranceInter;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceInter;"Total temps de parole";00:00:00;00:00:16;00:00:00;00:00:00;
FranceInter;"Total temps d'antenne";00:00:00;00:00:16;00:00:00;00:00:00;
FranceInfo;Candidat;00:08:23;00:03:52;00:00:00;00:08:37;
FranceInfo;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceInfo;"Total temps de parole";00:08:23;00:03:52;00:00:00;00:08:37;
FranceInfo;"Total temps d'antenne";00:08:23;00:04:35;00:00:00;00:09:02;
FranceCulture;Candidat;00:00:37;00:00:00;00:00:00;00:00:00;
FranceCulture;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:37;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps d'antenne";00:00:37;00:00:00;00:00:00;00:00:00;
Europe1;Candidat;00:00:00;00:00:00;00:00:36;00:00:36;
Europe1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Europe1;"Total temps de parole";00:00:00;00:00:00;00:00:36;00:00:36;
Europe1;"Total temps d'antenne";00:00:00;00:00:00;00:00:36;00:00:36;
RMC;Candidat;00:00:13;00:00:00;00:00:00;00:00:00;
RMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMC;"Total temps de parole";00:00:13;00:00:00;00:00:00;00:00:00;
RMC;"Total temps d'antenne";00:00:13;00:00:00;00:00:00;00:00:00;
SudRadio;Candidat;00:00:00;00:00:00;00:00:24;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:00:00;00:00:00;00:00:24;00:00:00;
SudRadio;"Total temps d'antenne";00:00:00;00:00:00;00:00:24;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:02:36;
