
Election présidentielle 2022
Période du 8 au 20 mars 2022
Temps de parole sur ARTHAUD NATHALIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:40;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:27;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:01:07;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:02:08;00:00:00;
France2;Candidat;00:00:00;00:00:41;00:00:00;00:00:00;
France2;Soutiens;00:00:00;00:00:27;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:01:08;00:00:00;00:00:00;
France2;"Total temps d'antenne";00:00:00;00:02:24;00:00:00;00:00:00;
France3;Candidat;00:00:00;00:03:52;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:03:52;00:00:00;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:04:08;00:00:05;00:00:00;
France5;Candidat;00:00:00;00:00:16;00:00:38;00:00:18;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:16;00:00:38;00:00:18;
France5;"Total temps d'antenne";00:00:00;00:00:16;00:00:38;00:00:18;
M6;Candidat;00:00:00;00:00:20;00:00:17;00:00:00;
M6;Soutiens;00:00:00;00:00:04;00:00:04;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:24;00:00:21;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:07;00:01:07;00:00:00;
C8;Candidat;00:00:00;00:00:22;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:22;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:22;00:00:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:06;00:00:00;00:00:00;
BFMTV;Candidat;00:03:00;00:00:00;00:07:42;00:03:00;
BFMTV;Soutiens;00:00:00;00:05:52;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:03:00;00:05:52;00:07:42;00:03:00;
BFMTV;"Total temps d'antenne";00:03:00;00:05:52;00:07:42;00:03:00;
Cnews;Candidat;00:06:45;00:03:44;00:02:55;00:00:00;
Cnews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:06:45;00:03:44;00:02:55;00:00:00;
Cnews;"Total temps d'antenne";00:06:45;00:04:05;00:03:10;00:00:00;
RMCDecouverte;Candidat;00:00:12;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:12;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:00:12;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:02:21;00:17:48;00:09:28;00:00:00;
LCI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
LCI;"Total temps de parole";00:02:21;00:17:48;00:09:28;00:00:00;
LCI;"Total temps d'antenne";00:02:21;00:18:07;00:09:53;00:00:00;
FranceinfoTV;Candidat;00:09:55;00:05:02;00:01:14;00:00:00;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:09:38;00:00:00;
FranceinfoTV;"Total temps de parole";00:09:55;00:05:02;00:10:52;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:10:20;00:05:09;00:11:07;00:00:00;
FranceInter;Candidat;00:00:26;00:01:02;00:01:21;00:00:11;
FranceInter;Soutiens;00:00:16;00:00:00;00:00:00;00:00:00;
FranceInter;"Total temps de parole";00:00:42;00:01:02;00:01:21;00:00:11;
FranceInter;"Total temps d'antenne";00:01:56;00:01:02;00:02:12;00:00:11;
FranceInfo;Candidat;00:08:50;00:07:29;00:00:29;00:08:37;
FranceInfo;Soutiens;00:00:16;00:00:00;00:00:16;00:00:00;
FranceInfo;"Total temps de parole";00:09:06;00:07:29;00:00:45;00:08:37;
FranceInfo;"Total temps d'antenne";00:10:21;00:08:12;00:02:01;00:09:02;
FranceCulture;Candidat;00:00:37;00:00:00;00:00:13;00:00:00;
FranceCulture;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:37;00:00:00;00:00:13;00:00:00;
FranceCulture;"Total temps d'antenne";00:00:37;00:00:00;00:00:13;00:00:00;
RTL;Candidat;00:01:05;00:01:00;00:01:00;00:00:00;
RTL;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:01:05;00:01:00;00:01:00;00:00:00;
RTL;"Total temps d'antenne";00:01:35;00:01:00;00:01:00;00:00:00;
Europe1;Candidat;00:00:44;00:00:00;00:00:36;00:01:12;
Europe1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Europe1;"Total temps de parole";00:00:44;00:00:00;00:00:36;00:01:12;
Europe1;"Total temps d'antenne";00:00:44;00:00:00;00:00:36;00:02:47;
RMC;Candidat;00:05:29;00:00:55;00:00:00;00:00:55;
RMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMC;"Total temps de parole";00:05:29;00:00:55;00:00:00;00:00:55;
RMC;"Total temps d'antenne";00:05:58;00:00:55;00:00:00;00:00:55;
BFMBusiness;Candidat;00:00:12;00:00:00;00:00:00;00:00:00;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps de parole";00:00:12;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps d'antenne";00:00:12;00:00:20;00:00:00;00:00:20;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:00:02;00:00:00;00:00:00;00:00:02;
SudRadio;Candidat;00:00:20;00:00:00;00:00:24;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:00:20;00:00:00;00:00:24;00:00:00;
SudRadio;"Total temps d'antenne";00:00:20;00:00:40;00:00:24;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:00;00:00:01;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:02:36;
RFI;Candidat;00:00:00;00:00:00;00:01:08;00:00:21;
RFI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RFI;"Total temps de parole";00:00:00;00:00:00;00:01:08;00:00:21;
RFI;"Total temps d'antenne";00:00:00;00:00:00;00:01:08;00:00:21;
France24;Candidat;00:00:00;00:00:00;00:00:25;00:00:00;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:00:00;00:00:00;00:00:25;00:00:00;
France24;"Total temps d'antenne";00:00:00;00:00:00;00:01:18;00:00:00;
"RMC Story";Candidat;00:05:16;00:00:55;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:05:16;00:00:55;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:05:45;00:00:55;00:00:00;00:00:00;
