Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:01:10;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:27;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:01:37;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:26;00:03:05;00:00:00;
France2;Candidat;00:09:34;00:00:41;00:13:12;00:00:00;
France2;Soutiens;00:00:00;00:00:27;00:00:00;00:00:00;
France2;"Total temps de parole";00:09:34;00:01:08;00:13:12;00:00:00;
France2;"Total temps d'antenne";00:09:59;00:02:24;00:14:29;00:00:00;
France3;Candidat;00:00:00;00:03:52;00:00:21;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:03:52;00:00:21;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:04:08;00:00:42;00:00:00;
France5;Candidat;00:00:00;00:00:27;00:06:54;00:06:28;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:27;00:06:54;00:06:28;
France5;"Total temps d'antenne";00:00:00;00:00:27;00:08:09;00:07:43;
M6;Candidat;00:00:00;00:00:20;00:00:47;00:00:00;
M6;Soutiens;00:00:00;00:00:04;00:00:04;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:24;00:00:51;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:07;00:02:01;00:00:00;
C8;Candidat;00:00:00;00:01:39;00:08:04;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:01:39;00:08:04;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:39;00:08:04;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:01:31;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:01:31;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:06;00:02:51;00:00:00;
