Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:17:08;00:00:00;
TF1;Soutiens;00:00:00;00:00:07;00:00:06;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:07;00:17:14;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:00;00:19:12;00:00:00;
France2;Candidat;00:11:04;00:05:45;00:42:29;00:00:00;
France2;Soutiens;00:00:40;00:00:00;00:00:40;00:00:00;
France2;"Total temps de parole";00:11:44;00:05:45;00:43:09;00:00:00;
France2;"Total temps d'antenne";00:13:07;00:06:38;00:44:36;00:00:00;
France3;Candidat;00:00:00;00:09:27;00:00:42;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:28;00:00:00;
France3;"Total temps de parole";00:00:00;00:09:27;00:01:10;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:10:00;00:02:09;00:00:00;
France5;Candidat;00:00:00;00:00:20;00:01:38;00:01:08;
France5;Soutiens;00:00:00;00:00:07;00:07:33;00:07:26;
France5;"Total temps de parole";00:00:00;00:00:27;00:09:11;00:08:34;
France5;"Total temps d'antenne";00:00:00;00:00:27;00:12:00;00:11:04;
M6;Candidat;00:00:00;00:00:17;00:04:34;00:00:00;
M6;Soutiens;00:00:00;00:00:23;00:00:31;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:40;00:05:05;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:15;00:07:29;00:00:00;
C8;Candidat;00:00:00;00:03:47;00:25:17;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:03:47;00:25:17;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:03:47;00:25:46;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:04:12;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:04:11;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:08:23;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:51;00:18:40;00:00:00;
BFMTV;Candidat;00:17:11;00:06:20;00:02:39;00:08:06;
BFMTV;Soutiens;00:00:36;00:34:20;00:31:15;00:06:17;
BFMTV;"Total temps de parole";00:17:47;00:40:40;00:33:54;00:14:23;
BFMTV;"Total temps d'antenne";00:20:39;00:42:45;00:33:54;00:16:14;
Cnews;Candidat;00:15:40;00:12:34;00:34:25;00:07:18;
Cnews;Soutiens;00:00:47;01:28:16;00:10:00;00:00:00;
Cnews;"Total temps de parole";00:16:27;01:40:50;00:44:25;00:07:18;
Cnews;"Total temps d'antenne";00:19:28;01:42:51;00:52:51;00:21:18;
RMCDecouverte;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:50;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:50;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:03:51;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:03:05;00:31:19;00:41:55;00:00:59;
LCI;Soutiens;00:12:51;00:35:13;00:00:00;00:00:00;
LCI;"Total temps de parole";00:15:56;01:06:32;00:41:55;00:00:59;
LCI;"Total temps d'antenne";00:16:19;01:47:26;00:43:32;00:00:59;
FranceinfoTV;Candidat;00:35:52;00:39:48;00:17:42;00:01:28;
FranceinfoTV;Soutiens;00:05:42;00:07:04;00:28:57;00:00:00;
FranceinfoTV;"Total temps de parole";00:41:34;00:46:52;00:46:39;00:01:28;
FranceinfoTV;"Total temps d'antenne";00:46:11;01:23:10;01:01:06;00:03:25;
FranceInter;Candidat;00:08:10;00:05:28;00:02:27;00:00:00;
FranceInter;Soutiens;00:01:23;00:01:39;00:01:39;00:00:41;
FranceInter;"Total temps de parole";00:09:33;00:07:07;00:04:06;00:00:41;
FranceInter;"Total temps d'antenne";00:14:08;00:08:39;00:07:41;00:03:38;
FranceInfo;Candidat;00:22:52;00:08:54;00:03:42;00:26:44;
FranceInfo;Soutiens;00:01:31;00:08:25;00:15:56;00:03:50;
FranceInfo;"Total temps de parole";00:24:23;00:17:19;00:19:38;00:30:34;
FranceInfo;"Total temps d'antenne";00:37:17;00:33:11;00:49:25;01:05:13;
FranceCulture;Candidat;00:00:33;00:00:00;00:01:08;00:00:00;
FranceCulture;Soutiens;00:01:06;00:10:09;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:01:39;00:10:09;00:01:08;00:00:00;
FranceCulture;"Total temps d'antenne";00:11:03;00:10:33;00:26:05;00:00:00;
RTL;Candidat;00:00:26;00:00:38;00:00:03;00:00:53;
RTL;Soutiens;00:08:06;00:32:17;00:04:11;00:01:00;
RTL;"Total temps de parole";00:08:32;00:32:55;00:04:14;00:01:53;
RTL;"Total temps d'antenne";00:16:17;00:41:23;00:04:30;00:02:39;
Europe1;Candidat;00:32:09;00:00:34;00:01:18;00:00:35;
Europe1;Soutiens;00:00:06;00:06:30;00:22:36;00:00:00;
Europe1;"Total temps de parole";00:32:15;00:07:04;00:23:54;00:00:35;
Europe1;"Total temps d'antenne";00:35:35;00:07:04;00:23:54;00:00:35;
RMC;Candidat;00:14:50;00:05:40;00:00:00;00:06:27;
RMC;Soutiens;00:06:02;00:11:27;00:00:00;00:11:51;
RMC;"Total temps de parole";00:20:52;00:17:07;00:00:00;00:18:18;
RMC;"Total temps d'antenne";00:23:38;00:18:01;00:00:00;00:19:12;
BFMBusiness;Candidat;00:00:00;00:00:28;00:03:44;00:02:09;
BFMBusiness;Soutiens;00:00:50;00:00:00;00:02:39;00:02:39;
BFMBusiness;"Total temps de parole";00:00:50;00:00:28;00:06:23;00:04:48;
BFMBusiness;"Total temps d'antenne";00:03:51;00:08:42;00:17:46;00:07:23;
RadioClassique;Candidat;00:00:27;00:00:00;00:00:00;00:00:18;
RadioClassique;Soutiens;00:00:48;00:00:00;00:00:00;00:00:27;
RadioClassique;"Total temps de parole";00:01:15;00:00:00;00:00:00;00:00:45;
RadioClassique;"Total temps d'antenne";00:20:33;00:00:51;00:00:25;00:18:02;
SudRadio;Candidat;00:31:00;00:00:00;00:00:24;00:00:00;
SudRadio;Soutiens;00:00:00;00:05:18;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:31:00;00:05:18;00:00:24;00:00:00;
SudRadio;"Total temps d'antenne";00:32:20;00:09:18;00:00:24;00:00:00;
TV5Monde;Candidat;00:10:17;00:00:00;00:42:29;00:00:00;
TV5Monde;Soutiens;00:00:40;00:00:00;00:00:40;00:00:00;
TV5Monde;"Total temps de parole";00:10:57;00:00:00;00:43:09;00:00:00;
TV5Monde;"Total temps d'antenne";00:12:08;00:00:06;00:46:38;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:04:20;
RFI;Candidat;00:02:28;00:00:52;00:02:02;00:02:01;
RFI;Soutiens;00:09:56;00:04:18;00:09:45;00:00:20;
RFI;"Total temps de parole";00:12:24;00:05:10;00:11:47;00:02:21;
RFI;"Total temps d'antenne";00:15:52;00:05:22;00:12:27;00:02:39;
France24;Candidat;00:01:03;00:01:53;00:05:39;00:00:36;
France24;Soutiens;00:00:00;00:00:00;00:01:22;00:00:00;
France24;"Total temps de parole";00:01:03;00:01:53;00:07:01;00:00:36;
France24;"Total temps d'antenne";00:01:19;00:03:07;00:13:46;00:03:40;
"RMC Story";Candidat;00:01:45;00:05:40;00:00:00;00:00:00;
"RMC Story";Soutiens;00:05:48;00:10:58;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:07:33;00:16:38;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:10:40;00:17:32;00:00:00;00:00:00;
