Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:01:23;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:01:23;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:14;00:03:16;00:00:00;
France2;Candidat;00:09:59;00:00:16;00:14:55;00:00:00;
France2;Soutiens;00:00:00;00:00:14;00:00:00;00:00:00;
France2;"Total temps de parole";00:09:59;00:00:30;00:14:55;00:00:00;
France2;"Total temps d'antenne";00:11:05;00:00:30;00:16:08;00:00:00;
France3;Candidat;00:00:00;00:05:03;00:00:11;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:05:03;00:00:11;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:05:45;00:00:19;00:00:00;
France5;Candidat;00:00:00;00:00:20;00:08:02;00:07:40;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:20;00:08:02;00:07:40;
France5;"Total temps d'antenne";00:00:00;00:00:20;00:09:03;00:08:41;
M6;Candidat;00:00:00;00:01:42;00:01:01;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:42;00:01:01;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:29;00:02:55;00:00:00;
C8;Candidat;00:00:00;00:01:01;00:08:21;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:01:01;00:08:21;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:01;00:08:55;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:03:05;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:03:05;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:06;00:04:33;00:00:00;
BFMTV;Candidat;00:03:59;00:18:55;00:04:41;00:04:57;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:03:59;00:18:55;00:04:41;00:04:57;
BFMTV;"Total temps d'antenne";00:04:05;00:18:55;00:04:41;00:05:33;
Cnews;Candidat;00:15:26;00:17:30;00:13:49;00:05:00;
Cnews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:15:26;00:17:30;00:13:49;00:05:00;
Cnews;"Total temps d'antenne";00:15:26;00:20:52;00:14:37;00:05:00;
RMCDecouverte;Candidat;00:00:15;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:15;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:00:45;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:02:25;00:12:47;00:02:16;00:00:16;
LCI;Soutiens;00:00:00;00:00:00;00:00:16;00:00:00;
LCI;"Total temps de parole";00:02:25;00:12:47;00:02:32;00:00:16;
LCI;"Total temps d'antenne";00:02:39;00:18:18;00:08:56;00:00:16;
FranceinfoTV;Candidat;00:14:27;00:16:28;00:00:47;00:01:05;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:09:10;00:00:00;
FranceinfoTV;"Total temps de parole";00:14:27;00:16:28;00:09:57;00:01:05;
FranceinfoTV;"Total temps d'antenne";00:15:07;00:21:45;00:14:08;00:02:14;
FranceInter;Candidat;00:06:07;00:04:48;00:01:37;00:00:07;
FranceInter;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceInter;"Total temps de parole";00:06:07;00:04:48;00:01:37;00:00:07;
FranceInter;"Total temps d'antenne";00:06:33;00:06:05;00:05:07;00:00:38;
FranceInfo;Candidat;00:09:40;00:04:55;00:01:12;00:01:23;
FranceInfo;Soutiens;00:01:42;00:03:25;00:01:42;00:00:00;
FranceInfo;"Total temps de parole";00:11:22;00:08:20;00:02:54;00:01:23;
FranceInfo;"Total temps d'antenne";00:13:40;00:12:56;00:09:55;00:11:51;
FranceCulture;Candidat;00:00:35;00:00:21;00:00:23;00:00:00;
FranceCulture;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:35;00:00:21;00:00:23;00:00:00;
FranceCulture;"Total temps d'antenne";00:02:02;00:00:41;00:00:45;00:00:00;
RTL;Candidat;00:01:21;00:01:50;00:01:59;00:01:00;
RTL;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:01:21;00:01:50;00:01:59;00:01:00;
RTL;"Total temps d'antenne";00:02:07;00:05:53;00:04:18;00:01:24;
Europe1;Candidat;00:14:10;00:00:00;00:00:58;00:00:00;
Europe1;Soutiens;00:00:00;00:06:24;00:00:00;00:00:00;
Europe1;"Total temps de parole";00:14:10;00:06:24;00:00:58;00:00:00;
Europe1;"Total temps d'antenne";00:14:10;00:06:24;00:04:08;00:00:00;
RMC;Candidat;00:02:51;00:04:34;00:00:00;00:06:20;
RMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMC;"Total temps de parole";00:02:51;00:04:34;00:00:00;00:06:20;
RMC;"Total temps d'antenne";00:04:04;00:05:40;00:00:00;00:08:22;
BFMBusiness;Candidat;00:00:15;00:00:15;00:01:00;00:01:00;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps de parole";00:00:15;00:00:15;00:01:00;00:01:00;
BFMBusiness;"Total temps d'antenne";00:00:45;00:00:59;00:01:05;00:01:05;
RadioClassique;Candidat;00:00:38;00:00:00;00:00:00;00:00:38;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:38;00:00:00;00:00:00;00:00:38;
RadioClassique;"Total temps d'antenne";00:01:46;00:00:14;00:00:00;00:01:42;
SudRadio;Candidat;00:18:01;00:00:12;00:00:00;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:18:01;00:00:12;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";00:18:01;00:00:57;00:02:30;00:00:00;
TV5Monde;Candidat;00:00:37;00:00:00;00:15:20;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:37;00:00:00;00:15:20;00:00:00;
TV5Monde;"Total temps d'antenne";00:01:24;00:00:00;00:16:39;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:02:49;
RFI;Candidat;00:01:00;00:02:00;00:10:20;00:00:28;
RFI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RFI;"Total temps de parole";00:01:00;00:02:00;00:10:20;00:00:28;
RFI;"Total temps d'antenne";00:01:26;00:02:10;00:11:33;00:00:52;
France24;Candidat;00:00:10;00:00:19;00:05:15;00:01:08;
France24;Soutiens;00:00:00;00:00:00;00:00:13;00:00:00;
France24;"Total temps de parole";00:00:10;00:00:19;00:05:28;00:01:08;
France24;"Total temps d'antenne";00:00:20;00:00:35;00:08:35;00:01:40;
"RMC Story";Candidat;00:02:54;00:04:34;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:02:54;00:04:34;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:06:44;00:05:40;00:00:00;00:00:00;
