Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:41;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:41;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:24;00:00:00;
France2;Candidat;00:00:00;00:00:22;00:00:20;00:00:00;
France2;Soutiens;00:09:47;00:00:00;00:00:39;00:00:00;
France2;"Total temps de parole";00:09:47;00:00:22;00:00:59;00:00:00;
France2;"Total temps d'antenne";00:10:04;00:02:05;00:02:08;00:00:00;
France3;Candidat;00:00:00;00:00:15;00:00:28;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:15;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:15;00:00:43;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:48;00:01:51;00:00:00;
France5;Candidat;00:00:00;00:00:54;00:02:36;00:01:40;
France5;Soutiens;00:00:00;00:00:47;00:00:47;00:00:00;
France5;"Total temps de parole";00:00:00;00:01:41;00:03:23;00:01:40;
France5;"Total temps d'antenne";00:00:00;00:02:40;00:05:05;00:02:23;
M6;Candidat;00:00:00;00:00:09;00:00:52;00:00:00;
M6;Soutiens;00:00:00;00:00:22;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:31;00:00:52;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:10;00:04:03;00:00:00;
C8;Candidat;00:00:00;00:00:00;00:00:27;00:00:00;
C8;Soutiens;00:00:00;00:00:30;00:08:20;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:30;00:08:47;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:47;00:08:47;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:10:09;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:01:04;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:11:13;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:22:41;00:00:00;
BFMTV;Candidat;00:10:02;00:02:49;00:05:07;00:00:23;
BFMTV;Soutiens;00:00:00;00:01:15;00:00:00;00:00:07;
BFMTV;"Total temps de parole";00:10:02;00:04:04;00:05:07;00:00:30;
BFMTV;"Total temps d'antenne";00:13:15;00:09:10;00:07:19;00:00:30;
Cnews;Candidat;00:00:23;00:21:21;00:07:22;00:07:09;
Cnews;Soutiens;00:14:00;00:02:37;00:00:34;00:00:00;
Cnews;"Total temps de parole";00:14:23;00:23:58;00:07:56;00:07:09;
Cnews;"Total temps d'antenne";00:21:35;01:02:28;00:38:14;00:19:09;
LCI;Candidat;00:00:00;01:27:50;00:01:55;00:00:00;
LCI;Soutiens;00:00:00;00:02:12;00:00:00;00:00:00;
LCI;"Total temps de parole";00:00:00;01:30:02;00:01:55;00:00:00;
LCI;"Total temps d'antenne";00:01:45;02:01:56;00:46:55;00:00:00;
FranceinfoTV;Candidat;00:00:59;00:50:29;00:04:58;00:01:31;
FranceinfoTV;Soutiens;00:08:19;00:08:39;00:14:30;00:00:00;
FranceinfoTV;"Total temps de parole";00:09:18;00:59:08;00:19:28;00:01:31;
FranceinfoTV;"Total temps d'antenne";00:11:54;01:50:08;00:31:18;00:03:10;
FranceInter;Candidat;00:00:33;00:00:57;00:02:39;00:00:00;
FranceInter;Soutiens;00:00:31;00:02:13;00:00:00;00:01:24;
FranceInter;"Total temps de parole";00:01:04;00:03:10;00:02:39;00:01:24;
FranceInter;"Total temps d'antenne";00:07:40;00:09:10;00:09:50;00:02:29;
FranceInfo;Candidat;00:03:00;00:13:35;00:15:32;00:03:41;
FranceInfo;Soutiens;00:00:32;00:00:29;00:01:10;00:00:00;
FranceInfo;"Total temps de parole";00:03:32;00:14:04;00:16:42;00:03:41;
FranceInfo;"Total temps d'antenne";00:19:36;01:01:12;01:20:55;00:30:06;
FranceCulture;Candidat;00:00:32;00:00:00;00:00:45;00:00:00;
FranceCulture;Soutiens;00:01:03;00:04:37;00:00:10;00:00:00;
FranceCulture;"Total temps de parole";00:01:35;00:04:37;00:00:55;00:00:00;
FranceCulture;"Total temps d'antenne";00:10:57;00:06:49;00:03:10;00:00:00;
RTL;Candidat;00:00:44;00:03:01;00:02:29;00:01:20;
RTL;Soutiens;00:00:12;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:00:56;00:03:01;00:02:29;00:01:20;
RTL;"Total temps d'antenne";00:21:34;00:16:42;00:16:52;00:03:44;
Europe1;Candidat;00:01:33;00:01:06;00:08:10;00:01:34;
Europe1;Soutiens;00:27:40;00:11:18;00:00:00;00:00:14;
Europe1;"Total temps de parole";00:29:13;00:12:24;00:08:10;00:01:48;
Europe1;"Total temps d'antenne";00:45:07;00:16:25;00:15:30;00:06:57;
