Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:30:18;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:08:52;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:39:10;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:02:21;00:55:14;00:00:00;
France2;Candidat;00:00:49;00:00:06;00:00:39;00:00:00;
France2;Soutiens;00:24:49;00:03:28;00:23:56;00:00:00;
France2;"Total temps de parole";00:25:38;00:03:34;00:24:35;00:00:00;
France2;"Total temps d'antenne";00:45:41;00:07:43;00:30:55;00:00:00;
France3;Candidat;00:00:00;00:00:00;00:00:23;00:00:00;
France3;Soutiens;00:00:00;00:00:12;00:00:31;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:12;00:00:54;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:04:17;00:04:11;00:00:00;
France5;Candidat;00:00:00;00:02:08;00:04:52;00:03:12;
France5;Soutiens;00:00:00;00:00:13;00:20:26;00:20:26;
France5;"Total temps de parole";00:00:00;00:02:21;00:25:18;00:23:38;
France5;"Total temps d'antenne";00:00:00;00:19:02;00:51:00;00:30:26;
M6;Candidat;00:00:00;00:00:23;00:00:53;00:00:00;
M6;Soutiens;00:00:00;00:01:26;00:00:25;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:49;00:01:18;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:08:20;00:06:40;00:00:00;
C8;Candidat;00:00:00;00:02:05;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:18:13;00:15:58;00:00:00;
C8;"Total temps de parole";00:00:00;00:20:18;00:15:58;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:24:19;00:20:26;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:06:52;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:07:07;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:13:59;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:02:41;00:29:32;00:00:00;
BFMTV;Candidat;00:08:15;02:43:35;01:03:34;00:50:29;
BFMTV;Soutiens;00:32:45;00:08:00;00:03:10;00:03:00;
BFMTV;"Total temps de parole";00:41:00;02:51:35;01:06:44;00:53:29;
BFMTV;"Total temps d'antenne";01:25:14;04:11:18;02:26:59;01:30:34;
Cnews;Candidat;00:09:12;02:35:46;00:41:10;00:19:19;
Cnews;Soutiens;00:42:15;02:08:21;01:13:43;00:00:00;
Cnews;"Total temps de parole";00:51:27;04:44:07;01:54:53;00:19:19;
Cnews;"Total temps d'antenne";01:43:50;07:42:00;04:32:10;01:07:09;
RMCDecouverte;Candidat;00:01:34;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:01:34;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:03:08;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:23:01;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:05:38;02:44:55;00:13:29;00:03:44;
LCI;Soutiens;00:19:24;01:05:52;00:21:01;00:00:00;
LCI;"Total temps de parole";00:25:02;03:50:47;00:34:30;00:03:44;
LCI;"Total temps d'antenne";01:12:19;07:17:03;02:11:01;00:03:54;
FranceinfoTV;Candidat;00:02:44;02:12:00;00:09:20;00:06:29;
FranceinfoTV;Soutiens;00:50:50;00:16:39;01:06:39;00:03:33;
FranceinfoTV;"Total temps de parole";00:53:34;02:28:39;01:15:59;00:10:02;
FranceinfoTV;"Total temps d'antenne";01:27:17;05:17:20;02:50:53;00:58:11;
FranceInter;Candidat;00:03:28;00:02:00;00:05:15;00:00:22;
FranceInter;Soutiens;00:25:39;00:07:43;00:01:37;00:00:22;
FranceInter;"Total temps de parole";00:29:07;00:09:43;00:06:52;00:00:44;
FranceInter;"Total temps d'antenne";01:03:24;00:36:06;00:47:23;00:13:15;
FranceInfo;Candidat;00:05:53;00:18:13;00:11:51;00:06:31;
FranceInfo;Soutiens;00:45:20;00:11:18;00:15:23;00:06:24;
FranceInfo;"Total temps de parole";00:51:13;00:29:31;00:27:14;00:12:55;
