Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:29;00:09:32;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:20;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:29;00:09:52;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:06;00:10:46;00:00:00;
France2;Candidat;00:00:14;00:00:22;00:31:26;00:00:00;
France2;Soutiens;00:09:49;00:00:00;00:00:37;00:00:00;
France2;"Total temps de parole";00:10:03;00:00:22;00:32:03;00:00:00;
France2;"Total temps d'antenne";00:11:39;00:01:00;00:37:27;00:00:00;
France3;Candidat;00:00:00;00:00:45;00:00:35;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:18;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:03:19;00:02:00;00:00:00;
France5;Candidat;00:00:00;00:01:14;00:04:12;00:01:57;
France5;Soutiens;00:00:00;00:00:22;00:00:59;00:00:37;
France5;"Total temps de parole";00:00:00;00:01:36;00:05:11;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:02:34;00:07:24;00:03:49;
M6;Candidat;00:00:00;00:00:33;00:00:18;00:00:00;
M6;Soutiens;00:00:00;00:00:28;00:00:39;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:01;00:00:57;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:56;00:04:16;00:00:00;
C8;Candidat;00:00:00;00:00:56;00:08:04;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:56;00:08:04;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:06;00:15:29;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:15:13;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:02:47;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:18:00;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:41:24;00:00:00;
BFMTV;Candidat;00:26:14;00:04:57;00:04:10;00:03:18;
BFMTV;Soutiens;00:00:00;00:05:03;00:05:45;00:00:00;
BFMTV;"Total temps de parole";00:26:14;00:10:00;00:09:55;00:03:18;
BFMTV;"Total temps d'antenne";00:30:22;00:15:45;00:12:03;00:04:09;
Cnews;Candidat;00:03:00;00:28:37;00:06:32;00:06:25;
