Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:21:06;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:42;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:21:48;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:11;00:24:29;00:00:00;
France2;Candidat;00:00:22;00:00:00;00:00:44;00:00:00;
France2;Soutiens;00:10:07;00:00:00;00:00:28;00:00:00;
France2;"Total temps de parole";00:10:29;00:00:00;00:01:12;00:00:00;
France2;"Total temps d'antenne";00:11:10;00:00:04;00:03:14;00:00:00;
France3;Candidat;00:00:00;00:09:30;00:00:58;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:01;00:00:00;
France3;"Total temps de parole";00:00:00;00:09:30;00:00:59;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:11:46;00:02:32;00:00:00;
France5;Candidat;00:00:00;00:00:59;00:02:18;00:00:38;
France5;Soutiens;00:00:00;00:00:00;00:12:10;00:12:10;
France5;"Total temps de parole";00:00:00;00:00:59;00:14:28;00:12:48;
France5;"Total temps d'antenne";00:00:00;00:01:28;00:16:27;00:12:54;
M6;Candidat;00:00:00;00:00:00;00:01:15;00:00:00;
M6;Soutiens;00:00:00;00:00:15;00:00:16;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:15;00:01:31;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:16;00:03:57;00:00:00;
C8;Candidat;00:00:00;00:01:48;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:01:39;00:00:00;
C8;"Total temps de parole";00:00:00;00:01:48;00:01:39;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:48;00:01:54;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:03:34;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:03:28;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:07:02;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:23;00:12:00;00:00:00;
BFMTV;Candidat;00:00:00;00:53:14;00:02:16;00:09:17;
BFMTV;Soutiens;00:11:10;00:12:38;00:00:00;00:00:31;
BFMTV;"Total temps de parole";00:11:10;01:05:52;00:02:16;00:09:48;
BFMTV;"Total temps d'antenne";00:18:50;02:03:56;00:16:10;00:15:40;
Cnews;Candidat;00:01:32;00:58:03;00:15:55;00:00:00;
Cnews;Soutiens;00:08:27;02:05:56;00:56:27;00:00:00;
Cnews;"Total temps de parole";00:09:59;03:03:59;01:12:22;00:00:00;
Cnews;"Total temps d'antenne";00:19:55;03:25:47;01:34:29;00:00:00;
LCI;Candidat;00:00:33;00:55:00;00:45:34;00:00:00;
LCI;Soutiens;00:00:00;00:35:42;00:02:42;00:00:00;
LCI;"Total temps de parole";00:00:33;01:30:42;00:48:16;00:00:00;
LCI;"Total temps d'antenne";00:00:33;02:12:40;00:50:34;00:00:00;
FranceinfoTV;Candidat;00:01:06;01:01:27;00:07:29;00:00:00;
FranceinfoTV;Soutiens;00:30:43;00:11:52;00:36:57;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:49;01:13:19;00:44:26;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:40:15;01:59:30;01:07:44;00:00:00;
FranceInter;Candidat;00:00:22;00:10:03;00:03:08;00:00:18;
FranceInter;Soutiens;00:00:00;00:02:35;00:00:00;00:00:39;
FranceInter;"Total temps de parole";00:00:22;00:12:38;00:03:08;00:00:57;
FranceInter;"Total temps d'antenne";00:05:34;00:16:56;00:16:36;00:01:28;
FranceInfo;Candidat;00:01:29;00:02:52;00:04:19;00:01:37;
FranceInfo;Soutiens;00:14:01;00:13:19;00:10:21;00:02:42;
FranceInfo;"Total temps de parole";00:15:30;00:16:11;00:14:40;00:04:19;
FranceInfo;"Total temps d'antenne";00:28:47;00:57:45;00:54:11;00:15:09;
FranceCulture;Candidat;00:00:51;00:00:00;00:00:21;00:00:00;
FranceCulture;Soutiens;00:00:00;00:15:05;00:00:45;00:00:00;
FranceCulture;"Total temps de parole";00:00:51;00:15:05;00:01:06;00:00:00;
FranceCulture;"Total temps d'antenne";00:12:24;00:15:59;00:04:14;00:00:00;
RTL;Candidat;00:00:49;00:00:42;00:01:02;00:00:25;
RTL;Soutiens;00:03:40;00:56:27;00:03:09;00:01:00;
RTL;"Total temps de parole";00:04:29;00:57:09;00:04:11;00:01:25;
RTL;"Total temps d'antenne";00:09:25;01:05:10;00:13:47;00:02:05;
Europe1;Candidat;00:03:31;00:00:00;00:02:49;00:00:00;
Europe1;Soutiens;00:00:00;00:40:49;00:18:05;00:00:00;
Europe1;"Total temps de parole";00:03:31;00:40:49;00:20:54;00:00:00;
Europe1;"Total temps d'antenne";00:06:59;00:40:49;00:20:54;00:01:00;
RMC;Candidat;00:01:06;00:38:38;00:00:00;00:37:03;
RMC;Soutiens;00:22:19;00:08:42;00:00:00;00:08:42;
RMC;"Total temps de parole";00:23:25;00:47:20;00:00:00;00:45:45;
RMC;"Total temps d'antenne";00:25:53;01:04:28;00:00:00;01:02:53;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:01:19;00:00:46;
BFMBusiness;"Total temps de parole";00:00:00;00:00:00;00:01:19;00:00:46;
BFMBusiness;"Total temps d'antenne";00:00:00;00:00:54;00:03:00;00:03:21;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:04:37;00:00:41;00:00:00;00:04:08;
SudRadio;Candidat;00:00:21;00:00:00;00:00:00;00:00:00;
SudRadio;Soutiens;00:27:15;00:11:14;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:27:36;00:11:14;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";00:32:19;00:18:36;00:00:00;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:01:06;00:00:00;
TV5Monde;Soutiens;00:09:41;00:00:00;00:01:03;00:00:00;
TV5Monde;"Total temps de parole";00:09:41;00:00:00;00:02:09;00:00:00;
TV5Monde;"Total temps d'antenne";00:09:41;00:00:58;00:06:27;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:01:31;
RFI;Candidat;00:00:00;00:00:00;00:01:14;00:00:00;
RFI;Soutiens;00:09:00;00:04:00;00:02:07;00:00:00;
RFI;"Total temps de parole";00:09:00;00:04:00;00:03:21;00:00:00;
RFI;"Total temps d'antenne";00:09:15;00:04:20;00:05:23;00:00:00;
France24;Candidat;00:00:00;00:00:08;00:01:48;00:00:00;
France24;Soutiens;00:00:24;00:00:08;00:00:46;00:00:00;
France24;"Total temps de parole";00:00:24;00:00:16;00:02:34;00:00:00;
France24;"Total temps d'antenne";00:00:40;00:02:17;00:09:13;00:03:09;
"RMC Story";Candidat;00:01:18;00:36:58;00:00:00;00:00:00;
"RMC Story";Soutiens;00:10:35;00:08:42;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:11:53;00:45:40;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:16:17;01:02:48;00:00:00;00:00:00;
