Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:30;00:09:50;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:01;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:30;00:09:51;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:03;00:10:53;00:00:00;
France2;Candidat;00:00:17;00:00:22;00:31:50;00:00:00;
France2;Soutiens;00:09:46;00:00:00;00:00:12;00:00:00;
France2;"Total temps de parole";00:10:03;00:00:22;00:32:02;00:00:00;
France2;"Total temps d'antenne";00:11:55;00:00:52;00:35:42;00:00:00;
France3;Candidat;00:00:00;00:00:24;00:00:35;00:00:00;
France3;Soutiens;00:00:00;00:00:21;00:00:18;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:03:19;00:02:25;00:00:00;
France5;Candidat;00:00:00;00:01:36;00:03:59;00:01:54;
France5;Soutiens;00:00:00;00:00:29;00:01:09;00:00:40;
France5;"Total temps de parole";00:00:00;00:02:05;00:05:08;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:02:56;00:06:59;00:03:30;
M6;Candidat;00:00:00;00:00:53;00:00:49;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:11;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:53;00:01:00;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:03:04;00:03:45;00:00:00;
C8;Candidat;00:00:00;00:00:58;00:09:27;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:58;00:09:27;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:58;00:14:51;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:16:18;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:02:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:18:18;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:40:14;00:00:00;
BFMTV;Candidat;00:26:18;00:09:52;00:09:47;00:03:19;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:16;00:00:00;
BFMTV;"Total temps de parole";00:26:18;00:09:52;00:10:03;00:03:19;
BFMTV;"Total temps d'antenne";00:30:07;00:15:24;00:12:21;00:03:51;
Cnews;Candidat;00:18:59;00:05:59;00:05:34;00:08:12;
Cnews;Soutiens;00:00:00;00:27:30;00:03:06;00:00:00;
Cnews;"Total temps de parole";00:18:59;00:33:29;00:08:40;00:08:12;
Cnews;"Total temps d'antenne";00:26:49;01:06:19;00:46:07;00:22:12;
LCI;Candidat;00:25:00;00:56:11;00:29:24;00:00:00;
LCI;Soutiens;00:00:00;00:33:58;00:01:00;00:00:00;
LCI;"Total temps de parole";00:25:00;01:30:09;00:30:24;00:00:00;
LCI;"Total temps d'antenne";00:35:07;02:08:13;01:17:30;00:00:00;
FranceinfoTV;Candidat;00:23:44;01:07:10;00:11:24;00:04:00;
FranceinfoTV;Soutiens;00:07:37;00:10:02;00:13:55;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:21;01:17:12;00:25:19;00:04:00;
FranceinfoTV;"Total temps d'antenne";00:38:06;02:17:30;00:53:10;00:12:01;
FranceInter;Candidat;00:21:32;00:02:23;00:02:19;00:00:00;
FranceInter;Soutiens;00:01:01;00:02:09;00:00:48;00:00:55;
FranceInter;"Total temps de parole";00:22:33;00:04:32;00:03:07;00:00:55;
FranceInter;"Total temps d'antenne";00:29:07;00:10:48;00:12:55;00:02:56;
FranceInfo;Candidat;00:21:16;00:24:36;00:12:30;00:06:19;
FranceInfo;Soutiens;00:01:39;00:02:25;00:05:38;00:02:02;
FranceInfo;"Total temps de parole";00:22:55;00:27:01;00:18:08;00:08:21;
FranceInfo;"Total temps d'antenne";00:46:16;01:14:38;01:02:51;00:29:44;
FranceCulture;Candidat;00:00:21;00:00:00;00:01:17;00:00:00;
FranceCulture;Soutiens;00:00:26;00:05:18;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:47;00:05:18;00:01:17;00:00:00;
FranceCulture;"Total temps d'antenne";00:06:14;00:05:43;00:03:16;00:00:00;
RTL;Candidat;00:19:19;00:03:24;00:02:59;00:03:01;
RTL;Soutiens;00:00:00;00:01:20;00:00:00;00:00:00;
RTL;"Total temps de parole";00:19:19;00:04:44;00:02:59;00:03:01;
RTL;"Total temps d'antenne";00:36:30;00:23:51;00:16:53;00:05:24;
Europe1;Candidat;00:01:25;00:00:00;00:02:42;00:02:02;
Europe1;Soutiens;00:29:11;00:27:02;00:04:34;00:00:00;
Europe1;"Total temps de parole";00:30:36;00:27:02;00:07:16;00:02:02;
Europe1;"Total temps d'antenne";00:39:54;00:27:55;00:09:56;00:05:59;
RMC;Candidat;00:25:18;00:04:52;00:00:00;00:06:58;
RMC;Soutiens;00:10:55;00:00:10;00:00:00;00:00:38;
RMC;"Total temps de parole";00:36:13;00:05:02;00:00:00;00:07:36;
RMC;"Total temps d'antenne";00:41:07;00:12:13;00:00:00;00:12:04;
RadioClassique;Candidat;00:01:28;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:04;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:32;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:24:41;00:00:44;00:00:00;00:20:34;
SudRadio;Candidat;00:00:00;00:00:45;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:43;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:43;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:18:13;00:03:15;00:02:20;00:00:00;
TV5Monde;Candidat;00:00:16;00:00:00;00:31:50;00:00:00;
TV5Monde;Soutiens;00:09:46;00:00:00;00:00:12;00:00:00;
TV5Monde;"Total temps de parole";00:10:02;00:00:00;00:32:02;00:00:00;
TV5Monde;"Total temps d'antenne";00:11:11;00:02:03;00:37:10;00:00:00;
RFI;Candidat;00:02:11;00:03:10;00:02:10;00:02:38;
RFI;Soutiens;00:09:23;00:00:00;00:00:00;00:00:23;
RFI;"Total temps de parole";00:11:34;00:03:10;00:02:10;00:03:01;
RFI;"Total temps d'antenne";00:16:43;00:12:41;00:05:36;00:09:57;
France24;Candidat;00:03:08;00:06:06;00:04:39;00:03:23;
France24;Soutiens;00:00:10;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:03:18;00:06:06;00:04:39;00:03:23;
France24;"Total temps d'antenne";00:07:14;00:24:27;00:20:14;00:11:05;
"RMC Story";Candidat;00:03:01;00:03:33;00:00:00;00:00:00;
"RMC Story";Soutiens;00:10:51;00:00:10;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:13:52;00:03:43;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:18:21;00:10:54;00:00:00;00:00:00;
