Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:09:43;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:12;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:09:55;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:11:09;00:00:00;
France2;Candidat;00:00:00;00:00:00;00:00:35;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:07:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:00:00;00:07:35;00:00:00;
France2;"Total temps d'antenne";00:00:00;00:00:00;00:08:38;00:00:00;
France3;Candidat;00:00:00;00:00:32;00:00:33;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:32;00:00:33;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:43;00:00:34;00:00:00;
France5;Candidat;00:00:00;00:01:15;00:02:18;00:01:03;
France5;Soutiens;00:00:00;00:00:00;00:00:03;00:00:03;
France5;"Total temps de parole";00:00:00;00:01:15;00:02:21;00:01:06;
France5;"Total temps d'antenne";00:00:00;00:02:06;00:03:52;00:01:46;
M6;Candidat;00:00:00;00:00:21;00:00:51;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:21;00:00:51;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:37;00:01:46;00:00:00;
C8;Candidat;00:00:00;00:00:45;00:08:30;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:01:01;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:45;00:09:31;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:01;00:14:54;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:10:28;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:10:28;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:11:40;00:00:00;
BFMTV;Candidat;00:24:34;00:09:38;00:10:02;00:01:50;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:24:34;00:09:38;00:10:02;00:01:50;
BFMTV;"Total temps d'antenne";00:24:34;00:09:38;00:10:02;00:01:50;
