Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:22;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:41;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:01:03;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:02:28;00:00:00;
France2;Candidat;00:09:44;00:00:00;00:00:08;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:09:44;00:00:00;00:00:08;00:00:00;
France2;"Total temps d'antenne";00:10:43;00:00:00;00:00:19;00:00:00;
France3;Candidat;00:00:00;00:00:09;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:09;00:00:00;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:31;00:00:00;00:00:00;
France5;Candidat;00:00:00;00:00:30;00:00:30;00:00:06;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:30;00:00:30;00:00:06;
France5;"Total temps d'antenne";00:00:00;00:00:30;00:00:30;00:00:06;
M6;Candidat;00:00:00;00:00:19;00:00:27;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:19;00:00:27;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:54;00:01:29;00:00:00;
C8;Candidat;00:00:00;00:00:21;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:21;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:21;00:00:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:02:30;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:02:30;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:06;00:02:30;00:00:00;
BFMTV;Candidat;00:11:13;00:02:29;00:05:25;00:03:09;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:11:13;00:02:29;00:05:25;00:03:09;
BFMTV;"Total temps d'antenne";00:11:29;00:02:29;00:05:43;00:03:09;
Cnews;Candidat;00:06:34;00:06:55;00:05:49;00:04:48;
Cnews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:06:34;00:06:55;00:05:49;00:04:48;
Cnews;"Total temps d'antenne";00:06:34;00:06:55;00:05:58;00:04:48;
RMCDecouverte;Candidat;00:00:14;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:14;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:00:14;00:00:00;00:00:00;00:00:00;
