Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:15:11;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:15:11;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:22;00:16:00;00:00:00;
France2;Candidat;00:11:12;00:00:37;00:39:32;00:00:00;
France2;Soutiens;00:00:00;00:01:23;00:00:00;00:00:00;
France2;"Total temps de parole";00:11:12;00:02:00;00:39:32;00:00:00;
France2;"Total temps d'antenne";00:13:25;00:03:22;00:43:41;00:00:00;
France3;Candidat;00:00:00;00:08:27;00:00:32;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:33;00:00:00;
France3;"Total temps de parole";00:00:00;00:08:27;00:01:05;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:09:22;00:02:07;00:00:00;
France5;Candidat;00:00:00;00:00:34;00:08:58;00:07:56;
France5;Soutiens;00:00:00;00:00:00;00:00:06;00:00:06;
France5;"Total temps de parole";00:00:00;00:00:34;00:09:04;00:08:02;
France5;"Total temps d'antenne";00:00:00;00:00:34;00:12:44;00:09:27;
M6;Candidat;00:00:00;00:00:30;00:04:36;00:00:00;
M6;Soutiens;00:00:00;00:00:18;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:48;00:04:36;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:11;00:07:11;00:00:00;
C8;Candidat;00:00:00;00:04:30;00:33:08;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:04:30;00:33:08;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:04:30;00:37:32;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:03:04;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:01:35;00:00:00;
