,index,candidat,intentions,erreur_sup,erreur_inf,nom_institut,fin_enquete,echantillon,tour,hypothese,date_enquete
1120,7374,Emmanuel Macron,55.0,58.8851,51.1149,Ifop,2020-06-19,992,Deuxième tour,Hypothèse Macron / Le Pen,2020-06-19
1121,7375,Marine Le Pen,45.0,48.8851,41.1149,Ifop,2020-06-19,992,Deuxième tour,Hypothèse Macron / Le Pen,2020-06-19
348,2968,Marine Le Pen,46.0,48.3486,43.6514,Ifop,2021-04-08,1730,Deuxième tour,Hypothèse Macron / Le Pen,2021-04-08
349,2969,Emmanuel Macron,54.0,56.3486,51.6514,Ifop,2021-04-08,1730,Deuxième tour,Hypothèse Macron / Le Pen,2021-04-08
315,2669,Emmanuel Macron,54.0,57.2277,50.7723,Ifop,2021-05-20,1363,Deuxième tour,Hypothèse Macron / Le Pen,2021-05-20
314,2668,Marine Le Pen,46.0,49.2277,42.7723,Ifop,2021-05-20,1363,Deuxième tour,Hypothèse Macron / Le Pen,2021-05-20
289,2402,Marine Le Pen,44.0,47.3015,40.6985,Ifop,2021-09-02,1334,Deuxième tour,Hypothèse Macron / Le Pen,2021-09-02
288,2401,Emmanuel Macron,56.0,59.3015,52.6985,Ifop,2021-09-02,1334,Deuxième tour,Hypothèse Macron / Le Pen,2021-09-02
536,3995,Emmanuel Macron,58.0,61.1893,54.8107,Ifop,2021-10-01,1351,Deuxième tour,Hypothèse Macron / Le Pen,2021-10-01
537,3996,Marine Le Pen,42.0,45.1893,38.8107,Ifop,2021-10-01,1351,Deuxième tour,Hypothèse Macron / Le Pen,2021-10-01
803,5678,Marine Le Pen,44.0,47.2135,40.7865,Ifop,2021-11-05,1358,Deuxième tour,Hypothèse Macron / Le Pen,2021-11-05
802,5677,Emmanuel Macron,56.0,59.2135,52.7865,Ifop,2021-11-05,1358,Deuxième tour,Hypothèse Macron / Le Pen,2021-11-05
693,4801,Emmanuel Macron,54.0,57.2253,50.7747,Ifop,2021-11-25,1351,Deuxième tour,Hypothèse Macron / Le Pen,2021-11-25
692,4800,Marine Le Pen,46.0,49.2253,42.7747,Ifop,2021-11-25,1351,Deuxième tour,Hypothèse Macron / Le Pen,2021-11-25
936,6396,Emmanuel Macron,56.0,59.2266,52.7734,Ifop,2021-12-06,1341,Deuxième tour,Hypothèse Macron / Le Pen,2021-12-06
937,6397,Marine Le Pen,44.0,47.2266,40.7734,Ifop,2021-12-06,1341,Deuxième tour,Hypothèse Macron / Le Pen,2021-12-06
749,5371,Marine Le Pen,43.0,46.663,39.337,Ifop,2021-12-15,1017,Deuxième tour,Hypothèse Macron / Le Pen,2021-12-15
748,5370,Emmanuel Macron,57.0,60.663,53.337,Ifop,2021-12-15,1017,Deuxième tour,Hypothèse Macron / Le Pen,2021-12-15
924,6301,Marine Le Pen,42.0,45.1316,38.8684,Ifop,2022-01-10,1373,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-10
925,6302,Emmanuel Macron,58.0,61.1316,54.8684,Ifop,2022-01-10,1373,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-10
599,4277,Emmanuel Macron,57.0,60.1641,53.8359,Ifop,2022-01-11,1365,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-11
598,4276,Marine Le Pen,43.0,46.1641,39.8359,Ifop,2022-01-11,1365,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-11
703,4984,Emmanuel Macron,57.0,60.1898,53.8102,Ifop,2022-01-12,1371,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-12
702,4983,Marine Le Pen,43.0,46.1898,39.8102,Ifop,2022-01-12,1371,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-12
1003,6764,Emmanuel Macron,58.0,61.1848,54.8152,Ifop,2022-01-13,1375,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-13
1002,6763,Marine Le Pen,42.0,45.1848,38.8152,Ifop,2022-01-13,1375,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-13
567,4139,Emmanuel Macron,57.0,60.1712,53.8288,Ifop,2022-01-14,1383,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-14
566,4138,Marine Le Pen,43.0,46.1712,39.8288,Ifop,2022-01-14,1383,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-14
602,4295,Emmanuel Macron,55.5,58.6521,52.3479,Ifop,2022-01-17,1394,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-17
603,4296,Marine Le Pen,44.5,47.6521,41.3479,Ifop,2022-01-17,1394,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-17
174,1489,Marine Le Pen,45.5,48.6768,42.3232,Ifop,2022-01-18,1376,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-18
175,1490,Emmanuel Macron,54.5,57.6768,51.3232,Ifop,2022-01-18,1376,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-18
1064,7055,Emmanuel Macron,54.0,57.149,50.851,Ifop,2022-01-19,1365,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-19
1065,7056,Marine Le Pen,46.0,49.149,42.851,Ifop,2022-01-19,1365,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-19
240,2059,Marine Le Pen,45.5,48.5976,42.4024,Ifop,2022-01-20,1377,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-20
241,2060,Emmanuel Macron,54.5,57.5976,51.4024,Ifop,2022-01-20,1377,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-20
571,4157,Marine Le Pen,44.5,47.5539,41.4461,Ifop,2022-01-21,1386,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-21
570,4156,Emmanuel Macron,55.5,58.5539,52.4461,Ifop,2022-01-21,1386,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-21
727,5206,Emmanuel Macron,56.0,59.1481,52.8519,Ifop,2022-01-24,1349,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-24
726,5205,Marine Le Pen,44.0,47.1481,40.8519,Ifop,2022-01-24,1349,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-24
1421,8632,Marine Le Pen,43.5,46.7213,40.2787,Ifop,2022-01-26,1358,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-26
1420,8631,Emmanuel Macron,56.5,59.7213,53.2787,Ifop,2022-01-26,1358,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-26
178,1493,Emmanuel Macron,56.5,59.7532,53.2468,Ifop,2022-01-27,1362,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-27
179,1494,Marine Le Pen,43.5,46.7532,40.2468,Ifop,2022-01-27,1362,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-27
1292,8097,Emmanuel Macron,55.5,58.777,52.223,Ifop,2022-01-28,1353,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-28
1293,8098,Marine Le Pen,44.5,47.777,41.223,Ifop,2022-01-28,1353,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-28
312,2557,Marine Le Pen,45.0,48.2764,41.7236,Ifop,2022-01-31,1342,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-31
313,2558,Emmanuel Macron,55.0,58.2764,51.7236,Ifop,2022-01-31,1342,Deuxième tour,Hypothèse Macron / Le Pen,2022-01-31
217,1817,Marine Le Pen,45.5,48.8009,42.1991,Ifop,2022-02-01,1343,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-01
216,1816,Emmanuel Macron,54.5,57.8009,51.1991,Ifop,2022-02-01,1343,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-01
484,3725,Marine Le Pen,45.0,48.2866,41.7134,Ifop,2022-02-02,1348,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-02
485,3726,Emmanuel Macron,55.0,58.2866,51.7134,Ifop,2022-02-02,1348,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-02
1137,7480,Emmanuel Macron,55.0,58.2387,51.7613,Ifop,2022-02-03,1357,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-03
1136,7479,Marine Le Pen,45.0,48.2387,41.7613,Ifop,2022-02-03,1357,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-03
412,3418,Marine Le Pen,44.5,47.6985,41.3015,Ifop,2022-02-04,1348,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-04
413,3419,Emmanuel Macron,55.5,58.6985,52.3015,Ifop,2022-02-04,1348,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-04
1460,8746,Emmanuel Macron,55.0,58.2218,51.7782,Ifop,2022-02-08,1351,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-08
1461,8747,Marine Le Pen,45.0,48.2218,41.7782,Ifop,2022-02-08,1351,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-08
1176,7620,Emmanuel Macron,54.0,57.1439,50.8561,Ifop,2022-02-09,1356,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-09
1177,7621,Marine Le Pen,46.0,49.1439,42.8561,Ifop,2022-02-09,1356,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-09
718,5051,Marine Le Pen,45.5,48.699,42.301,Ifop,2022-02-10,1377,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-10
719,5052,Emmanuel Macron,54.5,57.699,51.301,Ifop,2022-02-10,1377,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-10
954,6480,Emmanuel Macron,55.0,58.0678,51.9322,Ifop,2022-02-11,1382,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-11
955,6481,Marine Le Pen,45.0,48.0678,41.9322,Ifop,2022-02-11,1382,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-11
