,Chaîne,Période,Somme,Candidat
2,France2,2022-03-13,0.0,Arthaud
6,France3,2022-03-13,0.0,Arthaud
10,M6,2022-03-13,1.15,Arthaud
14,Cnews,2022-03-13,6.266666666666667,Arthaud
18,FranceinfoTV,2022-03-13,2.5666666666666664,Arthaud
22,FranceInter,2022-03-13,0.5333333333333333,Arthaud
26,FranceInfo,2022-03-13,16.35,Arthaud
30,FranceCulture,2022-03-13,0.0,Arthaud
34,Europe1,2022-03-13,1.2,Arthaud
38,RMC,2022-03-13,0.0,Arthaud
42,SudRadio,2022-03-13,0.4,Arthaud
46,Euronews,2022-03-13,0.0,Arthaud
2,TF1,2022-03-20,1.1166666666666667,Arthaud
6,France2,2022-03-20,2.2666666666666666,Arthaud
10,France3,2022-03-20,7.733333333333333,Arthaud
14,France5,2022-03-20,1.4666666666666666,Arthaud
18,M6,2022-03-20,1.15,Arthaud
22,C8,2022-03-20,0.7333333333333333,Arthaud
26,TMC,2022-03-20,0.0,Arthaud
30,BFMTV,2022-03-20,22.433333333333334,Arthaud
34,Cnews,2022-03-20,10.383333333333333,Arthaud
38,RMCDecouverte,2022-03-20,0.0,Arthaud
42,LCI,2022-03-20,45.06666666666667,Arthaud
46,FranceinfoTV,2022-03-20,20.933333333333334,Arthaud
50,FranceInter,2022-03-20,3.6,Arthaud
54,FranceInfo,2022-03-20,24.333333333333336,Arthaud
58,FranceCulture,2022-03-20,0.21666666666666667,Arthaud
62,RTL,2022-03-20,3.0,Arthaud
66,Europe1,2022-03-20,1.7999999999999998,Arthaud
70,RMC,2022-03-20,2.75,Arthaud
74,BFMBusiness,2022-03-20,0.0,Arthaud
78,RadioClassique,2022-03-20,0.0,Arthaud
82,SudRadio,2022-03-20,0.4,Arthaud
86,TV5Monde,2022-03-20,0.0,Arthaud
90,Euronews,2022-03-20,0.0,Arthaud
94,RFI,2022-03-20,1.4833333333333334,Arthaud
98,France24,2022-03-20,0.4166666666666667,Arthaud
102,RMC Story,2022-03-20,1.8333333333333333,Arthaud
2,TF1,2022-03-27,1.6166666666666667,Arthaud
6,France2,2022-03-27,15.466666666666665,Arthaud
10,France3,2022-03-27,8.083333333333334,Arthaud
14,France5,2022-03-27,14.266666666666667,Arthaud
18,M6,2022-03-27,1.65,Arthaud
22,C8,2022-03-27,11.366666666666667,Arthaud
26,TMC,2022-03-27,1.5166666666666666,Arthaud
30,BFMTV,2022-03-27,22.433333333333334,Arthaud
34,Cnews,2022-03-27,55.75,Arthaud
38,RMCDecouverte,2022-03-27,0.0,Arthaud
42,LCI,2022-03-27,45.233333333333334,Arthaud
46,FranceinfoTV,2022-03-27,48.1,Arthaud
50,FranceInter,2022-03-27,13.333333333333334,Arthaud
54,FranceInfo,2022-03-27,38.166666666666664,Arthaud
58,FranceCulture,2022-03-27,0.35,Arthaud
62,RTL,2022-03-27,7.683333333333334,Arthaud
66,Europe1,2022-03-27,12.799999999999999,Arthaud
70,RMC,2022-03-27,9.200000000000001,Arthaud
74,BFMBusiness,2022-03-27,2.7666666666666666,Arthaud
78,RadioClassique,2022-03-27,0.5333333333333333,Arthaud
82,SudRadio,2022-03-27,0.9333333333333333,Arthaud
86,TV5Monde,2022-03-27,13.2,Arthaud
90,Euronews,2022-03-27,0.0,Arthaud
94,RFI,2022-03-27,13.316666666666666,Arthaud
98,France24,2022-03-27,8.966666666666667,Arthaud
102,RMC Story,2022-03-27,6.133333333333334,Arthaud
2,TF1,2022-04-03,0.7333333333333333,Arthaud
6,France2,2022-04-03,31.616666666666664,Arthaud
10,France3,2022-04-03,1.4,Arthaud
14,France5,2022-04-03,5.75,Arthaud
18,M6,2022-04-03,1.4666666666666668,Arthaud
22,C8,2022-04-03,1.3333333333333333,Arthaud
26,TMC,2022-04-03,9.366666666666667,Arthaud
30,BFMTV,2022-04-03,29.733333333333334,Arthaud
34,Cnews,2022-04-03,61.38333333333333,Arthaud
38,LCI,2022-04-03,130.93333333333334,Arthaud
42,FranceinfoTV,2022-04-03,116.31666666666665,Arthaud
46,FranceInter,2022-04-03,4.183333333333334,Arthaud
50,FranceInfo,2022-04-03,45.63333333333333,Arthaud
54,FranceCulture,2022-04-03,10.816666666666666,Arthaud
58,RTL,2022-04-03,10.1,Arthaud
62,Europe1,2022-04-03,14.5,Arthaud
66,RMC,2022-04-03,3.0,Arthaud
70,RadioClassique,2022-04-03,0.0,Arthaud
74,SudRadio,2022-04-03,0.7666666666666666,Arthaud
78,TV5Monde,2022-04-03,29.766666666666666,Arthaud
82,RFI,2022-04-03,11.033333333333331,Arthaud
86,France24,2022-04-03,11.6,Arthaud
90,RMC Story,2022-04-03,0.9333333333333333,Arthaud
2,TF1,2022-04-08,10.65,Arthaud
6,France2,2022-04-08,32.733333333333334,Arthaud
10,France3,2022-04-08,2.3833333333333333,Arthaud
14,France5,2022-04-08,11.766666666666666,Arthaud
18,M6,2022-04-08,2.4833333333333334,Arthaud
22,C8,2022-04-08,11.333333333333332,Arthaud
26,TMC,2022-04-08,18.016666666666666,Arthaud
30,BFMTV,2022-04-08,33.11666666666667,Arthaud
34,Cnews,2022-04-08,83.96666666666665,Arthaud
38,LCI,2022-04-08,210.76666666666665,Arthaud
42,FranceinfoTV,2022-04-08,181.38333333333333,Arthaud
46,FranceInter,2022-04-08,13.416666666666668,Arthaud
50,FranceInfo,2022-04-08,81.83333333333334,Arthaud
54,FranceCulture,2022-04-08,11.733333333333334,Arthaud
58,RTL,2022-04-08,15.4,Arthaud
62,Europe1,2022-04-08,45.25,Arthaud
66,RMC,2022-04-08,17.7,Arthaud
70,RadioClassique,2022-04-08,0.0,Arthaud
74,SudRadio,2022-04-08,1.6666666666666667,Arthaud
78,TV5Monde,2022-04-08,30.616666666666667,Arthaud
82,RFI,2022-04-08,27.016666666666666,Arthaud
86,France24,2022-04-08,19.433333333333334,Arthaud
90,RMC Story,2022-04-08,7.333333333333333,Arthaud
2,France3,2022-03-13,0.0,Dupont
6,France5,2022-03-13,16.633333333333333,Dupont
10,M6,2022-03-13,0.11666666666666667,Dupont
14,TMC,2022-03-13,0.6166666666666667,Dupont
18,BFMTV,2022-03-13,27.266666666666666,Dupont
22,Cnews,2022-03-13,54.400000000000006,Dupont
26,FranceInter,2022-03-13,0.5333333333333333,Dupont
30,FranceInfo,2022-03-13,0.5333333333333333,Dupont
34,FranceCulture,2022-03-13,0.0,Dupont
38,RMC,2022-03-13,0.0,Dupont
42,BFMBusiness,2022-03-13,1.0333333333333334,Dupont
46,Euronews,2022-03-13,0.0,Dupont
50,RMC Story,2022-03-13,0.0,Dupont
2,TF1,2022-03-20,4.516666666666667,Dupont
6,France2,2022-03-20,16.65,Dupont
10,France3,2022-03-20,0.0,Dupont
14,France5,2022-03-20,18.666666666666668,Dupont
18,M6,2022-03-20,0.8166666666666667,Dupont
22,C8,2022-03-20,9.4,Dupont
26,TMC,2022-03-20,1.1333333333333333,Dupont
30,BFMTV,2022-03-20,34.483333333333334,Dupont
34,Cnews,2022-03-20,66.86666666666667,Dupont
38,LCI,2022-03-20,0.0,Dupont
42,FranceinfoTV,2022-03-20,57.199999999999996,Dupont
46,FranceInter,2022-03-20,1.6833333333333331,Dupont
50,FranceInfo,2022-03-20,35.03333333333333,Dupont
54,FranceCulture,2022-03-20,0.7,Dupont
58,RTL,2022-03-20,5.45,Dupont
62,Europe1,2022-03-20,1.25,Dupont
66,RMC,2022-03-20,0.6833333333333333,Dupont
70,BFMBusiness,2022-03-20,1.0333333333333334,Dupont
74,RadioClassique,2022-03-20,0.0,Dupont
78,SudRadio,2022-03-20,0.0,Dupont
82,TV5Monde,2022-03-20,16.65,Dupont
86,Euronews,2022-03-20,0.0,Dupont
90,RFI,2022-03-20,0.6166666666666667,Dupont
94,France24,2022-03-20,0.18333333333333332,Dupont
98,RMC Story,2022-03-20,0.4,Dupont
2,TF1,2022-03-27,5.05,Dupont
6,France2,2022-03-27,19.049999999999997,Dupont
10,France3,2022-03-27,8.433333333333334,Dupont
14,France5,2022-03-27,18.733333333333334,Dupont
18,M6,2022-03-27,2.75,Dupont
22,C8,2022-03-27,12.433333333333334,Dupont
26,TMC,2022-03-27,4.833333333333333,Dupont
30,BFMTV,2022-03-27,38.516666666666666,Dupont
34,Cnews,2022-03-27,84.28333333333333,Dupont
38,RMCDecouverte,2022-03-27,0.0,Dupont
42,LCI,2022-03-27,79.33333333333334,Dupont
46,FranceinfoTV,2022-03-27,87.5,Dupont
50,FranceInter,2022-03-27,9.533333333333333,Dupont
54,FranceInfo,2022-03-27,38.11666666666667,Dupont
58,FranceCulture,2022-03-27,2.033333333333333,Dupont
62,RTL,2022-03-27,57.21666666666667,Dupont
66,Europe1,2022-03-27,11.383333333333333,Dupont
70,RMC,2022-03-27,13.333333333333334,Dupont
74,BFMBusiness,2022-03-27,3.6333333333333333,Dupont
78,RadioClassique,2022-03-27,0.6166666666666667,Dupont
82,SudRadio,2022-03-27,1.1333333333333333,Dupont
86,TV5Monde,2022-03-27,16.65,Dupont
90,Euronews,2022-03-27,0.0,Dupont
94,RFI,2022-03-27,11.100000000000001,Dupont
98,France24,2022-03-27,11.75,Dupont
102,RMC Story,2022-03-27,8.833333333333334,Dupont
2,TF1,2022-04-03,9.683333333333334,Dupont
6,France2,2022-04-03,24.983333333333334,Dupont
10,France3,2022-04-03,1.4333333333333333,Dupont
14,France5,2022-04-03,7.533333333333333,Dupont
18,M6,2022-04-03,1.8,Dupont
22,C8,2022-04-03,5.816666666666666,Dupont
26,TMC,2022-04-03,8.066666666666666,Dupont
30,BFMTV,2022-04-03,32.55,Dupont
34,Cnews,2022-04-03,20.21666666666667,Dupont
38,LCI,2022-04-03,142.66666666666666,Dupont
42,FranceinfoTV,2022-04-03,105.60000000000001,Dupont
46,FranceInter,2022-04-03,3.1833333333333336,Dupont
50,FranceInfo,2022-04-03,63.56666666666667,Dupont
54,FranceCulture,2022-04-03,10.950000000000001,Dupont
58,RTL,2022-04-03,10.55,Dupont
62,Europe1,2022-04-03,42.833333333333336,Dupont
66,RMC,2022-04-03,3.5,Dupont
70,RadioClassique,2022-04-03,0.0,Dupont
74,SudRadio,2022-04-03,0.7666666666666666,Dupont
78,TV5Monde,2022-04-03,22.833333333333332,Dupont
82,RFI,2022-04-03,10.95,Dupont
86,France24,2022-04-03,10.516666666666667,Dupont
90,RMC Story,2022-04-03,1.2,Dupont
2,TF1,2022-04-08,10.65,Dupont
6,France2,2022-04-08,32.88333333333333,Dupont
10,France3,2022-04-08,2.3833333333333333,Dupont
14,France5,2022-04-08,11.95,Dupont
18,M6,2022-04-08,2.9833333333333334,Dupont
22,C8,2022-04-08,9.15,Dupont
26,TMC,2022-04-08,17.983333333333334,Dupont
30,BFMTV,2022-04-08,33.349999999999994,Dupont
34,Cnews,2022-04-08,78.86666666666666,Dupont
38,LCI,2022-04-08,210.56666666666666,Dupont
42,FranceinfoTV,2022-04-08,182.16666666666669,Dupont
46,FranceInter,2022-04-08,13.05,Dupont
50,FranceInfo,2022-04-08,75.24999999999999,Dupont
