
Election présidentielle 2022
Période du 28 mars au 8 avril 2022
Temps de parole sur DUPONT AIGNAN NICOLAS

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:29;00:09:41;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:29;00:09:41;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:01;00:10:49;00:00:00;
France2;Candidat;00:10:00;00:00:22;00:31:58;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:11;00:00:00;
France2;"Total temps de parole";00:10:00;00:00:22;00:32:09;00:00:00;
France2;"Total temps d'antenne";00:10:23;00:00:46;00:34:10;00:00:00;
France3;Candidat;00:00:00;00:00:45;00:00:53;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:23;00:01:36;00:00:00;
France5;Candidat;00:00:00;00:02:07;00:05:06;00:02:29;
France5;Soutiens;00:00:00;00:00:00;00:00:04;00:00:04;
France5;"Total temps de parole";00:00:00;00:02:07;00:05:10;00:02:33;
France5;"Total temps d'antenne";00:00:00;00:02:46;00:06:59;00:03:39;
M6;Candidat;00:00:00;00:00:57;00:00:59;00:00:00;
M6;Soutiens;00:00:00;00:00:03;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:00;00:00:59;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:34;00:03:02;00:00:00;
C8;Candidat;00:00:00;00:00:51;00:07:27;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:51;00:07:27;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:01;00:15:57;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:17:59;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:17:59;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:40:11;00:00:00;
BFMTV;Candidat;00:26:15;00:09:51;00:10:21;00:03:18;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:26:15;00:09:51;00:10:21;00:03:18;
BFMTV;"Total temps d'antenne";00:28:41;00:15:22;00:12:17;00:03:47;
Cnews;Candidat;00:17:51;00:20:08;00:07:18;00:07:00;
Cnews;Soutiens;00:00:00;00:12:09;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:17:51;00:32:17;00:07:18;00:07:00;
Cnews;"Total temps d'antenne";00:25:34;01:04:29;00:47:16;00:19:08;
LCI;Candidat;00:25:40;00:46:00;00:30:34;00:00:00;
LCI;Soutiens;00:00:00;00:44:00;00:00:00;00:00:00;
LCI;"Total temps de parole";00:25:40;01:30:00;00:30:34;00:00:00;
LCI;"Total temps d'antenne";00:35:36;02:08:10;01:17:29;00:00:00;
FranceinfoTV;Candidat;00:31:47;01:16:44;00:25:22;00:03:20;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:47;01:16:44;00:25:22;00:03:20;
FranceinfoTV;"Total temps d'antenne";00:37:08;01:53:21;00:54:05;00:10:22;
FranceInter;Candidat;00:20:53;00:03:02;00:03:41;00:00:00;
FranceInter;Soutiens;00:00:00;00:01:06;00:00:00;00:01:06;
FranceInter;"Total temps de parole";00:20:53;00:04:08;00:03:41;00:01:06;
FranceInter;"Total temps d'antenne";00:27:31;00:09:24;00:13:24;00:02:57;
FranceInfo;Candidat;00:21:41;00:24:27;00:08:43;00:05:18;
FranceInfo;Soutiens;00:00:32;00:01:23;00:09:02;00:00:32;
FranceInfo;"Total temps de parole";00:22:13;00:25:50;00:17:45;00:05:50;
FranceInfo;"Total temps d'antenne";00:31:34;00:43:34;00:41:15;00:19:56;
FranceCulture;Candidat;00:00:46;00:05:09;00:01:15;00:00:00;
FranceCulture;Soutiens;00:00:07;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:53;00:05:09;00:01:15;00:00:00;
FranceCulture;"Total temps d'antenne";00:05:55;00:05:22;00:03:30;00:00:00;
RTL;Candidat;00:19:09;00:04:44;00:02:59;00:03:01;
RTL;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:19:09;00:04:44;00:02:59;00:03:01;
RTL;"Total temps d'antenne";00:21:43;00:18:36;00:07:24;00:05:33;
Europe1;Candidat;00:29:23;00:00:00;00:00:00;00:00:00;
Europe1;Soutiens;00:00:00;00:21:25;00:05:36;00:01:57;
Europe1;"Total temps de parole";00:29:23;00:21:25;00:05:36;00:01:57;
Europe1;"Total temps d'antenne";00:30:37;00:21:25;00:05:36;00:04:04;
RMC;Candidat;00:29:55;00:04:33;00:00:00;00:07:37;
RMC;Soutiens;00:07:25;00:00:20;00:00:00;00:00:00;
RMC;"Total temps de parole";00:37:20;00:04:53;00:00:00;00:07:37;
RMC;"Total temps d'antenne";00:40:19;00:06:32;00:00:00;00:12:03;
RadioClassique;Candidat;00:01:29;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:29;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:25:00;00:00:35;00:00:00;00:20:48;
SudRadio;Candidat;00:13:33;00:00:45;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:33;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:18:13;00:03:10;00:02:20;00:00:00;
TV5Monde;Candidat;00:10:00;00:00:00;00:30:29;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:11;00:00:00;
TV5Monde;"Total temps de parole";00:10:00;00:00:00;00:30:40;00:00:00;
TV5Monde;"Total temps d'antenne";00:10:23;00:00:00;00:34:10;00:00:00;
RFI;Candidat;00:15:00;00:08:44;00:03:49;00:07:42;
RFI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
