
Election présidentielle 2022
Période du 8 au 13 mars 2022
Temps de parole sur DUPONT AIGNAN NICOLAS

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
France3;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:00;00:00:06;00:00:00;
France5;Candidat;00:00:00;00:00:00;00:08:19;00:08:19;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:00;00:08:19;00:08:19;
France5;"Total temps d'antenne";00:00:00;00:00:00;00:10:13;00:10:13;
M6;Candidat;00:00:00;00:00:00;00:00:07;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:00;00:00:07;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:09;00:00:26;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:00:37;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:00:37;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:00:37;00:00:00;
BFMTV;Candidat;00:00:00;00:13:38;00:00:00;00:00:00;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:00:00;00:13:38;00:00:00;00:00:00;
BFMTV;"Total temps d'antenne";00:00:00;00:13:38;00:00:00;00:00:00;
Cnews;Candidat;00:00:00;00:25:51;00:02:42;00:00:00;
Cnews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:00:00;00:25:51;00:02:42;00:00:00;
Cnews;"Total temps d'antenne";00:00:00;00:28:23;00:02:42;00:00:00;
FranceInter;Candidat;00:07:35;00:00:16;00:00:00;00:00:00;
FranceInter;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceInter;"Total temps de parole";00:07:35;00:00:16;00:00:00;00:00:00;
FranceInter;"Total temps d'antenne";00:07:35;00:00:16;00:00:00;00:00:00;
FranceInfo;Candidat;00:00:00;00:00:16;00:00:00;00:00:00;
FranceInfo;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceInfo;"Total temps de parole";00:00:00;00:00:16;00:00:00;00:00:00;
FranceInfo;"Total temps d'antenne";00:00:00;00:00:16;00:00:00;00:00:00;
FranceCulture;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps d'antenne";00:00:00;00:00:41;00:00:00;00:00:00;
RMC;Candidat;00:00:15;00:00:00;00:00:00;00:00:00;
RMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMC;"Total temps de parole";00:00:15;00:00:00;00:00:00;00:00:00;
RMC;"Total temps d'antenne";00:00:15;00:00:35;00:00:00;00:00:35;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:31;00:00:31;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps de parole";00:00:00;00:00:00;00:00:31;00:00:31;
BFMBusiness;"Total temps d'antenne";00:00:00;00:00:00;00:00:54;00:00:47;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:01:31;
"RMC Story";Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:00:35;00:00:35;00:00:00;00:00:00;
