
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur HIDALGO ANNE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:32;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:09;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:41;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:25;00:00:00;
France2;Candidat;00:00:00;00:00:00;00:00:35;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:00:00;00:00:35;00:00:00;
France2;"Total temps d'antenne";00:00:07;00:00:18;00:01:03;00:00:00;
France3;Candidat;00:00:00;00:00:15;00:00:21;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:15;00:00:21;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:23;00:00:21;00:00:00;
France5;Candidat;00:00:00;00:01:23;00:01:53;00:00:30;
France5;Soutiens;00:00:00;00:00:20;00:00:20;00:00:00;
France5;"Total temps de parole";00:00:00;00:01:43;00:02:13;00:00:30;
France5;"Total temps d'antenne";00:00:00;00:02:23;00:03:41;00:01:18;
M6;Candidat;00:00:00;00:00:49;00:00:43;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:49;00:00:43;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:21;00:02:20;00:00:00;
C8;Candidat;00:00:00;00:00:45;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:45;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:45;00:00:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:07:06;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:07;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:07:13;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:11:34;00:00:00;
BFMTV;Candidat;00:02:57;00:00:33;00:00:00;00:00:00;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:02:57;00:00:33;00:00:00;00:00:00;
BFMTV;"Total temps d'antenne";00:02:57;00:00:33;00:00:00;00:00:00;
Cnews;Candidat;00:01:01;00:17:08;00:06:41;00:00:00;
Cnews;Soutiens;00:14:00;00:11:30;00:00:47;00:00:00;
Cnews;"Total temps de parole";00:15:01;00:28:38;00:07:28;00:00:00;
Cnews;"Total temps d'antenne";00:20:14;00:53:39;00:28:05;00:00:00;
LCI;Candidat;00:24:35;00:52:30;00:29:16;00:00:00;
LCI;Soutiens;00:00:00;00:34:42;00:00:00;00:00:00;
LCI;"Total temps de parole";00:24:35;01:27:12;00:29:16;00:00:00;
LCI;"Total temps d'antenne";00:25:29;01:42:55;00:30:15;00:00:00;
FranceinfoTV;Candidat;00:00:00;00:38:32;00:03:00;00:00:52;
FranceinfoTV;Soutiens;00:00:00;00:01:16;00:12:52;00:00:00;
FranceinfoTV;"Total temps de parole";00:00:00;00:39:48;00:15:52;00:00:52;
FranceinfoTV;"Total temps d'antenne";00:00:00;00:57:16;00:23:09;00:01:23;
FranceInter;Candidat;00:17:38;00:00:02;00:02:18;00:00:00;
FranceInter;Soutiens;00:00:00;00:00:39;00:00:45;00:00:39;
FranceInter;"Total temps de parole";00:17:38;00:00:41;00:03:03;00:00:39;
FranceInter;"Total temps d'antenne";00:21:46;00:04:31;00:10:44;00:02:09;
FranceInfo;Candidat;00:00:29;00:10:08;00:08:50;00:01:42;
FranceInfo;Soutiens;00:00:21;00:00:00;00:06:13;00:00:00;
FranceInfo;"Total temps de parole";00:00:50;00:10:08;00:15:03;00:01:42;
FranceInfo;"Total temps d'antenne";00:05:57;00:36:43;00:44:19;00:08:12;
FranceCulture;Candidat;00:00:31;00:04:59;00:00:49;00:00:00;
FranceCulture;Soutiens;00:00:28;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:59;00:04:59;00:00:49;00:00:00;
FranceCulture;"Total temps d'antenne";00:03:41;00:04:59;00:01:50;00:00:00;
RTL;Candidat;00:16:34;00:03:20;00:02:36;00:01:00;
RTL;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:16:34;00:03:20;00:02:36;00:01:00;
RTL;"Total temps d'antenne";00:19:52;00:07:24;00:05:48;00:01:07;
