
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur JADOT YANNICK

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:43;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:43;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:26;00:00:00;
France2;Candidat;00:00:00;00:00:10;00:07:25;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:00:10;00:07:25;00:00:00;
France2;"Total temps d'antenne";00:00:57;00:00:23;00:08:46;00:00:00;
France3;Candidat;00:00:00;00:00:36;00:00:19;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:36;00:00:19;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:58;00:00:22;00:00:00;
France5;Candidat;00:00:00;00:01:30;00:02:43;00:01:15;
France5;Soutiens;00:00:00;00:00:00;00:00:02;00:00:02;
France5;"Total temps de parole";00:00:00;00:01:30;00:02:45;00:01:17;
France5;"Total temps d'antenne";00:00:00;00:02:11;00:04:14;00:02:05;
M6;Candidat;00:00:00;00:00:28;00:00:40;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:28;00:00:40;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:03;00:02:10;00:00:00;
C8;Candidat;00:00:00;00:00:30;00:09:04;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:30;00:09:04;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:30;00:13:35;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:06:49;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:50;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:07:39;00:00:00;
