Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:16:38;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:11;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:16:49;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:10;00:18:19;00:00:00;
France2;Candidat;00:10:21;00:04:48;00:17:45;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:10:21;00:04:48;00:17:45;00:00:00;
France2;"Total temps d'antenne";00:12:21;00:06:19;00:19:11;00:00:00;
France3;Candidat;00:00:00;00:07:05;00:00:17;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:07:05;00:00:17;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:07:53;00:00:42;00:00:00;
France5;Candidat;00:00:00;00:00:28;00:01:39;00:01:08;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:28;00:01:39;00:01:08;
France5;"Total temps d'antenne";00:00:00;00:00:32;00:01:56;00:01:08;
M6;Candidat;00:00:00;00:00:29;00:13:48;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:29;00:13:48;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:20;00:16:00;00:00:00;
C8;Candidat;00:00:00;00:01:06;00:15:46;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:01:06;00:15:46;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:06;00:15:46;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:05:00;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:55;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:05:55;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:21;00:11:12;00:00:00;
BFMTV;Candidat;00:19:43;00:00:47;00:00:00;00:09:18;
BFMTV;Soutiens;00:00:13;00:18:20;00:00:00;00:00:40;
BFMTV;"Total temps de parole";00:19:56;00:19:07;00:00:00;00:09:58;
BFMTV;"Total temps d'antenne";00:22:41;00:19:41;00:00:41;00:10:13;
Cnews;Candidat;00:05:55;00:07:37;00:06:19;00:06:50;
Cnews;Soutiens;00:08:36;00:28:28;00:26:09;00:00:00;
Cnews;"Total temps de parole";00:14:31;00:36:05;00:32:28;00:06:50;
Cnews;"Total temps d'antenne";00:14:58;00:48:46;00:39:37;00:14:02;
RMCDecouverte;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:02:34;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:00:00;00:28:40;00:19:15;00:00:20;
LCI;Soutiens;00:11:45;00:00:00;00:04:03;00:00:00;
LCI;"Total temps de parole";00:11:45;00:28:40;00:23:18;00:00:20;
LCI;"Total temps d'antenne";00:13:31;00:31:30;00:24:00;00:00:42;
FranceinfoTV;Candidat;00:00:51;00:07:50;00:01:53;00:01:33;
FranceinfoTV;Soutiens;00:07:39;00:05:42;00:26:15;00:00:00;
FranceinfoTV;"Total temps de parole";00:08:30;00:13:32;00:28:08;00:01:33;
FranceinfoTV;"Total temps d'antenne";00:12:16;00:17:18;00:31:06;00:01:33;
FranceInter;Candidat;00:01:11;00:06:59;00:00:44;00:00:00;
FranceInter;Soutiens;00:00:00;00:00:28;00:00:21;00:00:28;
FranceInter;"Total temps de parole";00:01:11;00:07:27;00:01:05;00:00:28;
FranceInter;"Total temps d'antenne";00:01:39;00:08:32;00:01:58;00:00:28;
FranceInfo;Candidat;00:00:20;00:05:17;00:03:30;00:01:10;
FranceInfo;Soutiens;00:00:14;00:00:00;00:04:58;00:00:00;
FranceInfo;"Total temps de parole";00:00:34;00:05:17;00:08:28;00:01:10;
FranceInfo;"Total temps d'antenne";00:01:51;00:11:21;00:12:38;00:11:46;
FranceCulture;Candidat;00:00:49;00:00:00;00:00:39;00:00:00;
FranceCulture;Soutiens;00:00:59;00:05:01;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:01:48;00:05:01;00:00:39;00:00:00;
FranceCulture;"Total temps d'antenne";00:01:48;00:05:01;00:00:39;00:00:00;
RTL;Candidat;00:00:57;00:48:27;00:00:57;00:00:00;
RTL;Soutiens;00:07:43;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:08:40;00:48:27;00:00:57;00:00:00;
RTL;"Total temps d'antenne";00:12:32;00:55:52;00:05:23;00:00:00;
Europe1;Candidat;00:29:25;00:01:04;00:07:24;00:00:00;
