
Election présidentielle 2022
Période du 8 au 27 mars 2022
Temps de parole sur JADOT YANNICK

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:17:56;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:27;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:18:23;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:44;00:20:43;00:00:00;
France2;Candidat;00:10:39;00:04:48;00:25:05;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:10:52;00:00:00;
France2;"Total temps de parole";00:10:39;00:04:48;00:35:57;00:00:00;
France2;"Total temps d'antenne";00:13:03;00:06:19;00:38:19;00:00:00;
France3;Candidat;00:00:00;00:07:05;00:01:05;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:07:05;00:01:05;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:08:01;00:01:56;00:00:00;
France5;Candidat;00:00:00;00:00:47;00:04:40;00:03:13;
France5;Soutiens;00:00:00;00:00:00;00:06:41;00:06:41;
France5;"Total temps de parole";00:00:00;00:00:47;00:11:21;00:09:54;
France5;"Total temps d'antenne";00:00:00;00:00:51;00:17:11;00:12:01;
M6;Candidat;00:00:00;00:00:59;00:14:03;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:08;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:59;00:14:11;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:03:40;00:17:13;00:00:00;
C8;Candidat;00:00:00;00:05:11;00:35:36;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:05:11;00:35:36;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:05:11;00:35:36;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:06:20;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:01:25;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:07:45;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:54;00:14:46;00:00:00;
BFMTV;Candidat;00:19:43;00:00:47;00:01:42;00:14:06;
BFMTV;Soutiens;00:00:13;00:43:57;00:40:52;00:00:40;
BFMTV;"Total temps de parole";00:19:56;00:44:44;00:42:34;00:14:46;
BFMTV;"Total temps d'antenne";00:22:41;00:46:45;00:43:41;00:15:01;
Cnews;Candidat;00:09:43;00:56:04;00:18:45;00:09:40;
Cnews;Soutiens;00:11:36;00:42:06;00:51:22;00:00:00;
Cnews;"Total temps de parole";00:21:19;01:38:10;01:10:07;00:09:40;
Cnews;"Total temps d'antenne";00:22:26;02:27:02;01:21:20;00:16:52;
RMCDecouverte;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:50;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:50;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:05:39;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:04:01;00:31:43;00:38:49;00:00:51;
LCI;Soutiens;00:11:45;00:40:43;00:04:03;00:00:00;
LCI;"Total temps de parole";00:15:46;01:12:26;00:42:52;00:00:51;
LCI;"Total temps d'antenne";00:17:32;01:50:32;00:46:23;00:01:13;
FranceinfoTV;Candidat;00:28:18;00:42:41;00:09:49;00:01:33;
FranceinfoTV;Soutiens;00:07:39;00:05:42;00:26:15;00:00:00;
FranceinfoTV;"Total temps de parole";00:35:57;00:48:23;00:36:04;00:01:33;
FranceinfoTV;"Total temps d'antenne";00:40:16;01:06:36;00:44:25;00:01:33;
FranceInter;Candidat;00:18:33;00:07:58;00:03:48;00:00:00;
