
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur LASSALLE JEAN

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:43;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:43;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:29;00:00:00;
France2;Candidat;00:00:00;00:00:12;00:31:28;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:00:12;00:31:28;00:00:00;
France2;"Total temps d'antenne";00:00:00;00:00:12;00:33:59;00:00:00;
France3;Candidat;00:00:00;00:00:28;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:28;00:00:00;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:37;00:00:00;00:00:00;
France5;Candidat;00:00:00;00:01:16;00:02:40;00:01:25;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:01:16;00:02:40;00:01:25;
France5;"Total temps d'antenne";00:00:00;00:02:04;00:04:13;00:02:10;
M6;Candidat;00:00:00;00:00:38;00:00:31;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:38;00:00:31;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:16;00:01:08;00:00:00;
C8;Candidat;00:00:00;00:00:40;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:40;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:45;00:08:30;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:11:04;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:11:04;00:00:00;
