Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:27;00:09:53;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:27;00:09:53;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:00;00:11:00;00:00:00;
France2;Candidat;00:10:03;00:00:22;00:32:03;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:02;00:00:00;
France2;"Total temps de parole";00:10:03;00:00:22;00:32:05;00:00:00;
France2;"Total temps d'antenne";00:11:23;00:00:35;00:34:47;00:00:00;
France3;Candidat;00:00:00;00:00:45;00:00:53;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:41;00:01:16;00:00:00;
France5;Candidat;00:00:00;00:02:26;00:04:02;00:02:34;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:02:26;00:04:02;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:03:14;00:05:51;00:03:28;
M6;Candidat;00:00:00;00:00:54;00:01:00;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:54;00:01:00;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:32;00:03:30;00:00:00;
C8;Candidat;00:00:00;00:00:50;00:06:30;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:50;00:06:30;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:05;00:15:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:18:33;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:18:33;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:41:45;00:00:00;
BFMTV;Candidat;00:26:05;00:09:59;00:09:57;00:03:20;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:26:05;00:09:59;00:09:57;00:03:20;
BFMTV;"Total temps d'antenne";00:28:55;00:15:23;00:11:48;00:04:00;
Cnews;Candidat;00:17:49;00:25:56;00:08:23;00:07:12;
Cnews;Soutiens;00:00:00;00:05:35;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:17:49;00:31:31;00:08:23;00:07:12;
Cnews;"Total temps d'antenne";00:24:54;01:05:19;00:42:23;00:20:52;
LCI;Candidat;00:25:02;01:30:04;00:30:33;00:00:00;
LCI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
LCI;"Total temps de parole";00:25:02;01:30:04;00:30:33;00:00:00;
LCI;"Total temps d'antenne";00:35:01;02:08:37;01:17:41;00:00:00;
FranceinfoTV;Candidat;00:31:05;01:14:09;00:25:22;00:02:59;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:05;01:14:09;00:25:22;00:02:59;
FranceinfoTV;"Total temps d'antenne";00:35:42;01:52:47;00:53:51;00:10:31;
FranceInter;Candidat;00:20:58;00:04:21;00:02:11;00:01:18;
FranceInter;Soutiens;00:00:19;00:01:05;00:00:52;00:00:00;
FranceInter;"Total temps de parole";00:21:17;00:05:26;00:03:03;00:01:18;
FranceInter;"Total temps d'antenne";00:27:24;00:12:11;00:11:46;00:03:13;
FranceInfo;Candidat;00:19:53;00:25:34;00:09:07;00:09:10;
FranceInfo;Soutiens;00:00:38;00:01:31;00:07:37;00:00:00;
FranceInfo;"Total temps de parole";00:20:31;00:27:05;00:16:44;00:09:10;
FranceInfo;"Total temps d'antenne";00:31:15;00:46:29;00:47:52;00:28:47;
FranceCulture;Candidat;00:00:23;00:04:44;00:01:18;00:00:00;
FranceCulture;Soutiens;00:00:48;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:01:11;00:04:44;00:01:18;00:00:00;
