
Election présidentielle 2022
Période du 8 au 20 mars 2022
Temps de parole sur LASSALLE JEAN

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
France2;Candidat;00:00:37;00:00:00;00:00:00;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:37;00:00:00;00:00:00;00:00:00;
France2;"Total temps d'antenne";00:01:24;00:00:00;00:00:00;00:00:00;
France3;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:30;00:00:06;00:00:00;
France5;Candidat;00:00:00;00:00:16;00:01:46;00:01:24;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:16;00:01:46;00:01:24;
France5;"Total temps d'antenne";00:00:00;00:00:16;00:02:05;00:01:43;
M6;Candidat;00:00:00;00:01:42;00:00:38;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:42;00:00:38;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:29;00:02:17;00:00:00;
C8;Candidat;00:00:00;00:00:30;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:30;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:30;00:00:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:02:24;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:02:24;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:06;00:02:35;00:00:00;
BFMTV;Candidat;00:00:00;00:18:55;00:00:00;00:00:00;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:00:00;00:18:55;00:00:00;00:00:00;
BFMTV;"Total temps d'antenne";00:00:00;00:18:55;00:00:00;00:00:00;
Cnews;Candidat;00:15:26;00:03:52;00:04:42;00:00:00;
Cnews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:15:26;00:03:52;00:04:42;00:00:00;
Cnews;"Total temps d'antenne";00:15:26;00:07:14;00:05:30;00:00:00;
LCI;Candidat;00:02:04;00:12:47;00:00:11;00:00:00;
LCI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
LCI;"Total temps de parole";00:02:04;00:12:47;00:00:11;00:00:00;
LCI;"Total temps d'antenne";00:02:18;00:18:18;00:00:11;00:00:00;
FranceinfoTV;Candidat;00:00:20;00:03:08;00:00:47;00:00:00;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceinfoTV;"Total temps de parole";00:00:20;00:03:08;00:00:47;00:00:00;
