Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:29;00:09:51;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:29;00:09:51;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:00;00:10:58;00:00:00;
France2;Candidat;00:00:19;00:00:22;00:24:06;00:00:00;
France2;Soutiens;00:09:45;00:00:00;00:07:56;00:00:00;
France2;"Total temps de parole";00:10:04;00:00:22;00:32:02;00:00:00;
France2;"Total temps d'antenne";00:12:07;00:01:09;00:36:41;00:00:00;
France3;Candidat;00:00:00;00:00:45;00:00:32;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:21;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:03:11;00:02:19;00:00:00;
France5;Candidat;00:00:00;00:01:42;00:04:34;00:02:28;
France5;Soutiens;00:00:00;00:00:17;00:00:24;00:00:07;
France5;"Total temps de parole";00:00:00;00:01:59;00:04:58;00:02:35;
France5;"Total temps d'antenne";00:00:00;00:02:55;00:06:56;00:03:33;
M6;Candidat;00:00:00;00:00:49;00:00:40;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:21;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:49;00:01:01;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:30;00:04:16;00:00:00;
C8;Candidat;00:00:00;00:00:50;00:08:44;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:42;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:50;00:09:26;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:05;00:14:04;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:11:58;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:06:00;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:17:58;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:39:52;00:00:00;
BFMTV;Candidat;00:25:55;00:09:58;00:03:30;00:03:18;
BFMTV;Soutiens;00:00:15;00:00:00;00:06:34;00:00:00;
BFMTV;"Total temps de parole";00:26:10;00:09:58;00:10:04;00:03:18;
BFMTV;"Total temps d'antenne";00:29:23;00:15:31;00:12:26;00:03:57;
Cnews;Candidat;00:02:29;00:12:07;00:07:36;00:07:52;
Cnews;Soutiens;00:14:00;00:19:37;00:01:14;00:00:00;
Cnews;"Total temps de parole";00:16:29;00:31:44;00:08:50;00:07:52;
Cnews;"Total temps d'antenne";00:26:19;01:07:53;00:44:59;00:22:54;
LCI;Candidat;00:01:08;00:20:17;00:30:28;00:00:00;
LCI;Soutiens;00:23:58;01:10:09;00:00:00;00:00:00;
LCI;"Total temps de parole";00:25:06;01:30:26;00:30:28;00:00:00;
LCI;"Total temps d'antenne";00:35:24;02:08:33;01:17:39;00:00:00;
