
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur LE PEN MARINE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:45;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:45;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:24;00:00:00;
France2;Candidat;00:00:00;00:00:00;00:23:57;00:00:00;
France2;Soutiens;00:09:45;00:00:00;00:00:56;00:00:00;
France2;"Total temps de parole";00:09:45;00:00:00;00:24:53;00:00:00;
France2;"Total temps d'antenne";00:11:10;00:00:13;00:28:40;00:00:00;
France3;Candidat;00:00:00;00:00:31;00:00:32;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:31;00:00:32;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:48;00:01:40;00:00:00;
France5;Candidat;00:00:00;00:01:28;00:02:43;00:01:16;
France5;Soutiens;00:00:00;00:00:17;00:00:24;00:00:07;
France5;"Total temps de parole";00:00:00;00:01:45;00:03:07;00:01:23;
France5;"Total temps d'antenne";00:00:00;00:02:41;00:04:57;00:02:17;
M6;Candidat;00:00:00;00:00:24;00:00:33;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:08;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:24;00:00:41;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:58;00:02:07;00:00:00;
C8;Candidat;00:00:00;00:00:35;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:42;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:35;00:00:42;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:35;00:00:42;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:01:44;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:05:57;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:07:41;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:17:08;00:00:00;
BFMTV;Candidat;00:00:00;00:00:34;00:01:10;00:00:00;
BFMTV;Soutiens;00:00:15;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:00:15;00:00:34;00:01:10;00:00:00;
BFMTV;"Total temps d'antenne";00:00:33;00:01:33;00:01:10;00:00:00;
Cnews;Candidat;00:01:44;00:04:10;00:06:36;00:05:52;
Cnews;Soutiens;00:14:00;00:19:37;00:01:14;00:00:00;
Cnews;"Total temps de parole";00:15:44;00:23:47;00:07:50;00:05:52;
Cnews;"Total temps d'antenne";00:25:34;00:57:45;00:42:52;00:08:04;
LCI;Candidat;00:00:23;00:12:28;00:00:00;00:00:00;
LCI;Soutiens;00:23:58;00:36:37;00:00:00;00:00:00;
LCI;"Total temps de parole";00:24:21;00:49:05;00:00:00;00:00:00;
LCI;"Total temps d'antenne";00:29:07;01:03:47;00:16:04;00:00:00;
FranceinfoTV;Candidat;00:00:24;00:42:20;00:01:07;00:01:06;
FranceinfoTV;Soutiens;00:07:14;00:09:35;00:12:14;00:00:00;
FranceinfoTV;"Total temps de parole";00:07:38;00:51:55;00:13:21;00:01:06;
FranceinfoTV;"Total temps d'antenne";00:11:33;01:28:46;00:33:08;00:01:18;
FranceInter;Candidat;00:00:55;00:01:01;00:00:52;00:00:00;
FranceInter;Soutiens;00:00:13;00:01:11;00:00:13;00:00:00;
FranceInter;"Total temps de parole";00:01:08;00:02:12;00:01:05;00:00:00;
FranceInter;"Total temps d'antenne";00:04:32;00:03:43;00:08:47;00:00:42;
FranceInfo;Candidat;00:03:10;00:03:08;00:01:52;00:03:00;
FranceInfo;Soutiens;00:00:36;00:01:57;00:00:18;00:00:00;
FranceInfo;"Total temps de parole";00:03:46;00:05:05;00:02:10;00:03:00;
FranceInfo;"Total temps d'antenne";00:14:09;00:31:43;00:29:23;00:09:27;
FranceCulture;Candidat;00:00:44;00:00:00;00:00:35;00:00:00;
FranceCulture;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:44;00:00:00;00:00:35;00:00:00;
FranceCulture;"Total temps d'antenne";00:02:26;00:00:22;00:01:18;00:00:00;
RTL;Candidat;00:00:49;00:02:55;00:02:29;00:01:03;
RTL;Soutiens;00:00:00;00:00:39;00:00:00;00:00:00;
RTL;"Total temps de parole";00:00:49;00:03:34;00:02:29;00:01:03;
RTL;"Total temps d'antenne";00:07:45;00:14:51;00:12:52;00:02:20;
Europe1;Candidat;00:07:49;00:00:45;00:02:16;00:00:44;
Europe1;Soutiens;00:00:00;00:27:09;00:00:22;00:00:00;
Europe1;"Total temps de parole";00:07:49;00:27:54;00:02:38;00:00:44;
Europe1;"Total temps d'antenne";00:11:01;00:27:54;00:05:27;00:00:44;
RMC;Candidat;00:00:36;00:00:00;00:00:00;00:00:00;
RMC;Soutiens;00:06:05;00:03:47;00:00:00;00:03:59;
RMC;"Total temps de parole";00:06:41;00:03:47;00:00:00;00:03:59;
RMC;"Total temps d'antenne";00:07:39;00:12:31;00:00:00;00:12:43;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:11:39;00:00:44;00:00:00;00:10:51;
SudRadio;Candidat;00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:00:50;00:02:48;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:22:17;00:00:00;
TV5Monde;Soutiens;00:09:45;00:00:00;00:00:56;00:00:00;
TV5Monde;"Total temps de parole";00:09:45;00:00:00;00:23:13;00:00:00;
TV5Monde;"Total temps d'antenne";00:10:51;00:00:24;00:30:28;00:00:00;
RFI;Candidat;00:01:02;00:02:54;00:00:50;00:00:54;
RFI;Soutiens;00:09:27;00:01:49;00:00:00;00:00:00;
RFI;"Total temps de parole";00:10:29;00:04:43;00:00:50;00:00:54;
RFI;"Total temps d'antenne";00:10:42;00:06:55;00:03:38;00:05:18;
France24;Candidat;00:01:42;00:00:27;00:00:28;00:01:06;
France24;Soutiens;00:00:00;00:02:50;00:01:26;00:00:00;
France24;"Total temps de parole";00:01:42;00:03:17;00:01:54;00:01:06;
France24;"Total temps d'antenne";00:04:39;00:15:19;00:07:50;00:01:15;
"RMC Story";Candidat;00:00:36;00:00:00;00:00:00;00:00:00;
"RMC Story";Soutiens;00:06:09;00:03:47;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:06:45;00:03:47;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:07:43;00:12:31;00:00:00;00:00:00;
