
Election présidentielle 2022
Période du 8 au 27 mars 2022
Temps de parole sur LE PEN MARINE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:38:29;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:09:16;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:47:45;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:57;00:55:09;00:00:00;
France2;Candidat;00:10:16;00:05:44;00:03:06;00:00:00;
France2;Soutiens;00:10:34;00:00:16;00:59:20;00:00:00;
France2;"Total temps de parole";00:20:50;00:06:00;01:02:26;00:00:00;
France2;"Total temps d'antenne";00:27:29;00:07:25;01:06:02;00:00:00;
France3;Candidat;00:00:00;00:09:31;00:01:30;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:20;00:00:00;
France3;"Total temps de parole";00:00:00;00:09:31;00:01:50;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:11:53;00:04:00;00:00:00;
France5;Candidat;00:00:00;00:02:03;00:06:26;00:03:36;
France5;Soutiens;00:00:00;00:00:00;00:23:27;00:20:54;
France5;"Total temps de parole";00:00:00;00:02:03;00:29:53;00:24:30;
France5;"Total temps d'antenne";00:00:00;00:03:20;00:47:10;00:27:27;
M6;Candidat;00:00:00;00:01:20;00:19:54;00:00:00;
M6;Soutiens;00:00:00;00:00:20;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:40;00:19:54;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:05:45;00:23:55;00:00:00;
C8;Candidat;00:00:00;00:16:02;01:42:06;00:00:00;
C8;Soutiens;00:00:00;00:01:01;00:20:49;00:00:00;
C8;"Total temps de parole";00:00:00;00:17:03;02:02:55;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:18:44;02:10:35;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:20:27;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:33;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:21:00;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:02:03;00:35:21;00:00:00;
BFMTV;Candidat;00:07:44;00:50:32;01:38:53;00:33:32;
BFMTV;Soutiens;00:30:21;00:57:47;00:04:05;00:00:29;
BFMTV;"Total temps de parole";00:38:05;01:48:19;01:42:58;00:34:01;
BFMTV;"Total temps d'antenne";00:59:18;02:33:41;02:40:57;00:37:56;
Cnews;Candidat;00:12:26;00:45:31;02:01:48;00:30:49;
Cnews;Soutiens;00:38:54;04:30:30;01:15:12;00:01:12;
Cnews;"Total temps de parole";00:51:20;05:16:01;03:17:00;00:32:01;
Cnews;"Total temps d'antenne";01:20:08;06:37:27;04:00:49;00:48:01;
RMCDecouverte;Candidat;00:01:54;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:01:54;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:13:34;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:12:41;01:00:55;01:02:29;00:02:40;
LCI;Soutiens;00:14:04;01:42:40;00:34:57;00:00:00;
LCI;"Total temps de parole";00:26:45;02:43:35;01:37:26;00:02:40;
LCI;"Total temps d'antenne";00:46:15;05:13:59;02:05:23;00:02:40;
FranceinfoTV;Candidat;00:34:42;01:17:05;00:31:20;00:03:34;
FranceinfoTV;Soutiens;00:39:32;00:48:57;00:57:17;00:01:16;
FranceinfoTV;"Total temps de parole";01:14:14;02:06:02;01:28:37;00:04:50;
FranceinfoTV;"Total temps d'antenne";01:28:29;02:57:50;02:00:38;00:06:17;
FranceInter;Candidat;00:20:00;00:05:26;00:04:30;00:00:57;
FranceInter;Soutiens;00:05:10;00:12:03;00:00:52;00:00:05;
FranceInter;"Total temps de parole";00:25:10;00:17:29;00:05:22;00:01:02;
FranceInter;"Total temps d'antenne";00:40:33;00:34:40;00:21:49;00:02:14;
FranceInfo;Candidat;00:25:11;00:21:36;00:09:28;00:27:35;
FranceInfo;Soutiens;00:17:14;00:10:25;00:19:53;00:22:29;
FranceInfo;"Total temps de parole";00:42:25;00:32:01;00:29:21;00:50:04;
FranceInfo;"Total temps d'antenne";01:19:28;01:45:40;01:22:32;02:09:07;
FranceCulture;Candidat;00:01:26;00:00:52;00:01:33;00:00:00;
FranceCulture;Soutiens;00:00:49;00:21:16;00:00:17;00:00:00;
FranceCulture;"Total temps de parole";00:02:15;00:22:08;00:01:50;00:00:00;
FranceCulture;"Total temps d'antenne";00:07:17;00:25:22;00:17:36;00:00:00;
RTL;Candidat;00:01:50;00:04:45;00:01:29;00:02:13;
RTL;Soutiens;00:21:47;01:28:19;00:10:30;00:01:36;
RTL;"Total temps de parole";00:23:37;01:33:04;00:11:59;00:03:49;
RTL;"Total temps d'antenne";00:38:13;01:49:33;00:23:52;00:07:14;
Europe1;Candidat;00:13:15;00:01:08;00:10:05;00:00:00;
Europe1;Soutiens;00:11:53;00:19:42;00:27:55;00:00:24;
Europe1;"Total temps de parole";00:25:08;00:20:50;00:38:00;00:00:24;
Europe1;"Total temps d'antenne";00:29:36;00:20:50;00:41:19;00:00:24;
RMC;Candidat;00:01:39;00:36:08;00:00:00;00:34:44;
RMC;Soutiens;00:52:12;00:28:32;00:00:00;00:30:37;
RMC;"Total temps de parole";00:53:51;01:04:40;00:00:00;01:05:21;
RMC;"Total temps d'antenne";01:01:48;01:21:08;00:00:00;01:21:49;
BFMBusiness;Candidat;00:01:54;00:00:50;00:00:51;00:00:00;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:20:52;00:10:26;
BFMBusiness;"Total temps de parole";00:01:54;00:00:50;00:21:43;00:10:26;
BFMBusiness;"Total temps d'antenne";00:13:34;00:21:28;00:36:27;00:15:57;
RadioClassique;Candidat;00:01:42;00:00:00;00:00:00;00:01:42;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:42;00:00:00;00:00:00;00:01:42;
RadioClassique;"Total temps d'antenne";01:06:53;00:00:24;00:00:03;01:05:47;
SudRadio;Candidat;00:00:52;00:00:30;00:01:03;00:00:00;
SudRadio;Soutiens;00:49:33;00:09:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:50:25;00:09:30;00:01:03;00:00:00;
SudRadio;"Total temps d'antenne";00:53:41;00:33:35;00:04:03;00:00:00;
TV5Monde;Candidat;00:09:58;00:00:00;00:03:06;00:00:00;
TV5Monde;Soutiens;00:10:06;00:00:00;00:57:48;00:00:00;
TV5Monde;"Total temps de parole";00:20:04;00:00:00;01:00:54;00:00:00;
TV5Monde;"Total temps d'antenne";00:21:25;00:00:02;01:08:41;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:01:28;00:00:40;00:00:47;
RFI;Candidat;00:02:55;00:02:01;00:09:31;00:01:29;
RFI;Soutiens;00:27:58;00:12:00;00:20:57;00:00:37;
RFI;"Total temps de parole";00:30:53;00:14:01;00:30:28;00:02:06;
RFI;"Total temps d'antenne";00:36:04;00:16:27;00:36:52;00:04:56;
France24;Candidat;00:00:40;00:05:11;00:05:24;00:03:37;
France24;Soutiens;00:00:00;00:00:42;00:16:21;00:01:14;
France24;"Total temps de parole";00:00:40;00:05:53;00:21:45;00:04:51;
France24;"Total temps d'antenne";00:01:39;00:11:34;00:34:05;00:08:43;
"RMC Story";Candidat;00:01:26;00:33:23;00:00:00;00:00:00;
"RMC Story";Soutiens;00:21:53;00:28:32;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:23:19;01:01:55;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:32:53;01:18:23;00:00:00;00:00:00;
