Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:13;00:30:21;00:00:00;
TF1;Soutiens;00:00:00;00:01:24;00:01:29;00:00:00;
TF1;"Total temps de parole";00:00:00;00:01:37;00:31:50;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:09:06;00:41:44;00:00:00;
France2;Candidat;00:22:23;00:02:10;00:03:23;00:00:00;
France2;Soutiens;00:28:39;00:02:04;00:06:40;00:00:00;
France2;"Total temps de parole";00:51:02;00:04:14;00:10:03;00:00:00;
France2;"Total temps d'antenne";01:28:54;00:12:17;00:18:34;00:00:00;
France3;Candidat;00:00:00;00:14:03;00:02:41;00:00:00;
France3;Soutiens;00:00:00;00:01:57;00:01:32;00:00:00;
France3;"Total temps de parole";00:00:00;00:16:00;00:04:13;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:25:30;00:13:15;00:00:00;
France5;Candidat;00:00:00;00:03:25;00:23:33;00:11:14;
France5;Soutiens;00:00:00;00:00:51;01:03:24;00:36:54;
France5;"Total temps de parole";00:00:00;00:04:16;01:26:57;00:48:08;
France5;"Total temps d'antenne";00:00:00;00:07:36;01:48:43;00:51:08;
M6;Candidat;00:00:00;00:01:32;00:02:00;00:00:00;
M6;Soutiens;00:00:00;00:00:48;00:00:31;00:00:00;
M6;"Total temps de parole";00:00:00;00:02:20;00:02:31;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:09:25;00:13:26;00:00:00;
C8;Candidat;00:00:00;00:01:07;00:02:59;00:00:00;
C8;Soutiens;00:00:00;00:00:45;00:39:39;00:00:00;
C8;"Total temps de parole";00:00:00;00:01:52;00:42:38;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:05:30;00:59:35;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:15:56;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:04:55;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:20:51;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;01:33:36;00:00:00;
BFMTV;Candidat;00:34:24;04:22:00;01:47:20;01:10:24;
BFMTV;Soutiens;00:59:37;01:31:18;02:02:56;00:18:35;
BFMTV;"Total temps de parole";01:34:01;05:53:18;03:50:16;01:28:59;
BFMTV;"Total temps d'antenne";02:26:41;10:59:56;06:33:05;03:39:55;
Cnews;Candidat;00:14:21;04:08:14;01:29:09;00:34:00;
Cnews;Soutiens;00:53:49;03:26:39;01:20:47;00:00:00;
Cnews;"Total temps de parole";01:08:10;07:34:53;02:49:56;00:34:00;
Cnews;"Total temps d'antenne";02:26:56;11:17:34;05:22:06;01:52:43;
RMCDecouverte;Candidat;00:10:58;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:05:13;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:16:11;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:21:00;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:10:18;03:30:23;01:07:39;00:09:39;
LCI;Soutiens;00:50:17;02:21:02;02:08:42;00:00:00;
LCI;"Total temps de parole";01:00:35;05:51:25;03:16:21;00:09:39;
LCI;"Total temps d'antenne";02:01:08;12:38:11;07:38:36;00:43:43;
FranceinfoTV;Candidat;00:07:53;02:50:09;01:09:02;00:17:46;
FranceinfoTV;Soutiens;01:17:55;01:26:46;00:48:09;00:08:39;
FranceinfoTV;"Total temps de parole";01:25:48;04:16:55;01:57:11;00:26:25;
FranceinfoTV;"Total temps d'antenne";02:22:46;09:49:19;06:11:28;01:06:22;
FranceInter;Candidat;00:29:16;00:26:10;00:08:26;00:00:23;
FranceInter;Soutiens;00:40:29;00:32:47;00:01:58;00:03:17;
FranceInter;"Total temps de parole";01:09:45;00:58:57;00:10:24;00:03:40;
FranceInter;"Total temps d'antenne";01:52:38;01:42:07;01:02:58;00:12:52;
FranceInfo;Candidat;00:07:13;00:28:46;00:43:19;00:15:32;
FranceInfo;Soutiens;00:53:05;01:03:58;00:29:18;00:05:02;
FranceInfo;"Total temps de parole";01:00:18;01:32:44;01:12:37;00:20:34;
FranceInfo;"Total temps d'antenne";01:57:51;04:27:20;04:08:56;03:33:24;
FranceCulture;Candidat;00:05:27;00:03:55;00:06:01;00:00:00;
FranceCulture;Soutiens;00:00:51;00:12:33;00:09:56;00:00:00;
FranceCulture;"Total temps de parole";00:06:18;00:16:28;00:15:57;00:00:00;
FranceCulture;"Total temps d'antenne";01:07:13;00:59:17;00:45:47;00:00:00;
RTL;Candidat;00:09:35;00:07:13;00:15:19;00:01:08;
RTL;Soutiens;00:40:40;00:46:39;00:20:15;00:14:45;
RTL;"Total temps de parole";00:50:15;00:53:52;00:35:34;00:15:53;
RTL;"Total temps d'antenne";01:48:51;01:22:22;01:16:58;00:36:34;
Europe1;Candidat;00:04:18;00:45:39;01:00:38;00:05:18;
Europe1;Soutiens;00:17:05;00:57:40;01:17:31;00:01:35;
Europe1;"Total temps de parole";00:21:23;01:43:19;02:18:09;00:06:53;
Europe1;"Total temps d'antenne";00:39:22;01:57:22;02:58:32;00:23:19;
RMC;Candidat;00:31:49;00:32:04;00:00:00;00:07:37;
RMC;Soutiens;01:33:12;01:00:36;00:00:00;01:34:58;
RMC;"Total temps de parole";02:05:01;01:32:40;00:00:00;01:42:35;
RMC;"Total temps d'antenne";02:54:09;01:47:58;00:00:00;01:55:42;
BFMBusiness;Candidat;00:10:58;00:02:18;00:10:10;00:00:00;
BFMBusiness;Soutiens;00:05:13;00:00:29;00:38:19;00:09:51;
BFMBusiness;"Total temps de parole";00:16:11;00:02:47;00:48:29;00:09:51;
BFMBusiness;"Total temps d'antenne";00:21:00;00:39:17;00:52:18;00:55:33;
RadioClassique;Candidat;00:04:03;00:00:00;00:00:00;00:00:31;
RadioClassique;Soutiens;00:01:33;00:00:00;00:00:00;00:00:29;
RadioClassique;"Total temps de parole";00:05:36;00:00:00;00:00:00;00:01:00;
RadioClassique;"Total temps d'antenne";01:21:33;00:07:56;00:02:09;01:01:40;
SudRadio;Candidat;00:09:07;00:03:01;00:00:00;00:00:00;
SudRadio;Soutiens;00:47:29;00:31:46;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:56:36;00:34:47;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";01:23:10;00:48:04;00:03:53;00:00:00;
TV5Monde;Candidat;00:21:08;00:02:08;00:05:37;00:00:00;
TV5Monde;Soutiens;00:27:41;00:01:38;00:12:48;00:00:00;
TV5Monde;"Total temps de parole";00:48:49;00:03:46;00:18:25;00:00:00;
TV5Monde;"Total temps d'antenne";01:22:09;00:19:48;00:52:06;00:10:38;
Euronews;Candidat;00:09:37;00:22:18;00:07:38;00:06:51;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:09:37;00:22:18;00:07:38;00:06:51;
Euronews;"Total temps d'antenne";00:37:23;00:42:42;00:50:07;00:47:05;
RFI;Candidat;00:09:40;00:14:37;00:02:40;00:10:24;
RFI;Soutiens;00:10:00;00:00:19;00:00:22;00:01:44;
RFI;"Total temps de parole";00:19:40;00:14:56;00:03:02;00:12:08;
RFI;"Total temps d'antenne";00:28:13;00:38:13;00:19:57;00:30:03;
France24;Candidat;00:12:29;00:32:24;00:28:53;00:17:46;
France24;Soutiens;00:06:22;00:20:29;00:09:29;00:08:39;
France24;"Total temps de parole";00:18:51;00:52:53;00:38:22;00:26:25;
France24;"Total temps d'antenne";01:22:16;03:59:00;02:31:27;01:06:22;
"RMC Story";Candidat;00:04:53;00:02:48;00:00:00;00:00:00;
"RMC Story";Soutiens;00:41:54;00:57:13;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:46:47;01:00:01;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";01:32:06;01:13:33;00:00:00;00:00:00;
