
Election présidentielle 2022
Période du 28 mars au 8 avril 2022
Temps de parole sur MACRON EMMANUEL

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:24;00:09:48;00:00:00;
TF1;Soutiens;00:00:00;00:00:03;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:27;00:09:48;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:59;00:10:58;00:00:00;
France2;Candidat;00:00:17;00:00:22;00:24:23;00:00:00;
France2;Soutiens;00:09:47;00:00:00;00:07:39;00:00:00;
France2;"Total temps de parole";00:10:04;00:00:22;00:32:02;00:00:00;
France2;"Total temps d'antenne";00:11:37;00:02:33;00:44:19;00:00:00;
France3;Candidat;00:00:00;00:00:32;00:00:38;00:00:00;
France3;Soutiens;00:00:00;00:00:13;00:00:15;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:03:19;00:02:20;00:00:00;
France5;Candidat;00:00:00;00:01:13;00:04:26;00:02:34;
France5;Soutiens;00:00:00;00:00:47;00:00:47;00:00:00;
France5;"Total temps de parole";00:00:00;00:02:00;00:05:13;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:02:59;00:07:14;00:03:32;
M6;Candidat;00:00:00;00:00:34;00:00:52;00:00:00;
M6;Soutiens;00:00:00;00:00:22;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:56;00:00:52;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:03:05;00:04:03;00:00:00;
C8;Candidat;00:00:00;00:00:20;00:00:56;00:00:00;
C8;Soutiens;00:00:00;00:00:30;00:08:20;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:50;00:09:16;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:07;00:12:36;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:16:17;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:02:01;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:18:18;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:41:55;00:00:00;
BFMTV;Candidat;00:19:39;00:08:31;00:10:08;00:03:09;
BFMTV;Soutiens;00:06:33;00:01:15;00:00:00;00:00:07;
BFMTV;"Total temps de parole";00:26:12;00:09:46;00:10:08;00:03:16;
BFMTV;"Total temps d'antenne";00:31:17;00:16:23;00:12:20;00:03:59;
Cnews;Candidat;00:03:19;00:25:57;00:08:37;00:07:09;
Cnews;Soutiens;00:14:00;00:04:21;00:01:11;00:01:36;
Cnews;"Total temps de parole";00:17:19;00:30:18;00:09:48;00:08:45;
Cnews;"Total temps d'antenne";00:26:19;01:13:10;00:47:22;00:20:45;
LCI;Candidat;00:00:50;01:28:21;00:01:55;00:00:00;
LCI;Soutiens;00:24:35;00:02:12;00:28:38;00:00:00;
LCI;"Total temps de parole";00:25:25;01:30:33;00:30:33;00:00:00;
LCI;"Total temps d'antenne";00:35:24;02:08:53;01:17:39;00:00:00;
FranceinfoTV;Candidat;00:02:13;00:54:28;00:10:54;00:03:55;
FranceinfoTV;Soutiens;00:30:51;00:23:01;00:14:30;00:00:00;
FranceinfoTV;"Total temps de parole";00:33:04;01:17:29;00:25:24;00:03:55;
FranceinfoTV;"Total temps d'antenne";00:39:16;02:21:14;00:49:16;00:12:40;
FranceInter;Candidat;00:21:34;00:01:17;00:03:10;00:00:00;
FranceInter;Soutiens;00:00:31;00:03:38;00:00:03;00:01:24;
FranceInter;"Total temps de parole";00:22:05;00:04:55;00:03:13;00:01:24;
FranceInter;"Total temps d'antenne";00:29:37;00:11:07;00:12:21;00:03:44;
FranceInfo;Candidat;00:03:32;00:14:59;00:17:19;00:05:29;
FranceInfo;Soutiens;00:19:33;00:12:13;00:01:32;00:02:20;
FranceInfo;"Total temps de parole";00:23:05;00:27:12;00:18:51;00:07:49;
FranceInfo;"Total temps d'antenne";00:42:46;01:19:58;01:33:18;00:43:16;
FranceCulture;Candidat;00:00:32;00:00:00;00:00:52;00:00:00;
FranceCulture;Soutiens;00:01:03;00:04:37;00:00:10;00:00:00;
FranceCulture;"Total temps de parole";00:01:35;00:04:37;00:01:02;00:00:00;
FranceCulture;"Total temps d'antenne";00:13:36;00:07:04;00:04:32;00:00:00;
RTL;Candidat;00:17:18;00:04:44;00:02:59;00:03:00;
RTL;Soutiens;00:02:11;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:19:29;00:04:44;00:02:59;00:03:00;
RTL;"Total temps d'antenne";00:42:06;00:21:42;00:18:41;00:06:19;
Europe1;Candidat;00:02:53;00:01:06;00:08:10;00:01:34;
Europe1;Soutiens;00:27:40;00:22:50;00:00:00;00:00:42;
Europe1;"Total temps de parole";00:30:33;00:23:56;00:08:10;00:02:16;
Europe1;"Total temps d'antenne";00:54:46;00:27:57;00:15:30;00:08:34;
RMC;Candidat;00:04:53;00:04:59;00:00:00;00:04:32;
RMC;Soutiens;00:32:41;00:00:09;00:00:00;00:03:00;
RMC;"Total temps de parole";00:37:34;00:05:08;00:00:00;00:07:32;
RMC;"Total temps d'antenne";00:47:29;00:15:13;00:00:00;00:11:33;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:01:28;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:28;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:26:05;00:00:36;00:00:00;00:20:46;
SudRadio;Candidat;00:00:38;00:00:45;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:38;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:18:22;00:03:10;00:02:20;00:00:00;
TV5Monde;Candidat;00:00:17;00:00:00;00:24:28;00:00:00;
TV5Monde;Soutiens;00:09:47;00:00:00;00:07:39;00:00:00;
TV5Monde;"Total temps de parole";00:10:04;00:00:00;00:32:07;00:00:00;
TV5Monde;"Total temps d'antenne";00:10:31;00:03:54;00:46:23;00:00:00;
RFI;Candidat;00:06:02;00:06:01;00:02:01;00:05:21;
RFI;Soutiens;00:05:34;00:01:08;00:00:00;00:00:00;
RFI;"Total temps de parole";00:11:36;00:07:09;00:02:01;00:05:21;
RFI;"Total temps d'antenne";00:16:30;00:12:12;00:05:35;00:09:34;
France24;Candidat;00:03:10;00:06:01;00:04:39;00:03:38;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:03:10;00:06:01;00:04:39;00:03:38;
France24;"Total temps d'antenne";00:07:59;00:21:42;00:20:02;00:11:13;
"RMC Story";Candidat;00:01:45;00:03:44;00:00:00;00:00:00;
"RMC Story";Soutiens;00:11:48;00:00:09;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:13:33;00:03:53;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:21:10;00:13:04;00:00:00;00:00:00;
