
Election présidentielle 2022
Période du 8 au 13 mars 2022
Temps de parole sur MACRON EMMANUEL

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:44;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:53;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:01:37;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:02:21;00:07:45;00:00:00;
France2;Candidat;00:00:28;00:00:06;00:00:08;00:00:00;
France2;Soutiens;00:09:50;00:00:00;00:00:21;00:00:00;
France2;"Total temps de parole";00:10:18;00:00:06;00:00:29;00:00:00;
France2;"Total temps d'antenne";00:16:54;00:01:14;00:02:12;00:00:00;
France3;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:12;00:00:30;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:12;00:00:30;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:44;00:01:35;00:00:00;
France5;Candidat;00:00:00;00:00:42;00:01:16;00:00:52;
France5;Soutiens;00:00:00;00:00:07;00:00:57;00:00:57;
France5;"Total temps de parole";00:00:00;00:00:49;00:02:13;00:01:49;
France5;"Total temps d'antenne";00:00:00;00:02:06;00:05:25;00:03:28;
M6;Candidat;00:00:00;00:00:23;00:00:00;00:00:00;
M6;Soutiens;00:00:00;00:00:49;00:00:13;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:12;00:00:13;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:04:40;00:01:34;00:00:00;
C8;Candidat;00:00:00;00:00:57;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:08:14;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:09:11;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:11:13;00:00:48;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:02:50;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:01:54;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:04:44;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:17;00:10:25;00:00:00;
BFMTV;Candidat;00:02:51;00:03:01;00:03:27;00:09:05;
BFMTV;Soutiens;00:00:23;00:04:39;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:03:14;00:07:40;00:03:27;00:09:05;
BFMTV;"Total temps d'antenne";00:19:58;00:36:25;00:28:42;00:22:35;
Cnews;Candidat;00:08:56;00:08:30;00:11:31;00:16:07;
Cnews;Soutiens;00:14:38;01:25:47;00:19:47;00:00:00;
Cnews;"Total temps de parole";00:23:34;01:34:17;00:31:18;00:16:07;
Cnews;"Total temps d'antenne";00:54:58;02:37:42;01:26:04;00:45:21;
RMCDecouverte;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:01:34;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:01:34;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:05:37;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:02:36;00:02:58;00:00:24;00:03:44;
LCI;Soutiens;00:04:33;00:21:45;00:02:23;00:00:00;
LCI;"Total temps de parole";00:07:09;00:24:43;00:02:47;00:03:44;
LCI;"Total temps d'antenne";00:28:57;02:13:18;00:12:44;00:03:44;
FranceinfoTV;Candidat;00:01:26;00:03:01;00:02:43;00:03:00;
FranceinfoTV;Soutiens;00:23:04;00:15:46;00:18:11;00:03:07;
FranceinfoTV;"Total temps de parole";00:24:30;00:18:47;00:20:54;00:06:07;
FranceinfoTV;"Total temps d'antenne";00:43:39;00:52:04;00:55:36;00:22:21;
FranceInter;Candidat;00:00:49;00:00:07;00:01:12;00:00:13;
FranceInter;Soutiens;00:10:09;00:07:21;00:01:02;00:00:00;
FranceInter;"Total temps de parole";00:10:58;00:07:28;00:02:14;00:00:13;
