
Election présidentielle 2022
Période du 11 au 22 avril 2022
Temps de parole sur MACRON EMMANUEL

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:01:46;01:42:51;00:00:00;
TF1;Soutiens;00:00:00;00:01:11;00:05:49;00:00:00;
TF1;"Total temps de parole";00:00:00;00:02:57;01:48:40;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:12:13;02:03:03;00:00:00;
France2;Candidat;00:24:26;00:03:24;01:36:53;00:00:00;
France2;Soutiens;01:01:20;00:03:48;00:14:04;00:00:00;
France2;"Total temps de parole";01:25:46;00:07:12;01:50:57;00:00:00;
France2;"Total temps d'antenne";02:20:59;00:21:25;02:10:54;00:00:00;
France3;Candidat;00:00:00;00:04:12;00:04:47;00:00:00;
France3;Soutiens;00:00:00;00:14:35;00:02:50;00:00:00;
France3;"Total temps de parole";00:00:00;00:18:47;00:07:37;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:33:02;00:23:40;00:00:00;
France5;Candidat;00:00:00;00:03:10;01:08:57;00:51:59;
France5;Soutiens;00:00:00;00:01:03;00:59:18;00:27:17;
France5;"Total temps de parole";00:00:00;00:04:13;02:08:15;01:19:16;
France5;"Total temps d'antenne";00:00:00;00:07:29;02:30:02;01:23:49;
M6;Candidat;00:00:00;00:02:57;00:03:28;00:00:00;
M6;Soutiens;00:00:00;00:01:14;00:01:09;00:00:00;
M6;"Total temps de parole";00:00:00;00:04:11;00:04:37;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:17:42;00:22:38;00:00:00;
C8;Candidat;00:00:00;00:01:28;00:04:07;00:00:00;
C8;Soutiens;00:00:00;00:00:58;01:26:24;00:00:00;
C8;"Total temps de parole";00:00:00;00:02:26;01:30:31;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:09:26;01:52:03;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:31:58;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:14:44;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:46:42;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;02:50:15;00:00:00;
BFMTV;Candidat;00:22:38;05:24:47;04:09:51;01:26:55;
BFMTV;Soutiens;02:11:50;02:42:05;02:16:20;01:02:48;
BFMTV;"Total temps de parole";02:34:28;08:06:52;06:26:11;02:29:43;
BFMTV;"Total temps d'antenne";03:36:01;15:57:11;09:57:27;05:30:03;
Cnews;Candidat;00:22:59;04:32:03;02:34:00;00:49:47;
Cnews;Soutiens;02:28:20;05:46:18;02:21:06;00:18:19;
Cnews;"Total temps de parole";02:51:19;10:18:21;04:55:06;01:08:06;
Cnews;"Total temps d'antenne";04:27:10;15:19:53;08:17:21;03:02:28;
RMCDecouverte;Candidat;00:09:57;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:16:36;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:26:33;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:33:58;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:11:23;04:42:39;02:11:08;01:24:36;
LCI;Soutiens;01:33:09;03:09:12;03:55:35;00:04:35;
LCI;"Total temps de parole";01:44:32;07:51:51;06:06:43;01:29:11;
LCI;"Total temps d'antenne";03:25:47;17:24:52;11:59:14;02:48:07;
FranceinfoTV;Candidat;00:55:31;03:00:40;02:42:13;00:28:54;
FranceinfoTV;Soutiens;01:47:38;02:33:33;01:05:10;00:12:58;
FranceinfoTV;"Total temps de parole";02:43:09;05:34:13;03:47:23;00:41:52;
FranceinfoTV;"Total temps d'antenne";04:16:24;15:35:36;10:42:03;01:46:19;
FranceInter;Candidat;00:36:35;00:31:30;01:23:11;00:03:09;
FranceInter;Soutiens;01:11:14;00:58:42;00:08:58;00:05:58;
FranceInter;"Total temps de parole";01:47:49;01:30:12;01:32:09;00:09:07;
FranceInter;"Total temps d'antenne";03:02:01;02:30:28;02:56:42;00:24:59;
FranceInfo;Candidat;00:34:56;01:24:35;01:58:24;01:37:00;
FranceInfo;Soutiens;01:29:34;01:01:55;01:11:18;00:16:44;
FranceInfo;"Total temps de parole";02:04:30;02:26:30;03:09:42;01:53:44;
FranceInfo;"Total temps d'antenne";04:02:41;08:01:40;07:41:10;06:02:41;
FranceCulture;Candidat;00:50:19;00:03:50;00:07:18;00:00:00;
FranceCulture;Soutiens;00:04:59;00:16:29;00:14:08;00:00:00;
FranceCulture;"Total temps de parole";00:55:18;00:20:19;00:21:26;00:00:00;
FranceCulture;"Total temps d'antenne";02:18:38;01:06:20;01:14:49;00:00:00;
RTL;Candidat;00:12:05;00:08:47;01:30:37;00:09:11;
RTL;Soutiens;01:23:51;01:02:02;00:42:41;00:21:08;
RTL;"Total temps de parole";01:35:56;01:10:49;02:13:18;00:30:19;
RTL;"Total temps d'antenne";03:05:50;02:21:41;03:17:02;01:03:56;
Europe1;Candidat;00:07:21;01:29:17;02:19:49;00:09:57;
Europe1;Soutiens;01:44:56;01:27:44;01:45:55;00:02:40;
Europe1;"Total temps de parole";01:52:17;02:57:01;04:05:44;00:12:37;
Europe1;"Total temps d'antenne";02:37:58;03:24:05;05:38:03;00:38:36;
RMC;Candidat;00:14:33;00:13:11;00:00:53;00:18:35;
RMC;Soutiens;02:56:50;01:58:39;00:00:00;02:26:34;
RMC;"Total temps de parole";03:11:23;02:11:50;00:00:53;02:45:09;
RMC;"Total temps d'antenne";04:02:48;03:21:16;00:00:53;03:46:42;
BFMBusiness;Candidat;00:09:57;00:02:01;00:07:07;00:00:19;
BFMBusiness;Soutiens;00:16:36;00:05:22;01:25:48;00:32:13;
BFMBusiness;"Total temps de parole";00:26:33;00:07:23;01:32:55;00:32:32;
BFMBusiness;"Total temps d'antenne";00:33:58;00:58:22;01:57:01;01:38:25;
RadioClassique;Candidat;00:08:05;00:00:00;00:00:00;00:01:55;
RadioClassique;Soutiens;00:01:20;00:00:00;00:00:00;00:00:09;
RadioClassique;"Total temps de parole";00:09:25;00:00:00;00:00:00;00:02:04;
RadioClassique;"Total temps d'antenne";02:29:13;00:16:19;00:02:28;01:43:48;
SudRadio;Candidat;00:17:32;00:04:55;01:10:00;00:00:00;
SudRadio;Soutiens;01:49:41;00:31:12;00:00:00;00:00:00;
SudRadio;"Total temps de parole";02:07:13;00:36:07;01:10:00;00:00:00;
SudRadio;"Total temps d'antenne";02:51:35;00:55:10;01:14:19;00:00:00;
TV5Monde;Candidat;00:22:58;00:04:29;00:26:58;01:12:15;
TV5Monde;Soutiens;00:59:34;00:01:46;00:11:26;00:00:54;
TV5Monde;"Total temps de parole";01:22:32;00:06:15;00:38:24;01:13:09;
TV5Monde;"Total temps d'antenne";02:11:09;00:43:27;01:29:52;01:27:57;
Euronews;Candidat;00:17:55;00:41:40;00:08:17;00:07:44;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:17:55;00:41:40;00:08:17;00:07:44;
Euronews;"Total temps d'antenne";00:49:25;01:25:17;01:04:16;00:48:33;
RFI;Candidat;00:16:24;00:20:44;00:05:07;00:17:35;
RFI;Soutiens;00:29:49;00:09:17;00:43:53;00:02:58;
RFI;"Total temps de parole";00:46:13;00:30:01;00:49:00;00:20:33;
RFI;"Total temps d'antenne";01:01:10;01:03:04;01:15:25;00:44:07;
France24;Candidat;00:11:50;00:46:03;01:38:42;00:29:09;
France24;Soutiens;00:14:23;00:22:18;00:50:01;00:11:25;
France24;"Total temps de parole";00:26:13;01:08:21;02:28:43;00:40:34;
France24;"Total temps d'antenne";01:46:41;05:33:35;05:07:11;01:35:59;
"RMC Story";Candidat;00:14:38;00:09:15;00:00:00;00:00:00;
"RMC Story";Soutiens;01:13:49;01:25:05;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";01:28:27;01:34:20;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";02:22:22;02:31:15;00:00:00;00:00:00;
