
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur PECRESSE VALERIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:42;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:01;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:43;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:27;00:00:00;
France2;Candidat;00:00:00;00:00:00;00:07:31;00:00:00;
France2;Soutiens;00:09:46;00:00:00;00:00:10;00:00:00;
France2;"Total temps de parole";00:09:46;00:00:00;00:07:41;00:00:00;
France2;"Total temps d'antenne";00:10:51;00:00:11;00:09:16;00:00:00;
France3;Candidat;00:00:00;00:00:15;00:00:25;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:18;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:15;00:00:43;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:02:13;00:01:51;00:00:00;
France5;Candidat;00:00:00;00:01:15;00:02:34;00:01:21;
France5;Soutiens;00:00:00;00:00:29;00:00:35;00:00:06;
France5;"Total temps de parole";00:00:00;00:01:44;00:03:09;00:01:27;
France5;"Total temps d'antenne";00:00:00;00:02:35;00:04:52;00:02:19;
M6;Candidat;00:00:00;00:00:18;00:00:36;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:11;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:18;00:00:47;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:55;00:02:39;00:00:00;
C8;Candidat;00:00:00;00:00:30;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:30;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:30;00:00:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:10:17;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:18;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:10:35;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:12:08;00:00:00;
BFMTV;Candidat;00:22:45;00:01:31;00:00:47;00:00:00;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:22:45;00:01:31;00:00:47;00:00:00;
BFMTV;"Total temps d'antenne";00:23:37;00:02:37;00:00:47;00:00:32;
Cnews;Candidat;00:00:00;00:04:00;00:04:08;00:00:00;
Cnews;Soutiens;00:00:00;00:26:17;00:01:45;00:00:00;
Cnews;"Total temps de parole";00:00:00;00:30:17;00:05:53;00:00:00;
Cnews;"Total temps d'antenne";00:05:50;00:49:36;00:42:56;00:00:00;
LCI;Candidat;00:25:00;00:46:57;00:00:00;00:00:00;
LCI;Soutiens;00:00:00;00:01:29;00:01:00;00:00:00;
LCI;"Total temps de parole";00:25:00;00:48:26;00:01:00;00:00:00;
LCI;"Total temps d'antenne";00:26:01;01:20:28;00:15:13;00:00:00;
FranceinfoTV;Candidat;00:00:00;00:36:21;00:02:33;00:01:10;
FranceinfoTV;Soutiens;00:07:37;00:08:29;00:13:55;00:00:00;
FranceinfoTV;"Total temps de parole";00:07:37;00:44:50;00:16:28;00:01:10;
