
Election présidentielle 2022
Période du 8 au 27 mars 2022
Temps de parole sur PECRESSE VALERIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:40:08;00:00:00;
TF1;Soutiens;00:00:00;00:00:01;00:06:43;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:01;00:46:51;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:54;00:51:34;00:00:00;
France2;Candidat;00:01:27;00:03:57;00:42:35;00:00:00;
France2;Soutiens;00:19:05;00:01:58;00:26:11;00:00:00;
France2;"Total temps de parole";00:20:32;00:05:55;01:08:46;00:00:00;
France2;"Total temps d'antenne";00:24:47;00:06:55;01:17:44;00:00:00;
France3;Candidat;00:00:00;00:10:56;00:01:14;00:00:00;
France3;Soutiens;00:00:00;00:00:18;00:00:37;00:00:00;
France3;"Total temps de parole";00:00:00;00:11:14;00:01:51;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:13:18;00:05:43;00:00:00;
France5;Candidat;00:00:00;00:01:08;00:05:27;00:03:43;
France5;Soutiens;00:00:00;00:00:12;00:19:29;00:18:05;
France5;"Total temps de parole";00:00:00;00:01:20;00:24:56;00:21:48;
France5;"Total temps d'antenne";00:00:00;00:03:13;00:48:54;00:43:53;
M6;Candidat;00:00:00;00:01:35;00:18:32;00:00:00;
M6;Soutiens;00:00:00;00:00:11;00:00:10;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:46;00:18:42;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:04:48;00:24:10;00:00:00;
C8;Candidat;00:00:00;00:13:01;01:30:13;00:00:00;
C8;Soutiens;00:00:00;00:00:50;00:26:34;00:00:00;
C8;"Total temps de parole";00:00:00;00:13:51;01:56:47;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:14:33;02:03:07;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:13:18;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:04:12;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:17:30;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:01:46;00:30:20;00:00:00;
BFMTV;Candidat;00:25:25;00:06:34;00:02:50;00:39:36;
BFMTV;Soutiens;00:24:08;01:55:59;01:42:06;00:00:00;
BFMTV;"Total temps de parole";00:49:33;02:02:33;01:44:56;00:39:36;
BFMTV;"Total temps d'antenne";00:56:26;02:06:05;01:48:53;00:43:13;
Cnews;Candidat;00:07:12;00:58:48;02:20:19;00:22:14;
Cnews;Soutiens;00:39:54;03:32:37;00:18:58;00:02:00;
Cnews;"Total temps de parole";00:47:06;04:31:25;02:39:17;00:24:14;
Cnews;"Total temps d'antenne";01:02:00;05:05:01;02:58:46;00:32:15;
RMCDecouverte;Candidat;00:02:09;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:02:09;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:14:34;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:01:17;01:05:42;01:22:54;00:02:45;
LCI;Soutiens;00:34:16;01:48:24;00:00:29;00:00:00;
LCI;"Total temps de parole";00:35:33;02:54:06;01:23:23;00:02:45;
LCI;"Total temps d'antenne";00:45:18;04:54:41;01:55:25;00:02:45;
FranceinfoTV;Candidat;00:02:33;00:43:33;00:07:18;00:01:36;
FranceinfoTV;Soutiens;01:10:31;01:14:03;01:03:33;00:02:36;
FranceinfoTV;"Total temps de parole";01:13:04;01:57:36;01:10:51;00:04:12;
FranceinfoTV;"Total temps d'antenne";01:22:48;02:20:38;01:37:01;00:09:35;
FranceInter;Candidat;00:20:45;00:05:14;00:04:38;00:00:49;
FranceInter;Soutiens;00:06:41;00:11:06;00:00:50;00:00:16;
FranceInter;"Total temps de parole";00:27:26;00:16:20;00:05:28;00:01:05;
FranceInter;"Total temps d'antenne";00:42:27;00:30:45;00:31:18;00:04:37;
FranceInfo;Candidat;00:10:27;00:13:19;00:11:14;00:18:44;
FranceInfo;Soutiens;00:48:13;00:21:20;00:27:23;00:22:33;
FranceInfo;"Total temps de parole";00:58:40;00:34:39;00:38:37;00:41:17;
FranceInfo;"Total temps d'antenne";01:33:07;01:16:59;01:39:19;02:07:26;
FranceCulture;Candidat;00:01:23;00:00:54;00:02:20;00:00:00;
FranceCulture;Soutiens;00:01:27;00:16:53;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:02:50;00:17:47;00:02:20;00:00:00;
FranceCulture;"Total temps d'antenne";00:10:42;00:21:28;00:29:25;00:00:00;
RTL;Candidat;00:02:10;00:02:20;00:00:50;00:02:23;
RTL;Soutiens;00:13:21;00:59:16;00:08:50;00:00:27;
RTL;"Total temps de parole";00:15:31;01:01:36;00:09:40;00:02:50;
RTL;"Total temps d'antenne";00:33:15;01:06:26;00:18:13;00:04:31;
Europe1;Candidat;00:02:45;00:35:10;00:14:10;00:02:45;
