
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur ROUSSEL FABIEN

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:43;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:43;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:27;00:00:00;
France2;Candidat;00:00:00;00:00:00;00:24:24;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:00:00;00:24:24;00:00:00;
France2;"Total temps d'antenne";00:00:00;00:00:13;00:27:38;00:00:00;
France3;Candidat;00:00:00;00:00:36;00:00:19;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:36;00:00:19;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:07;00:00:25;00:00:00;
France5;Candidat;00:00:00;00:01:22;00:02:27;00:01:03;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:01:22;00:02:27;00:01:03;
France5;"Total temps d'antenne";00:00:00;00:02:02;00:04:00;00:01:56;
M6;Candidat;00:00:00;00:00:14;00:00:23;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:14;00:00:23;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:31;00:01:15;00:00:00;
C8;Candidat;00:00:00;00:00:35;00:07:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:35;00:07:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:35;00:07:00;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:07:39;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:48;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:08:27;00:00:00;
