Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
France2;Candidat;00:00:00;00:00:00;00:00:13;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:00;00:00:00;00:00:13;00:00:00;
France2;"Total temps d'antenne";00:00:00;00:00:02;00:00:25;00:00:00;
France3;Candidat;00:00:00;00:08:27;00:00:08;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:03;00:00:00;
France3;"Total temps de parole";00:00:00;00:08:27;00:00:11;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:09:18;00:00:34;00:00:00;
France5;Candidat;00:00:00;00:00:00;00:00:11;00:00:11;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:00;00:00:11;00:00:11;
France5;"Total temps d'antenne";00:00:00;00:00:00;00:00:11;00:00:11;
M6;Candidat;00:00:00;00:00:23;00:00:26;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:23;00:00:26;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:58;00:01:55;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:01:35;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:01:35;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:03:10;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:06:32;00:00:00;
BFMTV;Candidat;00:00:00;00:00:21;00:06:49;00:13:00;
BFMTV;Soutiens;00:00:00;00:00:35;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:00:00;00:00:56;00:06:49;00:13:00;
BFMTV;"Total temps d'antenne";00:00:06;00:01:10;00:06:49;00:13:00;
Cnews;Candidat;00:00:00;00:00:00;01:29:32;00:05:33;
Cnews;Soutiens;00:00:00;00:01:06;00:01:06;00:00:00;
Cnews;"Total temps de parole";00:00:00;00:01:06;01:30:38;00:05:33;
Cnews;"Total temps d'antenne";00:00:25;00:01:32;01:39:32;00:07:21;
LCI;Candidat;00:00:00;00:00:03;00:00:07;00:00:00;
LCI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
LCI;"Total temps de parole";00:00:00;00:00:03;00:00:07;00:00:00;
LCI;"Total temps d'antenne";00:00:00;00:00:04;00:00:07;00:00:00;
FranceinfoTV;Candidat;00:00:00;00:00:00;00:01:22;00:00:00;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceinfoTV;"Total temps de parole";00:00:00;00:00:00;00:01:22;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:00:00;00:00:00;00:08:03;00:00:00;
FranceInter;Candidat;00:00:02;00:00:00;00:01:22;00:00:00;
FranceInter;Soutiens;00:00:41;00:00:00;00:00:00;00:00:03;
FranceInter;"Total temps de parole";00:00:43;00:00:00;00:01:22;00:00:03;
FranceInter;"Total temps d'antenne";00:03:01;00:01:05;00:04:19;00:00:19;
FranceInfo;Candidat;00:00:19;00:00:47;00:07:40;00:05:37;
FranceInfo;Soutiens;00:00:20;00:00:21;00:00:00;00:00:00;
FranceInfo;"Total temps de parole";00:00:39;00:01:08;00:07:40;00:05:37;
FranceInfo;"Total temps d'antenne";00:04:32;00:04:21;00:10:59;00:07:08;
FranceCulture;Candidat;00:00:00;00:00:06;00:00:00;00:00:00;
FranceCulture;Soutiens;00:00:00;00:00:00;00:01:09;00:00:00;
FranceCulture;"Total temps de parole";00:00:00;00:00:06;00:01:09;00:00:00;
FranceCulture;"Total temps d'antenne";00:00:00;00:01:55;00:05:59;00:00:00;
RTL;Candidat;00:00:04;00:00:00;00:00:00;00:00:00;
RTL;Soutiens;00:00:00;00:00:00;00:00:21;00:00:00;
RTL;"Total temps de parole";00:00:04;00:00:00;00:00:21;00:00:00;
RTL;"Total temps d'antenne";00:00:17;00:00:00;00:00:21;00:00:00;
Europe1;Candidat;00:00:38;00:00:00;00:00:00;00:00:00;
Europe1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Europe1;"Total temps de parole";00:00:38;00:00:00;00:00:00;00:00:00;
Europe1;"Total temps d'antenne";00:01:32;00:00:00;00:00:00;00:00:00;
RMC;Candidat;00:00:42;00:00:00;00:00:00;00:00:00;
RMC;Soutiens;00:00:29;00:00:00;00:00:00;00:00:00;
RMC;"Total temps de parole";00:01:11;00:00:00;00:00:00;00:00:00;
RMC;"Total temps d'antenne";00:01:18;00:00:00;00:00:00;00:00:00;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:00:06;00:00:12;00:00:10;00:00:06;
SudRadio;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;Soutiens;00:12:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:12:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";00:12:00;00:00:00;00:00:00;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:26;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:00:26;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:00;00:01:50;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:01:05;
RFI;Candidat;00:00:00;00:00:00;00:01:01;00:00:00;
RFI;Soutiens;00:00:00;00:00:00;00:00:17;00:00:00;
RFI;"Total temps de parole";00:00:00;00:00:00;00:01:18;00:00:00;
RFI;"Total temps d'antenne";00:00:00;00:00:00;00:02:00;00:00:00;
France24;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:00:15;
"RMC Story";Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:29;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:00:29;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:00:36;00:00:00;00:00:00;00:00:00;
