
Election présidentielle 2022
Période du 28 mars au 8 avril 2022
Temps de parole sur ZEMMOUR ERIC

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:31;00:09:49;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:31;00:09:49;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:58;00:10:56;00:00:00;
France2;Candidat;00:10:03;00:00:22;00:31:20;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:45;00:00:00;
France2;"Total temps de parole";00:10:03;00:00:22;00:32:05;00:00:00;
France2;"Total temps d'antenne";00:12:51;00:00:53;00:36:18;00:00:00;
France3;Candidat;00:00:00;00:00:34;00:00:21;00:00:00;
France3;Soutiens;00:00:00;00:00:11;00:00:32;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:02:31;00:01:23;00:00:00;
France5;Candidat;00:00:00;00:01:29;00:04:09;00:02:16;
France5;Soutiens;00:00:00;00:00:30;00:00:48;00:00:18;
France5;"Total temps de parole";00:00:00;00:01:59;00:04:57;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:02:44;00:06:54;00:03:29;
M6;Candidat;00:00:00;00:00:59;00:01:01;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:59;00:01:01;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:31;00:04:00;00:00:00;
C8;Candidat;00:00:00;00:00:46;00:02:48;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:06:18;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:46;00:09:06;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:06;00:11:09;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:14:52;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:03:31;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:18:23;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:42:07;00:00:00;
BFMTV;Candidat;00:26:17;00:08:40;00:04:36;00:03:00;
BFMTV;Soutiens;00:00:00;00:01:09;00:05:15;00:00:16;
BFMTV;"Total temps de parole";00:26:17;00:09:49;00:09:51;00:03:16;
BFMTV;"Total temps d'antenne";00:29:15;00:15:39;00:12:11;00:03:47;
Cnews;Candidat;00:17:38;00:27:18;00:07:17;00:06:55;
Cnews;Soutiens;00:00:00;00:00:00;00:00:43;00:00:00;
Cnews;"Total temps de parole";00:17:38;00:27:18;00:08:00;00:06:55;
Cnews;"Total temps d'antenne";00:26:06;01:09:34;00:46:29;00:23:45;
LCI;Candidat;00:01:07;00:52:02;00:30:25;00:00:00;
LCI;Soutiens;00:23:56;00:37:57;00:00:00;00:00:00;
LCI;"Total temps de parole";00:25:03;01:29:59;00:30:25;00:00:00;
LCI;"Total temps d'antenne";00:35:08;02:08:09;01:17:31;00:00:00;
FranceinfoTV;Candidat;00:23:42;01:09:18;00:11:00;00:02:52;
FranceinfoTV;Soutiens;00:07:23;00:08:35;00:14:45;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:05;01:17:53;00:25:45;00:02:52;
FranceinfoTV;"Total temps d'antenne";00:37:20;02:14:37;00:53:39;00:08:43;
FranceInter;Candidat;00:17:53;00:03:29;00:03:02;00:00:00;
FranceInter;Soutiens;00:04:14;00:01:21;00:00:07;00:01:21;
FranceInter;"Total temps de parole";00:22:07;00:04:50;00:03:09;00:01:21;
FranceInter;"Total temps d'antenne";00:28:30;00:10:47;00:11:28;00:03:26;
FranceInfo;Candidat;00:21:01;00:23:18;00:10:05;00:04:24;
FranceInfo;Soutiens;00:00:33;00:02:02;00:08:22;00:01:25;
FranceInfo;"Total temps de parole";00:21:34;00:25:20;00:18:27;00:05:49;
FranceInfo;"Total temps d'antenne";00:34:06;00:52:03;00:57:11;00:27:17;
FranceCulture;Candidat;00:00:54;00:00:00;00:01:15;00:00:00;
FranceCulture;Soutiens;00:00:00;00:04:38;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:54;00:04:38;00:01:15;00:00:00;
FranceCulture;"Total temps d'antenne";00:05:48;00:05:37;00:03:06;00:00:00;
RTL;Candidat;00:17:59;00:04:44;00:02:55;00:02:55;
RTL;Soutiens;00:01:12;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:19:11;00:04:44;00:02:55;00:02:55;
RTL;"Total temps d'antenne";00:39:43;00:23:52;00:15:28;00:04:42;
Europe1;Candidat;00:36:20;00:02:04;00:01:33;00:00:22;
Europe1;Soutiens;00:00:00;00:16:40;00:05:43;00:02:01;
Europe1;"Total temps de parole";00:36:20;00:18:44;00:07:16;00:02:23;
Europe1;"Total temps d'antenne";00:41:31;00:23:24;00:07:16;00:04:50;
RMC;Candidat;00:25:03;00:04:09;00:00:00;00:05:50;
RMC;Soutiens;00:12:50;00:00:46;00:00:00;00:01:25;
RMC;"Total temps de parole";00:37:53;00:04:55;00:00:00;00:07:15;
RMC;"Total temps d'antenne";00:41:41;00:12:36;00:00:00;00:13:46;
RadioClassique;Candidat;00:01:21;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:14;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:35;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:22:52;00:00:45;00:00:00;00:20:31;
SudRadio;Candidat;00:00:30;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:00;00:00:27;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:30;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:18:01;00:03:30;00:02:20;00:00:00;
TV5Monde;Candidat;00:10:03;00:00:00;00:31:20;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:45;00:00:00;
TV5Monde;"Total temps de parole";00:10:03;00:00:00;00:32:05;00:00:00;
TV5Monde;"Total temps d'antenne";00:12:00;00:02:22;00:37:41;00:00:00;
RFI;Candidat;00:03:15;00:08:18;00:03:00;00:03:16;
RFI;Soutiens;00:09:28;00:00:24;00:00:00;00:00:09;
RFI;"Total temps de parole";00:12:43;00:08:42;00:03:00;00:03:25;
RFI;"Total temps d'antenne";00:16:15;00:12:35;00:05:35;00:09:28;
France24;Candidat;00:03:17;00:05:09;00:02:20;00:03:20;
France24;Soutiens;00:00:00;00:00:28;00:02:20;00:00:00;
France24;"Total temps de parole";00:03:17;00:05:37;00:04:40;00:03:20;
France24;"Total temps d'antenne";00:08:07;00:22:36;00:20:29;00:11:13;
"RMC Story";Candidat;00:00:23;00:02:56;00:00:00;00:00:00;
"RMC Story";Soutiens;00:13:37;00:00:46;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:14:00;00:03:42;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:20:08;00:11:23;00:00:00;00:00:00;
