
Election présidentielle 2022
Période du 8 au 13 mars 2022
Temps de parole sur ZEMMOUR ERIC

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:10:29;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:10;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:10:39;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:12:18;00:00:00;
France2;Candidat;00:00:00;00:00:14;00:00:00;00:00:00;
France2;Soutiens;00:10:17;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:10:17;00:00:14;00:00:00;00:00:00;
France2;"Total temps d'antenne";00:10:17;00:00:21;00:00:16;00:00:00;
France3;Candidat;00:00:00;00:08:00;00:00:10;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:01;00:00:00;
France3;"Total temps de parole";00:00:00;00:08:00;00:00:11;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:08:31;00:00:26;00:00:00;
France5;Candidat;00:00:00;00:00:37;00:02:10;00:01:24;
France5;Soutiens;00:00:00;00:00:00;00:12:14;00:12:14;
France5;"Total temps de parole";00:00:00;00:00:37;00:14:24;00:13:38;
France5;"Total temps d'antenne";00:00:00;00:00:37;00:15:04;00:13:48;
M6;Candidat;00:00:00;00:00:30;00:00:13;00:00:00;
M6;Soutiens;00:00:00;00:00:36;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:06;00:00:13;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:22;00:01:03;00:00:00;
C8;Candidat;00:00:00;00:00:00;00:00:11;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:06:45;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:00;00:06:56;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:00;00:07:12;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:02:20;00:00:00;
