"COUNTRY","Pays","SERIES","Séries","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2000","2000","AUD","Dollar Australien","0","Unités",,,46286.1110811441,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2001","2001","AUD","Dollar Australien","0","Unités",,,48366.6284787643,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2002","2002","AUD","Dollar Australien","0","Unités",,,50109.1375618934,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2003","2003","AUD","Dollar Australien","0","Unités",,,51867.99993846,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2004","2004","AUD","Dollar Australien","0","Unités",,,54283.6697773947,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2005","2005","AUD","Dollar Australien","0","Unités",,,56174.676295722,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2006","2006","AUD","Dollar Australien","0","Unités",,,58577.0291750701,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2007","2007","AUD","Dollar Australien","0","Unités",,,62067.9555733318,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2008","2008","AUD","Dollar Australien","0","Unités",,,64554.5351929294,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2009","2009","AUD","Dollar Australien","0","Unités",,,65621.7647133719,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2010","2010","AUD","Dollar Australien","0","Unités",,,69386.4967308382,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2011","2011","AUD","Dollar Australien","0","Unités",,,73301.5067593305,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2012","2012","AUD","Dollar Australien","0","Unités",,,75509.6805028669,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2013","2013","AUD","Dollar Australien","0","Unités",,,76975.7263751324,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2014","2014","AUD","Dollar Australien","0","Unités",,,79086.4494705556,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2015","2015","AUD","Dollar Australien","0","Unités",,,79600.5719608747,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2016","2016","AUD","Dollar Australien","0","Unités",,,80476.3804282238,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2017","2017","AUD","Dollar Australien","0","Unités",,,81077.1960553708,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2018","2018","AUD","Dollar Australien","0","Unités",,,82550.1088640617,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2019","2019","AUD","Dollar Australien","0","Unités",,,84800.6938235181,,
"AUS","Australie","CPNCU","Prix courants en monnaie nationale","2020","2020","AUD","Dollar Australien","0","Unités",,,87470.721518784,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2000","2000","EUR","Euro","0","Unités",,,27935.2603833348,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2001","2001","EUR","Euro","0","Unités",,,28511.4168971426,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2002","2002","EUR","Euro","0","Unités",,,29248.0668248079,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2003","2003","EUR","Euro","0","Unités",,,29775.2687584776,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2004","2004","EUR","Euro","0","Unités",,,30845.6207752742,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2005","2005","EUR","Euro","0","Unités",,,31773.0537270923,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2006","2006","EUR","Euro","0","Unités",,,32934.8395618464,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2007","2007","EUR","Euro","0","Unités",,,33947.3090677238,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2008","2008","EUR","Euro","0","Unités",,,35247.5081509581,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2009","2009","EUR","Euro","0","Unités",,,35979.1831521114,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2010","2010","EUR","Euro","0","Unités",,,36437.4269224414,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2011","2011","EUR","Euro","0","Unités",,,37173.2171304394,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2012","2012","EUR","Euro","0","Unités",,,38277.9595606682,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2013","2013","EUR","Euro","0","Unités",,,39125.5692893476,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2014","2014","EUR","Euro","0","Unités",,,40054.5827829655,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2015","2015","EUR","Euro","0","Unités",,,40926.983215497,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2016","2016","EUR","Euro","0","Unités",,,41906.2487807051,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2017","2017","EUR","Euro","0","Unités",,,42627.7654483313,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2018","2018","EUR","Euro","0","Unités",,,43654.9107740574,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2019","2019","EUR","Euro","0","Unités",,,44766.6853367327,,
"AUT","Autriche","CPNCU","Prix courants en monnaie nationale","2020","2020","EUR","Euro","0","Unités",,,44788.7126804314,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2000","2000","EUR","Euro","0","Unités",,,31022.8175686167,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2001","2001","EUR","Euro","0","Unités",,,31841.4000365505,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2002","2002","EUR","Euro","0","Unités",,,33001.7574944572,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2003","2003","EUR","Euro","0","Unités",,,33695.894592483,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2004","2004","EUR","Euro","0","Unités",,,34358.2491615027,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2005","2005","EUR","Euro","0","Unités",,,35013.2048194334,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2006","2006","EUR","Euro","0","Unités",,,36222.2046184265,,
"BEL","Belgique","CPNCU","Prix courants en monnaie nationale","2007","2007","EUR","Euro","0","Unités",,,37122.0262288267,,
