"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2000",28304.656736,
"AUS","GDP","TOT","USD_CAP","A","2001",29561.398865,
"AUS","GDP","TOT","USD_CAP","A","2002",30800.452131,
"AUS","GDP","TOT","USD_CAP","A","2003",32352.941829,
"AUS","GDP","TOT","USD_CAP","A","2004",33962.015143,
"AUS","GDP","TOT","USD_CAP","A","2005",35642.418706,
"AUS","GDP","TOT","USD_CAP","A","2006",37893.838998,
"AUS","GDP","TOT","USD_CAP","A","2007",39658.373846,
"AUS","GDP","TOT","USD_CAP","A","2008",40105.110301,
"AUS","GDP","TOT","USD_CAP","A","2009",41636.496066,
"AUS","GDP","TOT","USD_CAP","A","2010",42809.92706,
"AUS","GDP","TOT","USD_CAP","A","2011",44429.559507,
"AUS","GDP","TOT","USD_CAP","A","2012",43883.378891,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.901259,
"AUS","GDP","TOT","USD_CAP","A","2014",47603.880878,
"AUS","GDP","TOT","USD_CAP","A","2015",47232.62912,
"AUS","GDP","TOT","USD_CAP","A","2016",50150.652199,
"AUS","GDP","TOT","USD_CAP","A","2017",50699.175108,
"AUS","GDP","TOT","USD_CAP","A","2018",52980.734327,
"AUS","GDP","TOT","USD_CAP","A","2019",52669.473903,
"AUS","GDP","TOT","USD_CAP","A","2020",55626.802432,
"AUT","GDP","TOT","USD_CAP","A","2000",29376.007114,
"AUT","GDP","TOT","USD_CAP","A","2001",29702.787329,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32156.836376,
"AUT","GDP","TOT","USD_CAP","A","2004",33784.254235,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37665.32274,
"AUT","GDP","TOT","USD_CAP","A","2007",39432.047401,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40927.134687,
"AUT","GDP","TOT","USD_CAP","A","2010",42021.154209,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49942.056293,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",56978.264771,
"AUT","GDP","TOT","USD_CAP","A","2019",58091.272285,
"AUT","GDP","TOT","USD_CAP","A","2020",55686.067736,
"AUT","GDP","TOT","USD_CAP","A","2021",60353.215305,
"BEL","GDP","TOT","USD_CAP","A","2000",27785.247413,
"BEL","GDP","TOT","USD_CAP","A","2001",28786.875003,
"BEL","GDP","TOT","USD_CAP","A","2002",30281.667989,
"BEL","GDP","TOT","USD_CAP","A","2003",30933.261931,
"BEL","GDP","TOT","USD_CAP","A","2004",32063.504441,
"BEL","GDP","TOT","USD_CAP","A","2005",33176.680884,
"BEL","GDP","TOT","USD_CAP","A","2006",35259.055109,
"BEL","GDP","TOT","USD_CAP","A","2007",36790.154396,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37751.245094,
"BEL","GDP","TOT","USD_CAP","A","2010",39838.570162,
"BEL","GDP","TOT","USD_CAP","A","2011",40943.343479,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.477674,
"BEL","GDP","TOT","USD_CAP","A","2013",43672.712292,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.933328,
"BEL","GDP","TOT","USD_CAP","A","2015",46201.685891,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52528.397953,
"BEL","GDP","TOT","USD_CAP","A","2019",54269.389485,
"BEL","GDP","TOT","USD_CAP","A","2020",53090.095206,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",59046.891165,"P"
"CAN","GDP","TOT","USD_CAP","A","2000",29362.289573,
"CAN","GDP","TOT","USD_CAP","A","2001",30231.005032,
"CAN","GDP","TOT","USD_CAP","A","2002",30963.222007,
"CAN","GDP","TOT","USD_CAP","A","2003",32350.070882,
"CAN","GDP","TOT","USD_CAP","A","2004",33925.89256,
"CAN","GDP","TOT","USD_CAP","A","2005",36327.662059,
"CAN","GDP","TOT","USD_CAP","A","2006",38120.176792,
"CAN","GDP","TOT","USD_CAP","A","2007",39575.324973,
"CAN","GDP","TOT","USD_CAP","A","2008",40376.330167,
"CAN","GDP","TOT","USD_CAP","A","2009",38865.406022,
"CAN","GDP","TOT","USD_CAP","A","2010",40099.497886,
"CAN","GDP","TOT","USD_CAP","A","2011",41666.718851,
"CAN","GDP","TOT","USD_CAP","A","2012",42290.879082,
"CAN","GDP","TOT","USD_CAP","A","2013",44298.514462,
"CAN","GDP","TOT","USD_CAP","A","2014",45753.782936,
"CAN","GDP","TOT","USD_CAP","A","2015",44670.054374,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49892.028612,
"CAN","GDP","TOT","USD_CAP","A","2019",49286.811601,
"CAN","GDP","TOT","USD_CAP","A","2020",46572.141022,
"CAN","GDP","TOT","USD_CAP","A","2021",50722.491679,
"CZE","GDP","TOT","USD_CAP","A","2000",16207.917488,
"CZE","GDP","TOT","USD_CAP","A","2001",17607.978234,
"CZE","GDP","TOT","USD_CAP","A","2002",18245.669005,
"CZE","GDP","TOT","USD_CAP","A","2003",19523.414149,
"CZE","GDP","TOT","USD_CAP","A","2004",20911.935483,
"CZE","GDP","TOT","USD_CAP","A","2005",22045.99888,
"CZE","GDP","TOT","USD_CAP","A","2006",23859.060519,
"CZE","GDP","TOT","USD_CAP","A","2007",26221.622963,
"CZE","GDP","TOT","USD_CAP","A","2008",27853.549898,
"CZE","GDP","TOT","USD_CAP","A","2009",27635.671734,
"CZE","GDP","TOT","USD_CAP","A","2010",27768.403198,
"CZE","GDP","TOT","USD_CAP","A","2011",28999.754757,
"CZE","GDP","TOT","USD_CAP","A","2012",29258.904853,
"CZE","GDP","TOT","USD_CAP","A","2013",30828.526409,
"CZE","GDP","TOT","USD_CAP","A","2014",32504.217576,
"CZE","GDP","TOT","USD_CAP","A","2015",33909.309243,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41149.033601,
"CZE","GDP","TOT","USD_CAP","A","2019",42857.229404,
"CZE","GDP","TOT","USD_CAP","A","2020",41599.093008,
"CZE","GDP","TOT","USD_CAP","A","2021",44442.252426,
"DNK","GDP","TOT","USD_CAP","A","2000",28666.801364,
"DNK","GDP","TOT","USD_CAP","A","2001",29447.10764,
"DNK","GDP","TOT","USD_CAP","A","2002",30639.953691,
"DNK","GDP","TOT","USD_CAP","A","2003",30823.66973,
"DNK","GDP","TOT","USD_CAP","A","2004",32947.978761,
"DNK","GDP","TOT","USD_CAP","A","2005",34152.881663,
"DNK","GDP","TOT","USD_CAP","A","2006",37336.259676,
"DNK","GDP","TOT","USD_CAP","A","2007",39016.473111,
"DNK","GDP","TOT","USD_CAP","A","2008",41282.995471,
"DNK","GDP","TOT","USD_CAP","A","2009",40332.101078,
"DNK","GDP","TOT","USD_CAP","A","2010",43008.349298,
"DNK","GDP","TOT","USD_CAP","A","2011",44407.94207,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.549212,
"DNK","GDP","TOT","USD_CAP","A","2013",46742.939663,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477079,
"DNK","GDP","TOT","USD_CAP","A","2015",49058.142344,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",58674.960996,
"DNK","GDP","TOT","USD_CAP","A","2020",60244.418358,
"DNK","GDP","TOT","USD_CAP","A","2021",65704.862325,
"FIN","GDP","TOT","USD_CAP","A","2000",26784.759711,
"FIN","GDP","TOT","USD_CAP","A","2001",27795.729376,
"FIN","GDP","TOT","USD_CAP","A","2002",28605.122922,
"FIN","GDP","TOT","USD_CAP","A","2003",29051.575674,
"FIN","GDP","TOT","USD_CAP","A","2004",31201.582428,
"FIN","GDP","TOT","USD_CAP","A","2005",32051.762889,
"FIN","GDP","TOT","USD_CAP","A","2006",34454.903347,
"FIN","GDP","TOT","USD_CAP","A","2007",37838.480369,
"FIN","GDP","TOT","USD_CAP","A","2008",40083.701943,
"FIN","GDP","TOT","USD_CAP","A","2009",37972.066456,
"FIN","GDP","TOT","USD_CAP","A","2010",38956.123401,
"FIN","GDP","TOT","USD_CAP","A","2011",40916.647325,
"FIN","GDP","TOT","USD_CAP","A","2012",40872.854802,
"FIN","GDP","TOT","USD_CAP","A","2013",41492.918416,
"FIN","GDP","TOT","USD_CAP","A","2014",41749.864733,
"FIN","GDP","TOT","USD_CAP","A","2015",42490.211049,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49574.529811,
"FIN","GDP","TOT","USD_CAP","A","2019",50321.588834,
"FIN","GDP","TOT","USD_CAP","A","2020",50926.479352,
"FIN","GDP","TOT","USD_CAP","A","2021",54671.148298,
"FRA","GDP","TOT","USD_CAP","A","2000",26094.702334,
"FRA","GDP","TOT","USD_CAP","A","2001",27494.263406,
"FRA","GDP","TOT","USD_CAP","A","2002",28528.156107,
"FRA","GDP","TOT","USD_CAP","A","2003",28177.154488,
"FRA","GDP","TOT","USD_CAP","A","2004",29065.049601,
"FRA","GDP","TOT","USD_CAP","A","2005",30504.058784,
"FRA","GDP","TOT","USD_CAP","A","2006",32474.873006,
"FRA","GDP","TOT","USD_CAP","A","2007",34128.377616,
"FRA","GDP","TOT","USD_CAP","A","2008",35102.870428,
"FRA","GDP","TOT","USD_CAP","A","2009",34686.122294,
"FRA","GDP","TOT","USD_CAP","A","2010",35912.031842,
"FRA","GDP","TOT","USD_CAP","A","2011",37447.949543,
"FRA","GDP","TOT","USD_CAP","A","2012",37684.198067,
"FRA","GDP","TOT","USD_CAP","A","2013",39528.473644,
"FRA","GDP","TOT","USD_CAP","A","2014",40144.059485,
"FRA","GDP","TOT","USD_CAP","A","2015",40829.893311,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46375.437514,
"FRA","GDP","TOT","USD_CAP","A","2019",48800.185856,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",46691.098321,"P"
"FRA","GDP","TOT","USD_CAP","A","2021",51828.567653,
"DEU","GDP","TOT","USD_CAP","A","2000",27450.968334,
"DEU","GDP","TOT","USD_CAP","A","2001",28658.393694,
"DEU","GDP","TOT","USD_CAP","A","2002",29504.28924,
"DEU","GDP","TOT","USD_CAP","A","2003",30269.46437,
"DEU","GDP","TOT","USD_CAP","A","2004",31741.694797,
"DEU","GDP","TOT","USD_CAP","A","2005",32236.740986,
"DEU","GDP","TOT","USD_CAP","A","2006",34666.78278,
"DEU","GDP","TOT","USD_CAP","A","2007",36858.447691,
"DEU","GDP","TOT","USD_CAP","A","2008",38432.448211,
"DEU","GDP","TOT","USD_CAP","A","2009",37465.070354,
"DEU","GDP","TOT","USD_CAP","A","2010",39677.030829,
"DEU","GDP","TOT","USD_CAP","A","2011",42541.513126,
"DEU","GDP","TOT","USD_CAP","A","2012",43359.541048,
"DEU","GDP","TOT","USD_CAP","A","2013",44993.667838,
"DEU","GDP","TOT","USD_CAP","A","2014",47011.280402,
"DEU","GDP","TOT","USD_CAP","A","2015",47609.557159,
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55235.247726,"P"
"DEU","GDP","TOT","USD_CAP","A","2019",55652.877823,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",54844.447231,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58662.780107,"P"
"GRC","GDP","TOT","USD_CAP","A","2000",19516.213938,
"GRC","GDP","TOT","USD_CAP","A","2001",20954.75757,
"GRC","GDP","TOT","USD_CAP","A","2002",22615.957435,
"GRC","GDP","TOT","USD_CAP","A","2003",23896.54916,
"GRC","GDP","TOT","USD_CAP","A","2004",25460.416248,
"GRC","GDP","TOT","USD_CAP","A","2005",25577.445437,
"GRC","GDP","TOT","USD_CAP","A","2006",28549.064285,
"GRC","GDP","TOT","USD_CAP","A","2007",29320.198062,
"GRC","GDP","TOT","USD_CAP","A","2008",30855.935774,
"GRC","GDP","TOT","USD_CAP","A","2009",30359.133791,
"GRC","GDP","TOT","USD_CAP","A","2010",27913.001545,"B"
"GRC","GDP","TOT","USD_CAP","A","2011",25671.291223,
"GRC","GDP","TOT","USD_CAP","A","2012",24911.062614,
"GRC","GDP","TOT","USD_CAP","A","2013",25986.57671,
"GRC","GDP","TOT","USD_CAP","A","2014",26625.188631,
"GRC","GDP","TOT","USD_CAP","A","2015",26760.152201,
"GRC","GDP","TOT","USD_CAP","A","2016",27511.777671,
"GRC","GDP","TOT","USD_CAP","A","2017",28604.794575,
"GRC","GDP","TOT","USD_CAP","A","2018",29617.499309,
"GRC","GDP","TOT","USD_CAP","A","2019",30356.302549,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",27923.999993,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31405.531696,"P"
"HUN","GDP","TOT","USD_CAP","A","2000",11853.178571,
"HUN","GDP","TOT","USD_CAP","A","2001",13207.922179,
"HUN","GDP","TOT","USD_CAP","A","2002",14526.388251,
"HUN","GDP","TOT","USD_CAP","A","2003",15481.320097,
"HUN","GDP","TOT","USD_CAP","A","2004",16272.005789,
"HUN","GDP","TOT","USD_CAP","A","2005",17112.202187,
"HUN","GDP","TOT","USD_CAP","A","2006",18389.410347,
"HUN","GDP","TOT","USD_CAP","A","2007",19099.851672,
"HUN","GDP","TOT","USD_CAP","A","2008",20727.889969,
"HUN","GDP","TOT","USD_CAP","A","2009",20729.783943,
"HUN","GDP","TOT","USD_CAP","A","2010",21751.833925,
"HUN","GDP","TOT","USD_CAP","A","2011",23038.80802,
"HUN","GDP","TOT","USD_CAP","A","2012",23275.231857,
"HUN","GDP","TOT","USD_CAP","A","2013",24556.715269,
"HUN","GDP","TOT","USD_CAP","A","2014",25699.750577,
"HUN","GDP","TOT","USD_CAP","A","2015",26806.595306,
"HUN","GDP","TOT","USD_CAP","A","2016",27947.637585,
"HUN","GDP","TOT","USD_CAP","A","2017",29501.120486,
"HUN","GDP","TOT","USD_CAP","A","2018",31913.074632,
"HUN","GDP","TOT","USD_CAP","A","2019",33514.94177,
"HUN","GDP","TOT","USD_CAP","A","2020",33075.924351,"P"
"HUN","GDP","TOT","USD_CAP","A","2021",36931.81831,"P"
"ISL","GDP","TOT","USD_CAP","A","2000",29779.622737,
"ISL","GDP","TOT","USD_CAP","A","2001",31861.268682,
"ISL","GDP","TOT","USD_CAP","A","2002",32598.376021,
"ISL","GDP","TOT","USD_CAP","A","2003",32724.220972,
"ISL","GDP","TOT","USD_CAP","A","2004",35552.174225,
"ISL","GDP","TOT","USD_CAP","A","2005",37427.934965,
"ISL","GDP","TOT","USD_CAP","A","2006",39632.74879,
"ISL","GDP","TOT","USD_CAP","A","2007",41485.528568,
"ISL","GDP","TOT","USD_CAP","A","2008",43456.216759,
"ISL","GDP","TOT","USD_CAP","A","2009",41772.249615,
"ISL","GDP","TOT","USD_CAP","A","2010",39780.425359,
"ISL","GDP","TOT","USD_CAP","A","2011",40938.664549,
"ISL","GDP","TOT","USD_CAP","A","2012",42006.543346,
"ISL","GDP","TOT","USD_CAP","A","2013",44404.731588,
"ISL","GDP","TOT","USD_CAP","A","2014",45995.001692,
"ISL","GDP","TOT","USD_CAP","A","2015",49203.294991,
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",57214.706832,
"ISL","GDP","TOT","USD_CAP","A","2019",58284.116043,
"ISL","GDP","TOT","USD_CAP","A","2020",53611.271722,
"IRL","GDP","TOT","USD_CAP","A","2000",30212.996586,
