hour;avail. bike;capacity
11_00_00;17196.0;44953.0
11_00_01;17226.0;44953.0
11_00_02;17240.0;44953.0
11_00_03;17226.0;44953.0
11_00_04;17252.0;44953.0
11_00_05;17268.0;44953.0
11_00_06;17280.0;44953.0
11_00_07;17273.0;44953.0
11_00_08;17275.0;44953.0
11_00_09;17275.0;44953.0
11_00_10;17268.0;44953.0
11_00_11;17270.0;44953.0
11_00_12;17285.0;44953.0
11_00_13;17285.0;44953.0
11_00_14;17285.0;44953.0
11_00_15;17308.0;44953.0
11_00_16;17328.0;44953.0
11_00_17;17328.0;44953.0
11_00_18;17326.0;44953.0
11_00_19;17326.0;44953.0
11_00_20;17335.0;44953.0
11_00_21;17340.0;44953.0
11_00_22;17328.0;44953.0
11_00_23;17347.0;44953.0
11_00_24;17357.0;44953.0
11_00_25;17366.0;44953.0
11_00_26;17383.0;44953.0
11_00_27;17381.0;44953.0
11_00_28;17378.0;44953.0
11_00_29;17394.0;44953.0
11_00_30;17396.0;44953.0
11_00_31;17371.0;44953.0
11_00_32;17395.0;44953.0
11_00_33;17400.0;44953.0
11_00_34;17422.0;44953.0
11_00_35;17437.0;44953.0
11_00_36;17442.0;44953.0
11_00_37;17456.0;44953.0
11_00_38;17450.0;44953.0
11_00_39;17447.0;44953.0
11_00_40;17473.0;44953.0
11_00_41;17483.0;44953.0
11_00_42;17495.0;44953.0
11_00_43;17498.0;44953.0
11_00_44;17515.0;44953.0
11_00_47;17552.0;44953.0
11_00_48;17545.0;44953.0
11_00_49;17552.0;44953.0
11_00_50;17567.0;44953.0
11_00_51;17583.0;44953.0
11_00_52;17584.0;44953.0
11_00_53;17575.0;44953.0
11_00_54;17568.0;44953.0
11_00_55;17563.0;44953.0
11_00_56;17569.0;44953.0
11_00_57;17575.0;44953.0
11_00_58;17568.0;44953.0
11_00_59;17574.0;44953.0
11_01_00;17561.0;44953.0
11_01_01;17564.0;44953.0
11_01_02;17575.0;44953.0
11_01_03;17572.0;44953.0
11_01_04;17576.0;44953.0
11_01_05;17576.0;44953.0
11_01_06;17589.0;44953.0
11_01_07;17589.0;44953.0
11_01_08;17598.0;44953.0
11_01_09;17599.0;44953.0
11_01_10;17596.0;44953.0
11_01_11;17586.0;44953.0
11_01_12;17599.0;44953.0
11_01_13;17603.0;44953.0
11_01_14;17597.0;44953.0
11_01_15;17597.0;44953.0
11_01_16;17603.0;44953.0
11_01_17;17595.0;44953.0
11_01_18;17606.0;44953.0
11_01_19;17600.0;44953.0
11_01_20;17593.0;44953.0
11_01_21;17616.0;44953.0
11_01_22;17618.0;44953.0
11_01_23;17627.0;44953.0
11_01_24;17624.0;44953.0
11_01_25;17634.0;44953.0
11_01_26;17632.0;44953.0
11_01_27;17653.0;44953.0
11_01_28;17665.0;44953.0
11_01_29;17677.0;44953.0
11_01_30;17677.0;44953.0
11_01_31;17683.0;44953.0
11_01_32;17692.0;44953.0
11_01_33;17697.0;44953.0
11_01_34;17694.0;44953.0
11_01_35;17712.0;44953.0
11_01_36;17716.0;44953.0
11_01_37;17712.0;44953.0
11_01_38;17710.0;44953.0
11_01_39;17712.0;44953.0
11_01_40;17720.0;44953.0
11_01_41;17711.0;44953.0
11_01_42;17711.0;44953.0
11_01_43;17722.0;44953.0
11_01_44;17725.0;44953.0
11_01_45;17727.0;44953.0
11_01_46;17726.0;44953.0
11_01_47;17727.0;44953.0
11_01_48;17731.0;44953.0
11_01_49;17740.0;44953.0
11_01_50;17735.0;44953.0
11_01_51;17736.0;44953.0
11_01_52;17746.0;44953.0
11_01_53;17757.0;44953.0
11_01_54;17759.0;44953.0
11_01_55;17766.0;44953.0
11_01_56;17768.0;44953.0
11_01_57;17768.0;44953.0
11_01_58;17776.0;44953.0
11_01_59;17778.0;44953.0
11_02_00;17789.0;44953.0
11_02_01;17795.0;44953.0
11_02_02;17781.0;44953.0
11_02_03;17794.0;44953.0
11_02_04;17794.0;44953.0
11_02_05;17787.0;44953.0
11_02_06;17785.0;44953.0
11_02_07;17785.0;44953.0
11_02_08;17800.0;44953.0
11_02_09;17800.0;44953.0
11_02_10;17796.0;44953.0
11_02_11;17823.0;44953.0
11_02_12;17823.0;44953.0
11_02_13;17822.0;44953.0
11_02_14;17828.0;44953.0
11_02_15;17825.0;44953.0
11_02_16;17831.0;44953.0
11_02_17;17836.0;44953.0
11_02_18;17840.0;44953.0
11_02_19;17847.0;44953.0
11_02_20;17855.0;44953.0
11_02_21;17858.0;44953.0
11_02_22;17848.0;44953.0
11_02_23;17838.0;44953.0
11_02_24;17846.0;44953.0
11_02_25;17853.0;44953.0
11_02_26;17863.0;44953.0
11_02_27;17871.0;44953.0
11_02_28;17880.0;44953.0
11_02_29;17873.0;44953.0
11_02_30;17863.0;44953.0
11_02_31;17861.0;44953.0
11_02_32;17861.0;44953.0
11_02_33;17874.0;44953.0
11_02_34;17868.0;44953.0
11_02_35;17873.0;44953.0
11_02_36;17880.0;44953.0
11_02_37;17902.0;44953.0
11_02_38;17900.0;44953.0
11_02_39;17898.0;44953.0
11_02_40;17906.0;44953.0
11_02_41;17914.0;44953.0
11_02_42;17904.0;44953.0
11_02_43;17905.0;44953.0
11_02_44;17907.0;44953.0
11_02_45;17909.0;44953.0
11_02_46;17914.0;44953.0
11_02_47;17917.0;44953.0
11_02_48;17918.0;44953.0
11_02_49;17927.0;44953.0
11_02_50;17932.0;44953.0
11_02_51;17943.0;44953.0
11_02_52;17953.0;44953.0
11_02_53;17955.0;44953.0
11_02_54;17967.0;44953.0
11_02_55;17971.0;44953.0
11_02_56;17983.0;44953.0
11_02_57;17989.0;44953.0
11_02_58;17988.0;44953.0
11_02_59;17987.0;44953.0
11_03_00;17990.0;44953.0
11_03_01;17990.0;44953.0
11_03_02;18022.0;44953.0
11_03_03;18024.0;44953.0
11_03_04;18036.0;44953.0
11_03_05;18037.0;44953.0
11_03_06;18036.0;44953.0
11_03_07;18045.0;44953.0
11_03_08;18046.0;44953.0
11_03_09;18053.0;44953.0
11_03_10;18052.0;44953.0
11_03_11;18059.0;44953.0
11_03_12;18062.0;44953.0
11_03_13;18061.0;44953.0
11_03_14;18056.0;44953.0
11_03_15;18057.0;44953.0
11_03_16;18062.0;44953.0
11_03_17;18060.0;44953.0
11_03_18;18067.0;44953.0
11_03_19;18067.0;44953.0
11_03_20;18077.0;44953.0
11_03_21;18074.0;44953.0
11_03_22;18069.0;44953.0
11_03_23;18070.0;44953.0
11_03_24;18072.0;44953.0
11_03_25;18064.0;44953.0
11_03_26;18061.0;44953.0
11_03_27;18064.0;44953.0
11_03_28;18055.0;44953.0
11_03_29;18053.0;44953.0
11_03_30;18063.0;44953.0
11_03_31;18064.0;44953.0
11_03_32;18064.0;44953.0
11_03_33;18061.0;44953.0
11_03_34;18057.0;44953.0
11_03_35;18056.0;44953.0
11_03_36;18052.0;44953.0
11_03_37;18054.0;44953.0
11_03_38;18053.0;44953.0
11_03_39;18060.0;44953.0
11_03_40;18069.0;44953.0
11_03_41;18075.0;44953.0
11_03_42;18082.0;44953.0
11_03_43;18090.0;44953.0
11_03_44;18088.0;44953.0
11_03_45;18096.0;44953.0
11_03_46;18093.0;44953.0
11_03_47;18094.0;44953.0
11_03_48;18099.0;44953.0
11_03_49;18096.0;44953.0
11_03_50;18095.0;44953.0
11_03_51;18090.0;44953.0
11_03_52;18091.0;44953.0
11_03_53;18089.0;44953.0
11_03_54;18088.0;44953.0
11_03_55;18088.0;44953.0
11_03_56;18084.0;44953.0
11_03_57;18082.0;44953.0
11_03_58;18082.0;44953.0
11_03_59;18085.0;44953.0
11_04_00;18088.0;44953.0
11_04_01;18087.0;44953.0
11_04_02;18098.0;44953.0
11_04_03;18110.0;44953.0
11_04_04;18113.0;44953.0
11_04_05;18119.0;44953.0
11_04_06;18126.0;44953.0
11_04_07;18122.0;44953.0
11_04_08;18121.0;44953.0
11_04_09;18117.0;44953.0
11_04_10;18116.0;44953.0
11_04_11;18118.0;44953.0
11_04_12;18118.0;44953.0
11_04_13;18114.0;44953.0
11_04_14;18117.0;44953.0
11_04_15;18117.0;44953.0
11_04_16;18121.0;44953.0
11_04_17;18123.0;44953.0
11_04_18;18124.0;44953.0
11_04_19;18121.0;44953.0
11_04_20;18123.0;44953.0
11_04_21;18123.0;44953.0
11_04_22;18117.0;44953.0
11_04_23;18118.0;44953.0
11_04_24;18119.0;44953.0
11_04_25;18118.0;44953.0
11_04_26;18116.0;44953.0
11_04_27;18118.0;44953.0
11_04_28;18115.0;44953.0
11_04_29;18120.0;44953.0
11_04_30;18118.0;44953.0
11_04_31;18116.0;44953.0
11_04_32;18115.0;44953.0
11_04_33;18116.0;44953.0
11_04_34;18110.0;44953.0
11_04_35;18112.0;44953.0
11_04_36;18114.0;44953.0
11_04_37;18117.0;44953.0
11_04_38;18110.0;44953.0
11_04_39;18100.0;44953.0
11_04_40;18103.0;44953.0
11_04_41;18101.0;44953.0
11_04_42;18102.0;44953.0
11_04_43;18107.0;44953.0
11_04_44;18110.0;44953.0
11_04_45;18107.0;44953.0
11_04_46;18112.0;44953.0
11_04_47;18108.0;44953.0
11_04_48;18107.0;44953.0
11_04_49;18111.0;44953.0
11_04_50;18113.0;44953.0
11_04_51;18115.0;44953.0
11_04_52;18117.0;44953.0
11_04_53;18121.0;44953.0
11_04_54;18124.0;44953.0
11_04_55;18124.0;44953.0
11_04_56;18121.0;44953.0
11_04_57;18130.0;44953.0
11_04_58;18131.0;44953.0
11_04_59;18127.0;44953.0
11_05_00;18130.0;44953.0
11_05_01;18126.0;44953.0
11_05_02;18129.0;44953.0
11_05_03;18126.0;44953.0
11_05_04;18120.0;44953.0
11_05_05;18121.0;44953.0
11_05_06;18116.0;44953.0
11_05_07;18116.0;44953.0
11_05_08;18114.0;44953.0
