arrond;capacity;avail. bike
75101;768;-45
75102;660;-15
75103;389;-20
75104;634;1
75105;1203;-42
75106;1032;-11
75107;1010;13
75108;1481;6
75109;1172;-7
75110;1583;3
75111;1972;13
75112;2726;-22
75113;2320;28
75114;1783;4
75115;3342;12
75116;2205;19
75117;2176;25
75118;1894;20
75119;1812;51
75120;1909;19
92004;180;0
92007;141;0
92009;84;0
92012;880;11
92014;55;5
92020;148;1
92022;62;0
92023;74;0
92024;400;7
92025;120;0
92026;193;-5
92032;122;-1
92035;128;0
92036;126;-2
92040;495;5
92044;359;-9
92046;238;9
92048;107;3
92049;283;5
92050;222;1
92051;378;5
92062;58;0
92063;195;-1
92064;79;0
92071;90;0
92072;118;-1
92073;264;2
92075;258;7
92077;24;0
93001;404;9
93006;208;0
93008;19;0
93045;233;5
93048;792;14
93053;58;0
93055;563;-1
93061;42;2
93063;67;1
93064;124;0
93066;516;5
93070;269;-1
94002;122;3
94003;120;0
94016;112;1
94017;121;0
94018;248;0
94022;79;0
94033;349;7
94037;119;0
94041;579;17
94042;124;-1
94043;150;2
94046;180;-1
94052;131;1
94067;119;5
94069;44;2
94076;254;4
94080;278;-1
94081;482;2
95018;95;1
