arrond;capacity;avail. bike
75101;768;613
75102;660;581
75103;389;268
75104;634;553
75105;1203;729
75106;1032;700
75107;1010;756
75108;1481;1021
75109;1172;615
75110;1583;298
75111;1972;563
75112;2726;1164
75113;2320;937
75114;1783;159
75115;3342;1425
75116;2205;720
75117;2176;418
75118;1894;221
75119;1812;189
75120;1909;89
92004;180;76
92007;141;13
92009;84;32
92012;880;398
92014;55;15
92020;148;53
92022;62;27
92023;74;17
92024;400;175
92025;120;81
92026;193;53
92032;122;41
92035;128;32
92036;126;67
92040;495;319
92044;359;226
92046;238;44
92048;107;35
92049;283;62
92050;222;123
92051;378;174
92062;58;36
92063;195;80
92064;79;24
92071;90;24
92072;118;9
92073;264;25
92075;258;53
92077;24;2
93001;404;164
93006;208;9
93008;19;12
93045;233;3
93048;792;86
93053;58;25
93055;563;85
93061;42;7
93063;67;15
93064;124;59
93066;516;314
93070;269;148
94002;122;48
94003;120;35
94016;112;48
94017;121;72
94018;248;59
94022;79;35
94033;349;30
94037;119;34
94041;579;230
94042;124;70
94043;150;16
94046;180;94
94052;131;33
94067;119;19
94069;44;9
94076;254;18
94080;278;113
94081;482;155
95018;95;71
